"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1984","college entrance qualification","higher education","31964.47","31859.51","639","625","16627","43890","57265","100315","30093.06","33835.88","0","225173","31496","34242"
"1984","college entrance qualification","higher vocational","25836.26","24778.03","140","0","6350","37196","52732","83136","21841.59","29830.93","0","197844","19460","29450"
"1984","college entrance qualification","in school","","","","","","","","","","","","","",""
"1984","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1984","college entrance qualification","middle vocational","22222","19518.46","315","0","5062","33121","51267","78330","20162.3","24281.7","0","82829","18212","23119"
"1984","college entrance qualification","vocational + Abi","22853.03","21488.55","201","0","10134","33107","44687","79088","20195.77","25510.29","0","152462","19671","23928"
"1984","lower secondary degree","general elemantary","15798.02","14205.44","2264","0","0","25156","36148","66855","15018.9","16577.14","0","280464","16822","18534"
"1984","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1984","lower secondary degree","higher vocational","25726.23","24542","297","0","13182","36438","49679","85171","23538.31","27914.15","0","122897","23806","28326"
"1984","lower secondary degree","in school","","","","","","","","","","","","","",""
"1984","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1984","lower secondary degree","middle vocational","21129.25","20298","3534","0","5957","30243","40922","77752","20507.85","21750.65","0","265258","21423","22405"
"1984","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","in school","31275.36","29103.5","187","11095","19429","39881","51267","98905","28528.83","34021.89","0","155894","25974","31516"
"1984","no degree/no degree yet","inadequately","20393.61","18960.49","995","0","12476","26843","37452","66274","19348.89","21438.33","0","197150","21169","22855"
"1984","no degree/no degree yet","middle vocational","19394.05","18867","118","0","10533","27672","41389","46210","17043.52","21744.58","0","68104","18984","22874"
"1984","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1984","Other degree","general elemantary","22200.75","19490.12","727","11657","14828","27763","35116","56549","21083.4","23318.1","0","280464","20554","22752"
"1984","Other degree","higher education","29135.29","29311.7","59","2597","10430","35228","43994","222577","18265.83","40004.75","0","222577","26050","36721"
"1984","Other degree","higher vocational","","","","","","","","","","","","","",""
"1984","Other degree","in school","","","","","","","","","","","","","",""
"1984","Other degree","inadequately","","","","","","","","","","","","","",""
"1984","Other degree","middle vocational","23868.41","21323.52","533","8741","14776","30401","40392","75058","22400.06","25336.76","0","280464","22241","24869"
"1984","Other degree","vocational + Abi","20662.48","16530.29","103","2096","12629","26050","34556","58543","15175.62","26149.34","0","280464","18717","23623"
"1984","secondary school degree","general elemantary","25984.69","25274.44","477","128","13964","35187","46117","83262","24297.81","27671.57","0","155894","25104","28377"
"1984","secondary school degree","higher education","35815.87","26492.15","68","767","17282","42122","62275","291128","24078.61","47553.13","0","291128","24633","33745"
"1984","secondary school degree","higher vocational","25433.27","24376.91","211","0","10737","38943","49776","85590","22847.89","28018.65","0","100622","23622","30202"
"1984","secondary school degree","in school","","","","","","","","","","","","","",""
"1984","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1984","secondary school degree","middle vocational","25896.31","25287.14","1202","0","13498","36342","47346","78564","24744.59","27048.03","0","265258","26025","28070"
"1984","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1985","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1985","college entrance qualification","higher education","32651.14","31449.5","615","1738","18407","46067","59999","89280","31019.97","34282.31","0","117492","31859","35406"
"1985","college entrance qualification","higher vocational","24156.91","20917.21","131","106","5628","37884","48749","102407","20521.11","27792.71","0","111234","19940","30473"
"1985","college entrance qualification","in school","","","","","","","","","","","","","",""
"1985","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1985","college entrance qualification","middle vocational","23778.36","18912.65","296","199","4016","36153","48071","85585","20953.46","26603.26","0","258723","17817","25634"
"1985","college entrance qualification","vocational + Abi","22192.69","19841.07","191","215","8820","31567","48966","76674","19661.76","24723.62","0","85146","19423","24945"
"1985","lower secondary degree","general elemantary","16452.59","14845.73","2003","11","178","26229","36404","70972","15572.88","17332.3","0","266885","17922","19585"
"1985","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1985","lower secondary degree","higher vocational","26275.09","27058.15","278","191","14175","38398","48071","76593","24152.67","28397.51","0","108851","26106","31450"
"1985","lower secondary degree","in school","","","","","","","","","","","","","",""
"1985","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1985","lower secondary degree","middle vocational","21424.35","20065","3183","77","5062","30903","41908","76313","20751.85","22096.85","0","271883","21810","22953"
"1985","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","in school","33484.12","31184.61","187","14137","22133","44483","55179","90712","30882.91","36085.33","0","95462","27814","34891"
"1985","no degree/no degree yet","inadequately","20338.03","19313.36","816","88","10993","29188","36977","59098","19401.15","21274.91","0","107714","21474","24160"
