"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","23168.97","20467","3417","1023","13498","30744","40443","75058","22534.12","23803.82","0","291128","22139","23059"
"1984","indirect migration background","20036.72","19655.12","128","0","7051","28827","36956","51564","17445.41","22628.03","0","67644","21525","29092"
"1984","no migration background","21890.91","20735.1","8686","0","3477","32084","44048","81040","21464.93","22316.89","0","291128","22052","22855"
"1985","direct migration background","22734.13","20845.21","2945","767","13337","31069","41082","70254","22216.46","23251.8","0","214216","22650","24005"
"1985","indirect migration background","19249.37","18109.43","144","97","8385","28519","37156","50754","17071.75","21426.99","0","57116","23192","28965"
"1985","no migration background","22713.23","20930","7998","72","3615","32939","46804","85585","22236.65","23189.81","0","362049","23009","24031"
"1986","direct migration background","23227.22","21897.34","2856","1008","13988","32350","41850","71837","22714.44","23740","0","121709","23841","25283"
"1986","indirect migration background","21654.07","21159.59","156","230","10124","32723","39578","66524","18952.88","24355.26","64","94794","23448","29144"
"1986","no migration background","23627.55","21877.43","7631","128","5113","33950","47588","87215","23111.55","24143.55","0","448962","24352","25385"
"1987","direct migration background","24493.73","23365","2843","1099","14480","34257","44227","68548","23938.27","25049.19","0","116581","25465","26601"
"1987","indirect migration background","23224.67","22609.26","177","1918","13536","32646","40223","62770","20941.03","25508.31","62","78376","23065","29444"
"1987","no migration background","24319.2","22687.67","7493","136","5289","35662","49190","96385","23834.68","24803.72","0","208437","25339","26331"
"1988","direct migration background","24928.26","23658.69","2690","501","14623","34972","46042","73356","24324.09","25532.43","0","128079","25359","26556"
"1988","indirect migration background","23027.07","22789","224","78","10758","33520","41153","71819","20641.55","25412.59","0","128079","23341","27993"
"1988","no migration background","25264.35","23417","7108","164","5880","37183","50534","93679","24752.87","25775.83","0","311142","26214","27199"
"1989","direct migration background","26544.77","24654","2606","552","15017","35765","46014","93773","25863.86","27225.68","0","272876","27391","28740"
"1989","indirect migration background","25481.71","26896","260","559","14741","33454","46221","64991","23298.63","27664.79","0","97737","28377","31820"
"1989","no migration background","26813.15","24611.51","6843","165","6166","39130","53830","111948","26230.71","27395.59","0","301825","27371","28512"
"1990","direct migration background","27584.75","25277.98","2551","1227","15339","37652","49099","86785","26825.42","28344.08","0","368983","28505","30002"
"1990","indirect migration background","28251.92","28961.7","296","337","15007","38754","49605","71227","26142.8","30361.04","0","106327","30617","35279"
