"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","22814.42","21519.09","1295","7430","14047","29383","37770","65633","22100.72","23528.12","0","129256","21063","23430"
"1984","lower secondary degree","18110.98","16356.11","6127","7128","11228","22747","29840","55500","17829.02","18392.94","0","170618","17237","17733"
"1984","no degree/no degree yet","20174.55","18405.34","1304","9285","13030","24817","32797","55861","19633.9","20715.2","0","103309","17655","18639"
"1984","Other degree","17934.1","16544","1453","8978","12066","21836","27801","44466","17382.07","18486.13","0","148650","17249","18359"
"1984","secondary school degree","21906.83","20560.61","1960","9522","14701","27287","34374","58171","21393.84","22419.82","0","143736","20969","21932"
"1985","college entrance qualification","23068.89","21490.65","1233","8409","14047","31201","39319","56930","22364.44","23773.34","0","129341","21935","23877"
"1985","lower secondary degree","18450.38","16628","5491","7423","11445","23020","30227","55891","18158.06","18742.7","0","142772","17764","18404"
"1985","no degree/no degree yet","20944.19","19659.46","1102","8946","13092","27172","34233","50222","20404.1","21484.28","0","61961","18551","19934"
"1985","Other degree","17720.91","16052","1229","8959","11923","22340","27742","47313","17269.09","18172.73","767","62449","17490","18527"
"1985","secondary school degree","22467.08","20863.39","1883","9590","14126","27959","35720","62449","21895.35","23038.81","0","169250","21503","22680"
"1986","college entrance qualification","24069.99","22850","1258","8682","14775","31517","39783","64079","23281.93","24858.05","0","215855","23512","25270"
"1986","lower secondary degree","18504.07","16742","5188","7488","11325","23355","30671","55046","18218.51","18789.63","0","185058","18460","19282"
"1986","no degree/no degree yet","21014.14","20039.28","1037","8439","12868","27034","33898","57602","20425.18","21603.1","0","75592","19845","20892"
"1986","Other degree","18495.83","16832.61","1171","9391","12351","23144","28936","50415","18020.57","18971.09","0","61790","18141","19688"
"1986","secondary school degree","22915.89","21103.39","1842","9504","14548","28412","35668","70754","22253.17","23578.61","0","215855","21809","22908"
"1987","college entrance qualification","25315.26","23960.51","1232","9218","15211","32912","42095","67951","24512.4","26118.12","0","106872","24596","26141"
"1987","lower secondary degree","19319.06","17766","5122","7808","11676","24487","31672","57917","19018.4","19619.72","0","124820","19397","20053"
"1987","no degree/no degree yet","21891.11","20780","1008","9751","14261","27465","37259","55550","21246.88","22535.34","825","77872","20999","22132"
"1987","Other degree","19805.94","18918.51","1154","9656","13480","24305","30670","50002","19298.57","20313.31","8","79047","20013","21269"
"1987","secondary school degree","23596.34","22120.84","1832","10271","15079","29236","37934","65206","23028.36","24164.32","1068","124820","23042","24204"
"1988","college entrance qualification","26087.39","24107.23","1181","9285","16268","33716","42347","75084","25259.01","26915.77","0","110883","24689","26993"
"1988","lower secondary degree","19747.02","18018","4895","8111","11916","25072","33161","59493","19440.07","20053.97","0","124872","19594","20281"
"1988","no degree/no degree yet","22206.84","21420.24","912","9222","14827","27518","34434","56691","21477.23","22936.45","1930","80790","21055","22478"
"1988","Other degree","20165.77","19131","1076","9608","13547","25260","31731","47879","19591.26","20740.28","8","82625","20177","21675"
"1988","secondary school degree","24477.39","22855.87","1767","10184","15833","30702","38874","68600","23878.87","25075.91","1262","152338","23740","24901"
"1989","college entrance qualification","28413.32","25389","1204","10263","17117","35972","47047","100612","27436.62","29390.02","54","155412","25722","28146"
"1989","lower secondary degree","20421.51","18960","4677","8265","12335","25630","34233","56551","20097.43","20745.59","0","170922","20629","21203"
"1989","no degree/no degree yet","23674.39","22469.84","889","9660","15430","29224","37524","75677","22905.13","24443.65","666","90347","22273","23868"
"1989","Other degree","21255.89","20978.73","1034","9430","14243","26046","32884","52309","20661.57","21850.21","8","78283","21550","22645"
"1989","secondary school degree","25661.46","23650.79","1713","10413","16433","31356","40470","89316","24961.91","26361.01","507","170922","24283","25539"
"1990","college entrance qualification","29073.18","26188.11","1208","11596","18375","37014","47463","89677","28095.97","30050.39","10","181118","27138","28755"
"1990","lower secondary degree","21146.06","19257.2","4553","8671","12667","26833","35155","60441","20789.5","21502.62","0","221883","20952","21707"
"1990","no degree/no degree yet","24611.98","22621.94","845","9208","15308","30987","39852","87854","23743.71","25480.25","0","103314","22894","24907"
"1990","Other degree","21836.73","20763.09","1014","10737","14471","27099","34677","58159","21173.07","22500.39","2040","76383","21672","23093"
"1990","secondary school degree","26558.16","24347.57","1687","11257","16432","32093","40867","89677","25774.63","27341.69","10","221883","24917","26245"
"1991","college entrance qualification","30774.91","28092.2","1242","12142","19281","38956","50593","92569","29829.13","31720.69","10","178897","28988","30861"
"1991","lower secondary degree","22725.85","20767","4473","9004","13455","28938","38355","64570","22348.4","23103.3","419","130243","22532","23319"
"1991","no degree/no degree yet","27032.74","23770.3","826","11551","17119","33019","44433","94103","26116.12","27949.36","2122","118325","24126","26549"
"1991","Other degree","23615.79","22359.01","998","11479","15615","29823","37663","53918","22919.96","24311.62","418","93460","23521","25222"
"1991","secondary school degree","27948.16","25534.63","1703","11601","17433","34597","44956","88780","27190.96","28705.36","1457","178897","26613","27785"
"1992","college entrance qualification","30919.74","28524.27","1747","11872","19725","39489","51211","87630","30179.01","31660.47","0","173775","27871","29352"
"1992","lower secondary degree","22253.89","19998.88","5874","8409","12568","28858","37796","66788","21918.57","22589.21","153","150568","21038","21826"
"1992","no degree/no degree yet","27140.7","24525","862","10682","17598","32729","48021","87050","26246.03","28035.37","0","112909","24919","26871"
"1992","Other degree","23184.02","21776","1016","10266","15183","29483","38512","58865","22468.38","23899.66","0","77232","23618","25287"
"1992","secondary school degree","25430.85","22599.43","3617","10658","15630","31696","43242","78186","24987.87","25873.83","1465","255823","22041","23035"
"1993","college entrance qualification","33208.84","30586.34","1776","12636","20468","40971","55022","104646","32351.07","34066.61","188","221375","30261","31688"
"1993","lower secondary degree","23118.81","20955.31","5707","8819","13158","29759","39880","65523","22774.71","23462.91","0","153933","22020","22771"
"1993","no degree/no degree yet","27636.91","24669","840","11017","16634","33934","45184","85872","26614.86","28658.96","859","153933","24884","26763"
"1993","Other degree","24743.61","23695.37","982","10813","15675","31702","40266","64932","23917.2","25570.02","1543","88067","24429","25981"
"1993","secondary school degree","27306.81","24824","3585","11518","17245","34323","45072","70706","26845.86","27767.76","86","221375","24761","25597"
"1994","college entrance qualification","34280.63","31492.73","1824","12859","21344","43799","58188","93695","33455.78","35105.48","0","185898","31825","33661"
"1994","lower secondary degree","23745.54","21596.83","5526","9262","13746","30286","40761","65373","23389.4","24101.68","0","204137","22964","23804"
"1994","no degree/no degree yet","29497.26","26998.69","834","11938","18414","36066","46939","101478","28438.87","30555.65","0","204137","26598","29404"
"1994","Other degree","25263.3","23378","905","11296","16112","31153","42067","65917","24403.82","26122.78","0","86332","25073","27242"
"1994","secondary school degree","28752.89","26370","3521","12770","18601","35432","46149","76229","28273.99","29231.79","235","204137","26641","27477"
"1995","college entrance qualification","33952.3","31077.17","1918","12392","20428","44013","56359","96267","33082.04","34822.56","0","213353","31747","33390"
"1995","lower secondary degree","23629.45","21353.05","5431","9322","13846","30293","40066","67176","23275.15","23983.75","0","148096","22843","23674"
"1995","no degree/no degree yet","29203.77","26439.86","866","10494","17858","36906","48745","108106","28181.57","30225.97","0","148096","25715","27946"
"1995","Other degree","23197.38","21394.75","1181","8247","14189","29143","38414","65306","22452.43","23942.33","1718","85263","23052","24642"
"1995","secondary school degree","29049.21","26445.36","3593","12819","18940","35798","47611","73668","28571.92","29526.5","0","213353","26775","27760"
"1996","college entrance qualification","34380.16","31820","1917","12397","20844","44071","57742","94853","33564.48","35195.84","102","193088","32882","34565"
"1996","lower secondary degree","24174.18","21540","5298","9287","14362","30821","41185","76236","23800.07","24548.29","0","236125","23229","24009"
"1996","no degree/no degree yet","30132.97","26849","829","10560","18140","37108","51928","98732","28984.47","31281.47","1847","236125","26190","28846"
"1996","Other degree","24039.84","22209","1101","9206","15641","30101","40037","65412","23298.42","24781.26","1046","86857","23614","25160"
"1996","secondary school degree","29219.33","26762.85","3594","13084","19320","35945","47653","76868","28734.29","29704.37","628","261326","27041","27892"
"1997","college entrance qualification","35387.45","32470.28","1943","13286","21507","44993","59973","100919","34559.48","36215.42","660","192239","33521","35296"
"1997","lower secondary degree","24196.05","21881.47","5177","9771","14808","30669","40972","67724","23835.25","24556.85","143","130418","23825","24630"
"1997","no degree/no degree yet","30083.57","27127.76","821","11479","18270","37132","50657","88532","28996.43","31170.71","736","130418","26951","29123"
"1997","Other degree","24711.32","23247.64","1027","10614","16367","31139","39714","72437","23917.39","25505.25","102","80940","24221","25905"
"1997","secondary school degree","29736","27782.06","3551","12927","19951","36956","47552","75731","29265.26","30206.74","1922","192239","28276","29285"
"1998","college entrance qualification","35452.59","33001","2217","14351","22186","44903","57908","106208","34683.08","36222.1","0","198810","33392","35030"
"1998","lower secondary degree","24417.41","22532","5655","10186","14992","31022","40824","62871","24067.25","24767.57","0","276704","23891","24677"
"1998","no degree/no degree yet","29776.6","27738.25","812","12469","19029","37602","49188","82327","28766.57","30786.63","229","117645","26991","29514"
"1998","Other degree","26242.67","24149.77","1002","12424","17531","30830","44086","78928","25367.81","27117.53","1538","118485","24817","26508"
"1998","secondary school degree","29644.84","27472.92","3889","13079","19659","36141","49086","75018","29176.8","30112.88","0","276704","28166","28981"
"1999","college entrance qualification","36294.74","33452.6","2234","13457","21959","46527","61648","106116","35489.03","37100.45","108","242816","34605","36188"
"1999","lower secondary degree","25123.33","22745","5529","10531","15557","31608","42405","68569","24756.47","25490.19","102","242816","24329","25003"
"1999","no degree/no degree yet","30551.92","27369.27","781","13067","19044","37389","55197","87123","29452.59","31651.25","2830","122723","27262","28836"
"1999","Other degree","26247.52","24645","935","11186","17849","31141","42287","72017","25391.71","27103.33","2356","116702","25556","26887"
"1999","secondary school degree","30620.93","28342.07","3865","12987","20156","37887","49960","80685","30146.37","31095.49","419","242816","29086","30001"
"2000","college entrance qualification","37327.99","34917.29","4751","13482","22205","48013","63240","107118","36708.06","37947.92","0","314389","36001","37289"
"2000","lower secondary degree","25410.59","23061.61","9989","10665","15700","31991","42058","72931","25117.96","25703.22","0","291390","24340","24858"
"2000","no degree/no degree yet","30465.69","28757.34","926","10977","17227","39517","53214","92033","29299.84","31631.54","0","150342","28826","30602"
"2000","Other degree","27032.03","24464.63","1544","10425","16509","32926","45827","84250","26212.73","27851.33","810","157431","25188","26456"
"2000","secondary school degree","31710.43","29484.28","7000","13661","20849","39172","51179","93305","31314.42","32106.44","9","314389","30437","31059"
"2001","college entrance qualification","37776.94","35589.6","4460","13555","22695","48328","63456","104846","37147","38406.88","186","293555","36955","38171"
"2001","lower secondary degree","26167.07","23628.46","8788","10837","15967","33072","43431","77483","25836.3","26497.84","0","293555","25190","25878"
"2001","no degree/no degree yet","33312.71","30208.76","876","12521","18908","42663","60609","93561","32009.42","34616","0","127920","31101","33480"
"2001","Other degree","27678.95","24444.72","1376","11010","16593","33359","44899","92496","26687.9","28670","3068","246351","25360","27039"
"2001","secondary school degree","32007.96","30085.56","6449","14005","20978","39703","50885","87686","31602.9","32413.02","1244","261392","31301","31974"
"2002","college entrance qualification","39856.1","34455.91","5616","13628","22398","49765","70345","138459","38936.1","40776.1","0","581740","45016","46835"
"2002","lower secondary degree","26096.55","23620","8380","10919","15976","32976","43112","76859","25703.05","26490.05","0","310727","25504","26229"
"2002","no degree/no degree yet","32034.27","29504.27","916","11339","18600","39691","55440","97137","30485.89","33582.65","1168","207620","34451","36938"
"2002","Other degree","28675.84","25259.29","1329","10896","16717","34503","44433","109561","27051.86","30299.82","1870","577811","27503","29367"
"2002","secondary school degree","32684.95","29939.66","6714","13720","20864","39644","51255","101749","32094.6","33275.3","0","581740","33387","34475"
"2003","college entrance qualification","40641.14","35753","5447","14502","24159","50882","70057","136430","39789","41493.28","0","630041","44865","46879"
"2003","lower secondary degree","26847.83","24068.62","7952","11061","16165","34681","44857","78188","26442.26","27253.4","0","411167","25948","26851"
"2003","no degree/no degree yet","33662.56","30152.98","901","10218","17988","43356","61202","106247","31963.91","35361.21","696","199006","35849","38901"
"2003","Other degree","28892.62","25473.81","1251","11222","17860","34784","43597","93557","27145.72","30639.52","1540","630041","27207","29387"
"2003","secondary school degree","33473.03","31027.9","6471","13827","21481","40928","52445","101303","32856.05","34090.01","0","630041","34067","34970"
"2004","college entrance qualification","40649.24","35510.33","5392","13752","23012","50369","70903","131311","39487.82","41810.66","70","2046737","44356","46079"
"2004","lower secondary degree","26474.39","23706","7596","11036","16022","34231","44207","74443","26019.39","26929.39","0","770068","25726","26522"
"2004","no degree/no degree yet","34424.86","30817","911","11607","20385","44165","59401","118723","32716.1","36133.62","1848","229632","35256","39004"
"2004","Other degree","29544.27","25679.52","1200","11104","16703","35001","47068","86504","26044.83","33043.71","0","2046737","26681","28924"
"2004","secondary school degree","32938.74","30854.79","6305","13853","21056","40535","52362","93058","32384.51","33492.97","1","520712","33932","34917"
"2005","college entrance qualification","41473.61","36728","5208","14155","23697","52412","71260","133971","40163.19","42784.03","153","2489562","44818","46589"
"2005","lower secondary degree","26781.59","23972.77","7128","11258","16545","34077","44751","73370","26330.03","27233.15","0","575024","25821","26671"
"2005","no degree/no degree yet","33284.75","28345.82","908","12630","18852","41799","59095","112567","31355.99","35213.51","1000","290603","33648","37964"
"2005","Other degree","30016.11","25154","1135","11334","16953","34491","46359","96746","25580.77","34451.45","0","2489562","26714","29157"
"2005","secondary school degree","33696.44","30871.15","6041","13899","21315","41779","54270","99358","33093.47","34299.41","0","699243","34141","35210"
"2006","college entrance qualification","42881.44","36958.33","5632","14030","24277","53382","74307","161140","41893.07","43869.81","0","880714","44211","46158"
"2006","lower secondary degree","26946.15","23535","7671","11046","16089","34168","45651","79633","26453.46","27438.84","0","686604","25241","25956"
"2006","no degree/no degree yet","33132.55","28448.25","900","11839","17409","41469","57238","116468","31016.62","35248.48","1500","285379","34462","37531"
"2006","Other degree","28748.14","24725","1204","10915","15838","35899","48959","90376","26882.75","30613.53","0","880714","26060","28158"
