"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","general elemantary","Rural Area","17818.82","15648.82","720","6369","10220","22583","29603","48637","16966.37","18671.27","82","137599","16412","18351"
"1985","general elemantary","Urban Area","17392.85","15476.01","2359","6352","9827","22294","30462","50270","16980.4","17805.3","46","129341","17280","18175"
"1985","higher education","Rural Area","25698.05","23691.17","117","12373","18656","32920","40288","58983","23724.83","27671.27","4831","58983","23301","27743"
"1985","higher education","Urban Area","25823.06","23960.71","641","12049","16363","32197","41662","61429","24805.94","26840.18","1174","114342","23947","26520"
"1985","higher vocational","Rural Area","20604.94","19126.65","129","8206","14344","24849","32763","50699","18894.6","22315.28","4448","65855","18998","22700"
"1985","higher vocational","Urban Area","22492.05","21454.7","492","9388","13818","28601","36111","61140","21499.59","23484.51","3147","71811","21571","24327"
"1985","in school","Rural Area","26139.59","27661.99","36","10889","20163","32587","35052","48637","23012.8","29266.38","4039","48637","21958","32219"
"1985","in school","Urban Area","25950.81","24913.64","151","13550","18092","31766","42710","59398","24235.11","27666.51","5492","61961","21229","26141"
"1985","inadequately","Rural Area","17753.9","17870.47","107","5620","10108","22991","29899","41535","15809.82","19697.98","0","61433","15419","20364"
"1985","inadequately","Urban Area","17005.23","15764.95","742","8056","10579","21772","26564","46868","16399.52","17610.94","0","62449","17690","18938"
"1985","middle vocational","Rural Area","20180.72","18607.59","1115","8902","13260","24568","32219","55891","19480.57","20880.87","25","169250","18998","20227"
"1985","middle vocational","Urban Area","20042.87","17998.12","4083","8590","12617","25010","33242","57674","19696.25","20389.49","0","162146","18665","19426"
"1985","vocational + Abi","Rural Area","19849.49","19275","44","12271","15077","24447","26802","46701","16930.8","22768.18","4936","46701","17866","22991"
"1985","vocational + Abi","Urban Area","19170.9","16608.36","236","8869","11542","25198","34063","55811","17909.31","20432.49","75","56930","16766","19565"
"1986","general elemantary","Rural Area","18733.79","16002.02","686","6697","10614","24123","31670","61416","17640.34","19827.24","307","215855","17156","19689"
"1986","general elemantary","Urban Area","17510.02","15687","2238","6504","9901","22657","30930","50415","17095.57","17924.47","0","91435","17693","18808"
"1986","higher education","Rural Area","28249.84","27302","120","15525","19539","35121","41758","56721","26215.58","30284.1","4468","73321","25104","30771"
"1986","higher education","Urban Area","26569.61","25369.87","631","10726","17603","33270","40306","70754","25429.59","27709.63","0","185058","25489","27519"
"1986","higher vocational","Rural Area","20445.88","19646.95","121","8311","13941","26754","31320","42443","18853.11","22038.65","1840","49560","19094","23845"
"1986","higher vocational","Urban Area","22340.86","20737.49","462","10248","13525","27766","35668","63325","21254.71","23427.01","1932","92846","21162","23814"
"1986","in school","Rural Area","","","","","","","","","","","","","",""
"1986","in school","Urban Area","25280.78","23681.62","165","12458","17384","30901","39201","61263","23493.04","27068.52","0","75592","21284","25101"
