"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","18372.7","16626.12","6232","6442","10676","23867","31072","56766","18087.64","18657.76","0","170618","17620","18212"
"1984","Male","20760.94","18769.77","5999","9817","13412","25694","33512","57027","20474.27","21047.61","0","170618","18861","19426"
"1985","Female","18749.28","16922","5632","6775","10891","24219","32368","56141","18462.93","19035.63","0","142772","18360","18930"
"1985","Male","21292.54","19262.76","5455","10025","13577","26141","34411","57674","20990.18","21594.9","0","169250","19621","20233"
"1986","Female","19058.59","17129.36","5377","6698","10736","24829","32490","59545","18745.59","19371.59","0","215855","19258","19915"
"1986","Male","21628.4","19828.17","5266","9993","13790","26684","34858","61416","21315.47","21941.33","0","215855","20320","20932"
"1987","Female","19885.87","18097.53","5307","7258","11290","25621","34434","60860","19573.18","20198.56","0","124820","20141","20787"
"1987","Male","22562.55","20750.9","5206","10350","14469","27695","37014","61705","22249.73","22875.37","0","124820","21551","22169"
"1988","Female","20406.07","18467.63","5068","7356","11355","26646","35148","61015","20074.97","20737.17","0","152338","20443","21217"
"1988","Male","23177.16","21303.92","4954","10655","15023","28669","37342","64063","22850.83","23503.49","0","124872","21982","22553"
"1989","Female","21381.88","19421.12","4928","7599","11762","27324","36843","66354","21019.12","21744.64","0","170922","21476","22193"
"1989","Male","24429.95","22380.93","4781","11164","15693","29673","38898","72825","24063.69","24796.21","200","170922","22976","23641"
"1990","Female","22199.42","19980.72","4827","8161","12379","28502","37667","68986","21805.16","22593.68","0","221883","22084","22837"
"1990","Male","25201.84","22846.55","4690","11523","16246","31074","40081","75581","24800.81","25602.87","0","221883","23686","24348"
"1991","Female","23785.52","21336.67","4807","8424","12829","30770","41446","78367","23373.33","24197.71","10","178897","23641","24388"
"1991","Male","26931.64","24335.47","4659","12289","17283","33318","43564","77089","26533.64","27329.64","10","178897","25214","26002"
"1992","Female","23116.09","20504.95","6901","7921","12367","30077","40946","71538","22786.27","23445.91","0","255823","21855","22554"
"1992","Male","26242.57","23783.2","6490","11305","16330","32772","43782","76805","25908.14","26577","0","255823","23918","24542"
"1993","Female","24380.24","21607.84","6785","8649","13258","31625","42882","74617","24027.68","24732.8","0","221375","23332","24044"
"1993","Male","27757.22","25171.51","6393","11762","17603","34684","45903","75015","27400.89","28113.55","86","221375","25530","26163"
"1994","Female","25395.54","22882.62","6704","9124","13856","32753","44217","74969","25036.14","25754.94","0","204137","24811","25513"
"1994","Male","28745.44","26261.31","6240","12675","18258","35836","46790","76117","28375.61","29115.27","0","204137","26763","27412"
"1995","Female","25465.31","22634.94","6930","9159","14083","32545","45125","74453","25108.56","25822.06","0","213353","24582","25270"
"1995","Male","28481.81","25678.36","6440","12535","18037","35695","47559","78925","28111.46","28852.16","0","213353","26322","27107"
"1996","Female","25727.76","22870.26","6810","9121","14319","33156","45175","80049","25365.43","26090.09","0","261326","25014","25767"
"1996","Male","29236.26","26311.06","6315","12846","18713","36566","48588","80938","28852.39","29620.13","0","261326","26936","27665"
"1997","Female","26222.08","23456.92","6678","9491","14725","33811","45563","79783","25859.4","26584.76","0","192239","25871","26603"
"1997","Male","29468.38","26867","6237","13035","18970","36723","48947","80484","29098.3","29838.46","143","192239","27719","28545"
"1998","Female","26477.08","23722.39","7411","10120","15275","33671","46307","75491","26126.78","26827.38","0","276704","25885","26535"
"1998","Male","29647.1","27033.64","6916","13291","19292","36737","49178","78399","29289.3","30004.9","0","276704","27577","28348"
"1999","Female","27504.03","24636.28","7123","10409","15925","35044","47842","80622","27137.44","27870.62","102","242816","26413","27137"
"1999","Male","30402.12","27245.95","6645","13369","19635","37927","50654","81815","30020.47","30783.77","108","242816","28063","28846"
"2000","Female","28490.61","25413.05","12610","10410","16150","36286","49727","89777","28179.11","28802.11","0","314389","27245","27862"
"2000","Male","31080.55","27951.54","11656","13347","19591","38794","51805","92240","30758.82","31402.28","0","291390","29054","29678"
"2001","Female","29148.41","26097.66","11481","10736","16493","37399","50059","90319","28818.31","29478.51","0","293555","28145","28785"
"2001","Male","31880.66","28851.16","10582","13793","19994","39792","52513","91347","31530.24","32231.08","0","293555","30180","30866"
"2002","Female","29670.55","25825.02","11979","10869","16528","37197","50256","101739","29186.48","30154.62","0","581740","30828","31696"
"2002","Male","32478.78","28582","11178","13548","19984","39387","53324","104260","31967.83","32989.73","0","581740","33110","33983"
"2003","Female","30594.3","26901.11","11566","11053","16921","38689","52044","102761","30114.54","31074.06","0","630041","31414","32244"
"2003","Male","33293.38","29764.37","10731","13666","20033","40928","54964","104448","32784.07","33802.69","0","630041","33649","34645"
"2004","Female","30262.65","26478","11304","11046","16666","38284","51077","98401","29686.78","30838.52","0","2046737","31211","32064"
"2004","Male","33216.29","29481.02","10429","13515","20239","40728","54486","104341","32561.09","33871.49","0","2046737","33773","34682"
"2005","Female","31072.56","27032.46","10865","11520","17493","38705","53238","101794","30405.74","31739.38","0","2489562","31213","32179"
"2005","Male","33697.53","29676","9947","13467","20237","41793","56201","105732","32974.41","34420.65","0","2489562","33986","35028"
"2006","Female","31086.66","26594.14","11705","11162","16692","39352","53562","107932","30546.32","31627","0","890439","30734","31655"
"2006","Male","34448.71","29759.61","10676","13291","19888","42512","57446","116691","33853.46","35043.96","0","890439","33536","34424"
"2007","Female","31782.58","27097.64","10968","11348","17241","40360","55716","109955","31225.64","32339.52","0","624538","31087","31976"
"2007","Male","34983.43","30418.34","9997","13127","20345","43629","59474","119570","34387.38","35579.48","0","624538","33915","34840"
"2008","Female","32519.64","27530.11","10301","11440","17478","41108","57004","111464","31907.29","33131.99","0","1329526","31695","32772"
"2008","Male","36036.82","31302.46","9385","13950","20994","43988","60763","117484","35351.39","36722.25","170","1329526","34698","35644"
"2009","Female","32710.74","27869","9588","11509","17767","41656","58337","111644","32129.06","33292.42","0","678817","31968","33071"
"2009","Male","36824.39","31970.7","8775","14070","21164","45255","62886","126359","36168.42","37480.36","0","678817","35461","36726"
"2010","Female","33339.48","28422.33","13300","11734","17787","42765","59468","112907","32892.6","33786.36","0","525369","30840","31657"
"2010","Male","36918.11","32195.38","11132","14125","21422","46237","64061","122554","36401.46","37434.76","203","664511","34919","35704"
"2011","Female","34547.69","29370","15835","11946","18054","44212","61602","118975","34107.92","34987.46","0","725750","31900","32660"
"2011","Male","37928.84","33279.99","13180","14233","21722","47910","65410","125318","37438.51","38419.17","0","725750","35782","36669"
"2012","Female","35114.18","29528.89","15416","12394","18857","44470","62121","119183","34600.7","35627.66","0","1498562","31961","32749"
"2012","Male","38545.78","33339.73","12860","13946","21770","48057","65592","134078","37969.6","39121.96","0","1498562","35552","36493"
"2013","Female","35643.68","29833.1","17007","12684","19064","45540","63562","120053","35189.72","36097.64","0","1141458","32372","33113"
"2013","Male","38915.72","33534","14309","14359","22154","48938","67346","125988","38415.31","39416.13","0","1105893","35492","36316"
"2014","Female","36317.49","30424.52","15004","12672","19408","46353","64286","117673","35829.04","36805.94","0","1295921","33317","34165"
"2014","Male","39940.26","34129.46","12782","14400","22534","50188","68780","134530","39399.08","40481.44","0","832555","36526","37412"
"2015","Female","36690.86","31067.62","14844","12924","19682","47476","66150","117265","36248.66","37133.06","0","1034092","33581","34459"
"2015","Male","40075.19","34676.49","12668","14174","22324","51181","70615","120956","39579.54","40570.84","0","702467","36477","37353"
"2016","Female","37795.13","32181.5","13507","13322","20389","48452","67376","131935","37258.32","38331.94","0","1592880","35202","36157"
"2016","Male","41425.45","35970.76","11450","14547","23628","51702","71378","142570","40823.2","42027.7","0","777658","38109","39094"
"2017","Female","38885.74","33054.97","15455","13722","20938","49707","69878","130484","38381.96","39389.52","0","947279","35600","36465"
"2017","Male","42040.9","36407.48","13997","14400","23615","52866","72492","138263","41461.16","42620.64","0","947279","37149","38043"
"2018","Female","39774","33980.18","15506","14037","21582","50792","69570","130209","39265.93","40282.07","0","985295","35215","36111"
"2018","Male","43107.91","37611.53","14384","14493","24178","54188","74654","141752","42545.89","43669.93","0","769624","35893","36819"
"2019","Female","41314.94","35763.11","15020","14426","22719","52913","72316","134303","40602.96","42026.92","0","1261549","37846","38801"
"2019","Male","45776.07","39279.42","14638","15317","25286","56829","79143","159750","44263.47","47288.67","0","8068819","39835","41058"
