"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","845.91","307","7568","0","0","849","2454","6780","808.56","883.26","0","19215","307","307"
"1984","Not Employed","901.21","0","4663","0","0","736","3190","8896","836.25","966.17","0","17564","307","307"
"1985","Employed","832.34","307","6854","0","0","920","2331","6590","793.81","870.87","0","18320","307","307"
"1985","Not Employed","904.15","0","4233","0","0","739","2802","9964","831.75","976.55","0","29911","307","307"
"1986","Employed","825.66","307","6698","0","0","920","2393","6872","786.27","865.05","0","19867","307","307"
"1986","Not Employed","881.35","0","3945","0","0","736","3057","9715","807.72","954.98","0","19867","307","307"
"1987","Employed","842.23","307","6714","0","0","920","2270","7746","798.09","886.37","0","28095","307","307"
"1987","Not Employed","943.88","0","3799","0","0","736","3252","10326","863.94","1023.82","0","27309","307","307"
"1988","Employed","828.99","307","6450","0","0","920","2291","8027","785.99","871.99","0","18959","307","307"
"1988","Not Employed","896.7","0","3572","0","0","736","3068","10927","812.48","980.92","0","22266","307","307"
"1989","Employed","851.12","307","6270","0","0","920","2405","8283","804.56","897.68","0","21469","307","307"
"1989","Not Employed","978.59","0","3439","0","0","736","3375","11780","886.57","1070.61","0","21469","307","307"
"1990","Employed","876.97","307","6172","0","0","920","2454","9306","827.26","926.68","0","31911","307","307"
"1990","Not Employed","928.88","0","3345","0","0","736","3119","10737","837.3","1020.46","0","31911","307","307"
"1991","Employed","857.25","307","6197","0","0","920","2475","8590","809.87","904.63","0","30371","307","307"
"1991","Not Employed","969.97","0","3269","0","0","736","3559","10737","878.89","1061.05","0","30371","143","307"
"1992","Employed","1086.67","307","9115","0","0","1104","3469","9081","1041.96","1131.38","0","29757","307","399"
"1992","Not Employed","1034.99","0","4276","0","0","736","3988","10529","946.98","1123","0","28837","98","307"
"1993","Employed","1231.92","429","8733","0","0","1227","3833","10466","1179.05","1284.79","0","33370","429","429"
"1993","Not Employed","1270.1","0","4445","0","0","859","4724","12885","1168.54","1371.66","0","27687","252","393"
"1994","Employed","1339.23","429","8355","0","0","1227","4111","11964","1279.78","1398.68","0","31640","429","429"
"1994","Not Employed","1503.79","0","4589","0","0","920","5440","15415","1389.23","1618.35","0","36322","209","429"
"1995","Employed","1289.7","429","8532","0","0","1227","4090","11805","1231.98","1347.42","0","38664","429","429"
"1995","Not Employed","1665.69","0","4838","0","0","1227","6136","16873","1547.42","1783.96","0","38664","307","429"
"1996","Employed","1427.75","429","8454","0","0","1227","4295","13519","1362.84","1492.66","0","39267","429","438"
"1996","Not Employed","1993.33","0","4671","0","0","1614","7158","18124","1857.22","2129.44","0","39267","429","429"
"1997","Employed","2064.95","1227","8163","0","0","2454","5839","14827","1991.91","2137.99","0","42053","1227","1227"
"1997","Not Employed","2355.02","0","4752","0","0","2454","7976","18793","2216.55","2493.49","0","42053","1227","1227"
"1998","Employed","2180.11","1350","8888","0","0","2700","5767","13907","2110.81","2249.41","0","36940","1350","1350"
"1998","Not Employed","2355.94","0","5439","0","0","2700","7853","19769","2230.04","2481.84","0","48716","429","1227"
"1999","Employed","2261.55","1350","8800","0","0","2700","6136","14093","2191.83","2331.27","0","38131","1350","1350"
"1999","Not Employed","2155.29","0","4968","0","0","2700","7363","19020","2028.69","2281.89","0","33609","0","939"
"2000","Employed","2285.61","1534","15195","0","0","3068","6105","14418","2232.54","2338.68","0","32825","1534","1534"
"2000","Not Employed","2178.2","0","9069","0","0","3068","7663","19020","2082.98","2273.42","0","39208","0","0"
