"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","direct migration background","1164.51","386.09","2417","0","0","1595","3719","8160","1085.44","1243.58","0","19215","614","736"
"1984","Employed","indirect migration background","999.52","307","70","0","0","1841","3170","7363","504.64","1494.4","0","9545","307","736"
"1984","Employed","no migration background","804.95","307","5081","0","0","777","2362","6565","765.2","844.7","0","15441","307","307"
"1984","Not Employed","direct migration background","1882.84","736","1000","0","0","2393","5461","16760","1691.5","2074.18","0","17564","787","920"
"1984","Not Employed","indirect migration background","560.95","0","58","0","0","348","1595","8978","8.32","1113.58","0","9183","307","746"
"1984","Not Employed","no migration background","824.78","0","3605","0","0","736","2816","8878","763.51","886.05","0","16760","0","239"
"1985","Employed","direct migration background","1032.11","307","2054","0","0","1309","2580","7567","948.24","1115.98","0","18320","639","736"
"1985","Employed","indirect migration background","980.12","307","72","0","0","1023","3577","5951","531.91","1428.33","0","11044","307","920"
"1985","Employed","no migration background","806.87","307","4728","0","0","920","2270","6565","765.56","848.18","0","16566","307","307"
"1985","Not Employed","direct migration background","1836.05","557.32","891","0","0","2331","5399","12332","1634.83","2037.27","0","18320","920","920"
"1985","Not Employed","indirect migration background","952.33","307","72","0","0","736","3681","9326","436.35","1468.31","0","11555","736","920"
"1985","Not Employed","no migration background","826.23","0","3270","0","0","736","2500","9367","753.96","898.5","0","29911","0","307"
"1986","Employed","direct migration background","1090.47","307","2001","0","0","1350","3375","8027","1004.82","1176.12","0","19867","614","736"
"1986","Employed","indirect migration background","937.95","0","92","0","0","942","2638","8590","501.27","1374.63","0","11332","307","920"
"1986","Employed","no migration background","791.17","307","4605","0","0","920","2270","6872","749.03","833.31","0","19016","307","307"
"1986","Not Employed","direct migration background","1644.54","307","855","0","0","2270","5338","10749","1425.44","1863.64","0","19867","767","920"
"1986","Not Employed","indirect migration background","879.49","0","64","0","0","736","2270","7772","453.19","1305.79","0","8590","307","920"
"1986","Not Employed","no migration background","811.87","0","3026","0","0","736","2626","9481","742.37","881.37","0","19572","0","307"
"1987","Employed","direct migration background","1090.02","307","1986","0","0","1288","3129","7567","1004.18","1175.86","0","16382","634","736"
"1987","Employed","indirect migration background","822.75","0","101","0","0","920","2270","8299","409.45","1236.05","0","8896","307","920"
"1987","Employed","no migration background","810.22","307","4627","0","0","920","2270","7746","759.04","861.4","0","28095","307","307"
"1987","Not Employed","direct migration background","1722.25","307","857","0","0","2270","5215","12762","1514.35","1930.15","0","16382","920","920"
"1987","Not Employed","indirect migration background","1028.86","0","76","0","0","920","3743","16382","476.75","1580.97","0","16382","307","1841"
"1987","Not Employed","no migration background","865.82","0","2866","0","0","736","2761","9571","784.31","947.33","0","27309","0","307"
"1988","Employed","direct migration background","1086.62","307","1878","0","0","1278","2953","8242","993.03","1180.21","0","14897","736","767"
"1988","Employed","indirect migration background","1040.45","307","125","0","0","1048","3177","7833","691.24","1389.66","0","9899","307","920"
"1988","Employed","no migration background","795.16","307","4447","0","0","920","2270","7772","748.71","841.61","0","18959","307","307"
"1988","Not Employed","direct migration background","1752.15","307","812","0","0","2147","5522","13547","1514.85","1989.45","0","22266","920","920"
"1988","Not Employed","indirect migration background","1586.5","307","99","0","0","2270","5319","11044","1080.84","2092.16","0","13547","614","1233"
"1988","Not Employed","no migration background","806.42","0","2661","0","0","614","2761","10126","726.35","886.49","0","18959","0","0"
"1989","Employed","direct migration background","1094","307","1798","0","0","920","3497","8436","993.72","1194.28","0","15952","614","736"
"1989","Employed","indirect migration background","822.06","307","151","0","0","920","2743","8436","548.94","1095.18","0","9203","307","736"
"1989","Employed","no migration background","819.96","307","4321","0","0","920","2301","8276","768.22","871.7","0","21469","307","307"
"1989","Not Employed","direct migration background","1838.5","307","808","0","0","2258","6688","13273","1590.83","2086.17","0","16719","798","920"
"1989","Not Employed","indirect migration background","1828.8","736","109","0","0","2454","5215","11602","1320.12","2337.48","0","13081","736","920"
"1989","Not Employed","no migration background","873.07","0","2522","0","0","736","2914","11351","782.89","963.25","0","21469","0","0"
"1990","Employed","direct migration background","1117.84","307","1749","0","0","1319","3068","9633","1019.73","1215.95","0","18509","477","736"
"1990","Employed","indirect migration background","1196.34","307","177","0","0","1370","3233","8786","824.42","1568.26","0","21720","307","920"
"1990","Employed","no migration background","840.59","307","4246","0","0","798","2301","9203","783.18","898","0","31911","307","307"
"1990","Not Employed","direct migration background","1826.78","307","802","0","0","2147","5522","13780","1570.51","2083.05","0","31911","920","920"
"1990","Not Employed","indirect migration background","1263.52","614","119","0","0","1657","3227","9909","887","1640.04","0","12578","920","1227"
"1990","Not Employed","no migration background","815.53","0","2424","0","0","614","2454","10062","729.24","901.82","0","31911","0","0"
"1991","Employed","direct migration background","1067.81","307","1742","0","0","1227","3068","8428","966.08","1169.54","0","30371","368","736"
"1991","Employed","indirect migration background","1031.9","307","215","0","0","1067","2693","7976","653.78","1410.02","0","30371","307","307"
"1991","Employed","no migration background","822.96","307","4240","0","0","798","2454","8697","771.75","874.17","0","13965","307","307"
"1991","Not Employed","direct migration background","1664.3","307","759","0","0","1841","5522","12259","1407.86","1920.74","0","30371","798","1104"
"1991","Not Employed","indirect migration background","1823.51","920","134","0","0","2178","4908","11021","1313.85","2333.17","0","22885","920","1534"
"1991","Not Employed","no migration background","873.17","0","2376","0","0","583","2945","9817","787.75","958.59","0","17805","0","0"
"1992","Employed","direct migration background","1012.63","307","1764","0","0","1104","3272","8283","913.91","1111.35","0","19189","307","614"
"1992","Employed","indirect migration background","1559.26","307","253","0","0","1278","4724","13848","1172.27","1946.25","0","19332","307","614"
"1992","Employed","no migration background","1089.48","307","7098","0","0","1104","3468","9081","1039.43","1139.53","0","29757","307","399"
"1992","Not Employed","direct migration background","1626.26","82.71","807","0","0","1693","5522","13848","1354.72","1897.8","0","21474","429","920"
"1992","Not Employed","indirect migration background","1967","798","158","0","307","2454","4781","19332","1426.31","2507.69","0","23218","920","1329"
"1992","Not Employed","no migration background","950.83","0","3311","0","0","557","3794","9846","864.36","1037.3","0","28837","0","0"
"1993","Employed","direct migration background","1199.79","429","1678","0","0","1350","3375","10768","1093.61","1305.97","0","19422","429","614"
"1993","Employed","indirect migration background","1461.11","429","308","0","0","1623","4499","11668","1134.11","1788.11","0","22701","429","614"
"1993","Employed","no migration background","1231.8","429","6747","0","0","1227","3881","10439","1170.44","1293.16","0","33370","429","429"
"1993","Not Employed","direct migration background","1757.6","292.19","820","0","0","1623","6258","15734","1484.11","2031.09","0","22793","614","920"
"1993","Not Employed","indirect migration background","1782.71","859","168","0","429","2209","5154","13314","1317.53","2247.89","0","15400","859","1534"
"1993","Not Employed","no migration background","1199.45","0","3457","0","0","859","4448","12658","1089.22","1309.68","0","27687","0","51"
"1994","Employed","direct migration background","1387.11","429","1534","0","0","1473","4356","12230","1255.42","1518.8","0","24981","429","675"
"1994","Employed","indirect migration background","1590.84","429","323","0","0","1636","5338","11471","1283.11","1898.57","0","13899","429","614"
"1994","Employed","no migration background","1326.6","429","6498","0","0","1227","4111","11862","1258.44","1394.76","0","31640","429","429"
"1994","Not Employed","direct migration background","2250.81","429","840","0","0","2577","7760","18856","1942.27","2559.35","0","36046","614","1043"
"1994","Not Employed","indirect migration background","2091.69","736","173","0","429","2454","5522","24981","1569.39","2613.99","0","24981","859","1595"
"1994","Not Employed","no migration background","1392.93","0","3576","0","0","859","5113","15081","1268.2","1517.66","0","36322","0","0"
"1995","Employed","direct migration background","1558.3","429","1708","0","0","2045","4786","11719","1426.38","1690.22","0","28440","577","859"
"1995","Employed","indirect migration background","1442.64","429","341","0","0","1473","5133","12090","1120.27","1765.01","0","14787","429","859"
"1995","Employed","no migration background","1242.63","429","6483","0","0","1227","3937","12078","1177.33","1307.93","0","38664","429","429"
"1995","Not Employed","direct migration background","2664.77","429","1106","0","0","3865","8838","20861","2395.89","2933.65","0","28440","859","1227"
"1995","Not Employed","indirect migration background","2596.67","859","172","0","215","3006","8130","23155","1990.3","3203.04","0","23155","920","1984"
"1995","Not Employed","no migration background","1468.58","0","3560","0","0","859","5522","16382","1335.79","1601.37","0","38664","0","0"
"1996","Employed","direct migration background","1685.09","429","1595","0","0","2147","4908","13784","1535.51","1834.67","0","24235","675","859"
"1996","Employed","indirect migration background","1807.08","429","368","0","0","1943","5829","15308","1413.58","2200.58","0","21781","429","614"
"1996","Employed","no migration background","1378.05","429","6491","0","0","1227","4111","13437","1305.32","1450.78","0","39267","429","429"
"1996","Not Employed","direct migration background","2744.32","429","1026","0","0","3994","9206","18603","2440.89","3047.75","0","28776","859","1227"
"1996","Not Employed","indirect migration background","2535.5","1227","181","0","429","3068","6442","15339","1864.51","3206.49","0","26996","1227","2209"
"1996","Not Employed","no migration background","1846.15","0","3464","0","0","1227","6626","17895","1690.57","2001.73","0","39267","0","429"
"1997","Employed","direct migration background","2349.86","1227","1474","0","0","3198","6442","13140","2177.25","2522.47","0","24849","1227","2250"
"1997","Employed","indirect migration background","2391.56","1227","373","0","0","2454","7669","15891","1997.4","2785.72","0","21352","1227","1524"
"1997","Employed","no migration background","2010.83","1227","6316","0","0","2454","5522","15151","1928.79","2092.87","0","42053","1227","1227"
"1997","Not Employed","direct migration background","3069.61","1227","1018","0","0","5283","10430","16198","2766.59","3372.63","0","25156","1350","2454"
"1997","Not Employed","indirect migration background","3582.52","2454","202","0","1227","4643","9510","15891","2995.55","4169.49","0","25156","2454","3681"
"1997","Not Employed","no migration background","2195.62","0","3532","0","0","2454","7406","19388","2035.39","2355.85","0","42053","0","920"
"1998","Employed","direct migration background","2366.93","1350","1407","0","0","3068","6688","13672","2190.34","2543.52","0","24143","1350","2454"
"1998","Employed","indirect migration background","2712.4","1350","396","0","0","3829","6994","16075","2334.36","3090.44","0","24174","1350","1841"
"1998","Employed","no migration background","2132.38","1350","7085","0","0","2700","5639","13895","2055.79","2208.97","0","36940","1350","1350"
"1998","Not Employed","direct migration background","3557.1","1350","1014","0","0","4945","10998","23196","3237.26","3876.94","0","33340","2147","2700"
"1998","Not Employed","indirect migration background","3575.99","2440.66","208","0","1227","4745","10614","17220","2926.86","4225.12","0","23438","2700","3620"
"1998","Not Employed","no migration background","2119.98","0","4217","0","0","2700","7203","19750","1982","2257.96","0","48716","0","0"
"1999","Employed","direct migration background","2498.26","1350","1311","0","0","3313","6512","13437","2301.97","2694.55","0","29831","1350","2556"
"1999","Employed","indirect migration background","2644.6","1350","419","0","0","2700","6442","18959","2265.77","3023.43","0","23928","1350","2045"
"1999","Employed","no migration background","2210.66","1350","7070","0","0","2700","6104","13744","2135.23","2286.09","0","38131","1350","1350"
"1999","Not Employed","direct migration background","3096.96","491","912","0","0","4847","9620","23228","2773.51","3420.41","0","29831","1350","2700"
"1999","Not Employed","indirect migration background","3851.95","2700","193","0","1350","5461","10621","19143","3201.73","4502.17","0","22026","2700","3497"
"1999","Not Employed","no migration background","1949","0","3863","0","0","2454","6749","18100","1810.19","2087.81","0","33609","0","0"
"2000","Employed","direct migration background","2952.3","1534","1977","0","0","3937","7899","16535","2785.74","3118.86","0","25462","1841","2851"
"2000","Employed","indirect migration background","2601.76","1534","584","0","0","3579","6749","19467","2288.76","2914.76","0","24542","1534","1534"
"2000","Employed","no migration background","2172.73","1534","12634","0","0","3068","5829","14086","2116.45","2229.01","0","32825","1534","1534"
"2000","Not Employed","direct migration background","3706.27","1534","1367","0","0","5810","11437","21542","3431.49","3981.05","0","26137","1534","3068"
"2000","Not Employed","indirect migration background","4441.29","3068","247","0","1534","5621","11351","22395","3823.61","5058.97","0","22395","3068","3436"
"2000","Not Employed","no migration background","1880.47","0","7455","0","0","1687","6731","18407","1779.86","1981.08","0","39208","0","0"
