"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","general elemantary","955.79","307","1709","0","0","920","2945","7669","872.64","1038.94","0","13559","307","573"
"1984","Employed","higher education","726.3","307","633","0","0","736","1841","5875","625.55","827.05","0","10635","307","307"
"1984","Employed","higher vocational","733.46","307","474","0","0","736","2224","6340","619.36","847.56","0","8896","307","307"
"1984","Employed","in school","","","","","","","","","","","","","",""
"1984","Employed","inadequately","1489.69","736","639","0","0","2158","3743","12774","1324.07","1655.31","0","19215","307","736"
"1984","Employed","middle vocational","812.7","307","3835","0","0","798","2393","6565","763.02","862.38","0","17564","307","307"
"1984","Employed","vocational + Abi","893.56","0","231","0","0","736","3467","8283","618.48","1168.64","0","10560","307","307"
"1984","Not Employed","general elemantary","819.4","0","1759","0","0","736","2700","8406","722.73","916.07","0","17363","307","307"
"1984","Not Employed","higher education","735.51","0","160","0","0","736","2595","5215","448.12","1022.9","0","17486","0","307"
"1984","Not Employed","higher vocational","901.17","0","186","0","0","736","3272","13048","540.41","1261.93","0","17564","0","307"
"1984","Not Employed","in school","1448.59","736","178","307","307","1697","3860","8160","1144.06","1753.12","0","17564","736","900"
"1984","Not Employed","inadequately","2564.46","920","380","0","307","3865","7056","16760","2251.27","2877.65","0","17363","798","1759"
"1984","Not Employed","middle vocational","834.26","0","1890","0","0","736","2965","9019","738.69","929.83","0","17564","0","307"
"1984","Not Employed","vocational + Abi","1320.6","230.25","81","0","0","1784","4786","7363","834.97","1806.23","0","7811","0","736"
"1985","Employed","general elemantary","998.24","307","1541","0","0","920","2761","8522","904.04","1092.44","0","18320","307","614"
"1985","Employed","higher education","694.1","307","608","0","0","798","2147","4626","603.53","784.67","0","9002","307","429"
"1985","Employed","higher vocational","694.48","307","452","0","0","920","1982","5113","581.9","807.06","0","9002","307","307"
"1985","Employed","in school","","","","","","","","","","","","","",""
"1985","Employed","inadequately","1128.21","656","507","0","0","2004","2610","5746","993.22","1263.2","0","11412","716","920"
"1985","Employed","middle vocational","803.36","307","3473","0","0","920","2270","6377","751.02","855.7","0","18320","307","307"
"1985","Employed","vocational + Abi","802.47","0","201","0","0","767","2556","7363","548.33","1056.61","0","9019","307","307"
"1985","Not Employed","general elemantary","853.81","0","1538","0","0","736","2700","9633","743.21","964.41","0","16361","307","307"
"1985","Not Employed","higher education","741.32","0","150","0","0","307","1043","9367","270.87","1211.77","0","29911","0","307"
"1985","Not Employed","higher vocational","786.97","0","169","0","0","681","3246","10148","445.21","1128.73","0","15247","0","307"
