"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Female","1306.59","683.07","1601","0","0","1759","3763","8937","1191.46","1421.72","0","17564","736","736"
"1984","direct migration background","Male","1504.2","606.19","1816","0","0","2045","4372","12578","1391.66","1616.74","0","19215","736","736"
"1984","indirect migration background","Female","704.34","0","66","0","0","736","2053","9183","107.66","1301.02","0","9545","307","736"
"1984","indirect migration background","Male","973.99","715.18","62","0","0","1841","2863","7056","561.13","1386.85","0","8978","307","869"
"1984","no migration background","Female","776.16","0","4565","0","0","736","2403","7669","728.9","823.42","0","16760","307","307"
"1984","no migration background","Male","857.14","307","4121","0","0","777","2577","8160","806.74","907.54","0","16760","307","307"
"1985","direct migration background","Female","1268.6","307","1374","0","0","1534","3681","11283","1143.02","1394.18","0","18320","736","920"
"1985","direct migration background","Male","1362.05","307","1571","0","0","1740","4003","11555","1243.62","1480.48","0","18320","736","920"
"1985","indirect migration background","Female","761.97","307","78","0","0","736","3577","5522","375.07","1148.87","0","9326","307","920"
"1985","indirect migration background","Male","1261.08","662.57","66","0","0","1023","3865","11044","675.7","1846.46","0","11555","736","1625"
"1985","no migration background","Female","792.82","0","4180","0","0","890","2331","7976","739.32","846.32","0","29911","307","307"
"1985","no migration background","Male","841.55","307","3818","0","0","920","2389","7976","786.54","896.56","0","29911","307","307"
"1986","direct migration background","Female","1223.72","307","1317","0","0","1473","3681","9130","1089.22","1358.22","0","19867","736","767"
"1986","direct migration background","Male","1349.68","307","1539","0","0","1595","4193","9878","1227.44","1471.92","0","19867","675","736"
"1986","indirect migration background","Female","600.69","0","83","0","0","307","2086","5404","195.01","1006.37","0","11332","307","920"
"1986","indirect migration background","Male","1356.98","347.29","73","0","0","1917","2899","8590","877.65","1836.31","0","8590","307","920"
"1986","no migration background","Female","765.45","0","3977","0","0","736","2276","7976","713.36","817.54","0","19016","307","307"
"1986","no migration background","Male","839.83","307","3654","0","0","920","2454","7424","785.73","893.93","0","19572","307","307"
"1987","direct migration background","Female","1312","307","1321","0","0","1595","4009","10682","1180.13","1443.87","0","16382","736","905"
"1987","direct migration background","Male","1323.39","307","1522","0","0","1636","3927","11486","1204.16","1442.62","0","16382","736","798"
"1987","indirect migration background","Female","825.44","0","94","0","0","736","2352","8299","312.19","1338.69","0","16382","307","920"
"1987","indirect migration background","Male","1021.42","307","83","0","0","1534","2362","6491","607.22","1435.62","0","8896","307","920"
"1987","no migration background","Female","816.06","0","3892","0","0","736","2270","8896","753.11","879.01","0","28095","307","307"
"1987","no migration background","Male","853.88","307","3601","0","0","861","2421","8896","791.27","916.49","0","28095","307","307"
"1988","direct migration background","Female","1308.32","307","1268","0","0","1479","3835","10257","1162.05","1454.59","0","22266","736","920"
"1988","direct migration background","Male","1346.76","307","1422","0","0","1534","3988","11473","1212.94","1480.58","0","22266","736","920"
"1988","indirect migration background","Female","1100.82","307","116","0","0","1023","3375","9473","682.15","1519.49","0","13547","307","1043"
"1988","indirect migration background","Male","1509.17","307","108","0","0","1994","5319","9203","1084.36","1933.98","0","11044","307","920"
"1988","no migration background","Female","773.46","0","3684","0","0","736","2407","8273","716.65","830.27","0","18959","307","307"
"1988","no migration background","Male","829.54","225.91","3424","0","0","736","2393","8835","768.05","891.03","0","18959","307","307"
"1989","direct migration background","Female","1416.83","307","1249","0","0","1534","4561","12424","1264.76","1568.9","0","16719","736","905"
"1989","direct migration background","Male","1337.07","307","1357","0","0","1189","4052","12424","1190.5","1483.64","0","16719","658","736"
"1989","indirect migration background","Female","1083.9","307","137","0","0","920","3681","9203","726.37","1441.43","0","13081","307","920"
"1989","indirect migration background","Male","1533.58","736","123","0","0","976","5215","11602","1119.58","1947.58","0","11602","307","767"
"1989","no migration background","Female","824.26","0","3542","0","0","736","2505","9651","760.05","888.47","0","21469","307","307"
"1989","no migration background","Male","861.91","205","3301","0","0","798","2454","11044","794.07","929.75","0","21469","307","307"
"1990","direct migration background","Female","1366.05","307","1208","0","0","1554","3681","12444","1210.08","1522.02","0","31911","736","920"
"1990","direct migration background","Male","1396.62","307","1343","0","0","1534","3998","12271","1249.11","1544.13","0","21720","614","798"
"1990","indirect migration background","Female","1207.06","307","151","0","0","1657","2945","8569","793.53","1620.59","0","21720","307","920"
"1990","indirect migration background","Male","1248.64","736","145","0","0","1227","3743","9280","906.81","1590.47","0","9909","307","920"
"1990","no migration background","Female","808.95","0","3468","0","0","736","2319","9449","743.4","874.5","0","31911","0","307"
"1990","no migration background","Male","854.55","0","3202","0","0","736","2405","10222","783.68","925.42","0","31911","307","307"
"1991","direct migration background","Female","1261.28","307","1186","0","0","1380","3927","10430","1105.66","1416.9","0","30371","614","736"
"1991","direct migration background","Male","1293.41","307","1315","0","0","1380","3988","11021","1145.73","1441.09","0","30371","583","736"
"1991","indirect migration background","Female","1346.08","307","175","0","0","1473","3681","9490","845.02","1847.14","0","30371","307","920"
"1991","indirect migration background","Male","1356.78","567.96","174","0","0","1380","3927","11021","1000.88","1712.68","0","11021","307","861"
"1991","no migration background","Female","829.11","0","3446","0","0","736","2638","9510","766.72","891.5","0","14602","0","307"
"1991","no migration background","Male","859.07","0","3170","0","0","736","2687","9203","794.27","923.87","0","17805","152","307"
"1992","direct migration background","Female","1179.06","307","1237","0","0","1104","3988","10068","1019.12","1339","0","21474","307","736"
"1992","direct migration background","Male","1289.02","307","1334","0","0","1278","3988","12081","1134.65","1443.39","0","21474","368","736"
"1992","indirect migration background","Female","1633.29","611.91","203","0","0","1473","4366","19332","1133.49","2133.09","0","23218","614","982"
"1992","indirect migration background","Male","1821.07","579.7","208","0","0","2301","4908","13848","1426.61","2215.53","0","14326","307","798"
"1992","no migration background","Female","995.95","0","5461","0","0","920","3445","9317","935.73","1056.17","0","29757","307","307"
"1992","no migration background","Male","1080.97","207.97","4948","0","0","1104","3681","9620","1017.06","1144.88","0","28837","307","307"
"1993","direct migration background","Female","1314.65","429","1202","0","0","1227","4378","10768","1151.77","1477.53","0","22793","429","736"
"1993","direct migration background","Male","1490.95","429","1296","0","0","1595","4352","13498","1323.8","1658.1","0","22793","429","736"
"1993","indirect migration background","Female","1288.12","429","236","0","0","1497","3190","10849","973.88","1602.36","0","14211","450","859"
"1993","indirect migration background","Male","1901.55","775.33","240","0","307","2326","5430","13314","1467.18","2335.92","0","22701","460","994"
"1993","no migration background","Female","1189.21","0","5347","0","0","1098","3927","11948","1112.2","1266.22","0","33370","429","429"
"1993","no migration background","Male","1251.75","0","4857","0","0","1227","4111","11018","1172.73","1330.77","0","33370","429","429"
"1994","direct migration background","Female","1603.15","429","1157","0","0","1657","4878","14768","1409.61","1796.69","0","36046","429","736"
"1994","direct migration background","Male","1846.96","429","1217","0","0","2147","5862","15211","1643.34","2050.58","0","36046","429","859"
"1994","indirect migration background","Female","1535.18","429","248","0","0","2086","4766","11424","1213.75","1856.61","0","13492","429","920"
"1994","indirect migration background","Male","2031.08","429","248","0","0","2454","6258","24981","1592.12","2470.04","0","24981","429","920"
"1994","no migration background","Female","1288.41","0","5299","0","0","1043","4172","13899","1203.16","1373.66","0","36322","429","429"
"1994","no migration background","Male","1426.6","98.9","4775","0","0","1227","4625","13928","1334.87","1518.33","0","36322","429","429"
"1995","direct migration background","Female","1937.06","429","1391","0","0","2250","6360","16625","1744.03","2130.09","0","28440","633","859"
"1995","direct migration background","Male","2156","481.24","1423","0","0","2577","6810","14930","1966.8","2345.2","0","28440","828","982"
"1995","indirect migration background","Female","2025.55","429","257","0","0","2209","6136","23155","1599.81","2451.29","0","23155","736","1227"
"1995","indirect migration background","Male","1751.34","429","256","0","0","2209","5721","13744","1333.51","2169.17","0","18836","429","1104"
"1995","no migration background","Female","1284.56","0","5282","0","0","988","4356","14163","1197.14","1371.98","0","38664","429","429"
"1995","no migration background","Male","1395.32","0","4761","0","0","1227","4602","14940","1303.29","1487.35","0","38664","429","429"
"1996","direct migration background","Female","2114.39","429","1304","0","0","2556","6933","16484","1898.23","2330.55","0","28776","736","920"
"1996","direct migration background","Male","2204.41","429","1317","0","0","2577","6872","17793","1989.09","2419.73","0","26996","736","920"
"1996","indirect migration background","Female","1949.9","431.47","280","0","0","1939","5574","15339","1506.78","2393.02","0","21781","429","1043"
"1996","indirect migration background","Male","2222.32","859","269","0","0","2577","6050","15486","1686.06","2758.58","0","26996","429","1227"
"1996","no migration background","Female","1529.02","0","5226","0","0","1227","5154","15952","1430.34","1627.7","0","39267","429","429"
"1996","no migration background","Male","1618.38","307","4729","0","0","1227","5248","15952","1511.61","1725.15","0","39267","429","429"
"1997","direct migration background","Female","2676.6","1227","1233","0","0","3988","8590","15339","2442.48","2910.72","0","25156","1227","2454"
"1997","direct migration background","Male","2678.99","1227","1259","0","0","4295","7976","14572","2454.35","2903.63","0","25156","1278","2454"
"1997","indirect migration background","Female","2627.75","1227","282","0","0","4295","7669","14096","2195.66","3059.84","0","17615","1227","2454"
"1997","indirect migration background","Male","3076.95","1841","293","0","0","4295","8590","18407","2570.9","3583","0","25156","1788","2454"
"1997","no migration background","Female","2049.26","0","5163","0","0","2454","6442","17179","1942.07","2156.45","0","42053","1227","1227"
"1997","no migration background","Male","2132.39","859","4685","0","0","2454","6381","17179","2018.28","2246.5","0","42053","1227","1227"
"1998","direct migration background","Female","2764.94","1350","1199","0","0","4233","7792","17302","2525.29","3004.59","0","33340","1350","2454"
"1998","direct migration background","Male","3029.31","1350","1222","0","0","4328","8573","19020","2787.02","3271.6","0","33340","1841","2700"
"1998","indirect migration background","Female","2950.21","1350","294","0","0","3937","9203","14971","2473.69","3426.73","0","23438","1350","2700"
"1998","indirect migration background","Male","3140.54","1350","310","0","0","4418","8426","21229","2655.12","3625.96","0","24174","1473","2700"
"1998","no migration background","Female","2031.78","0","5918","0","0","2700","6212","17179","1935.87","2127.69","0","36940","1350","1350"
"1998","no migration background","Male","2231.42","901.97","5384","0","0","2700","6504","17118","2127.7","2335.14","0","48716","1350","1350"
"1999","direct migration background","Female","2588.71","1350","1106","0","0","3436","6904","16359","2349.53","2827.89","0","29831","1350","2556"
"1999","direct migration background","Male","2911.93","1350","1117","0","0","4049","8445","21098","2651.36","3172.5","0","29831","1350","2641"
"1999","indirect migration background","Female","2714.44","1350","301","0","0","4086","6994","15226","2279.26","3149.62","0","23928","1350","2700"
"1999","indirect migration background","Male","3447.82","1432","311","0","238","4418","9142","19143","2939.7","3955.94","0","22026","1611","2700"
"1999","no migration background","Female","2052.42","0","5716","0","0","2700","6381","16361","1955.15","2149.69","0","38131","1350","1350"
"1999","no migration background","Male","2158.84","1227","5217","0","0","2700","6381","15443","2060.55","2257.13","0","38131","1350","1350"
"2000","direct migration background","Female","3134.06","1534","1702","0","0","4847","9019","18202","2927.89","3340.23","0","26137","1534","2700"
"2000","direct migration background","Male","3394.06","1534","1642","0","0","4908","9766","19467","3174.9","3613.22","0","26137","2288","3068"
"2000","indirect migration background","Female","3288.95","1534","420","0","0","4908","8948","22395","2871.8","3706.1","0","24542","1534","3068"
"2000","indirect migration background","Male","3086.68","1534","411","0","0","4346","7772","20043","2676.68","3496.68","0","22088","1534","3068"
"2000","no migration background","Female","2000.94","0","10488","0","0","3068","5893","15437","1929.62","2072.26","0","39208","1350","1534"
"2000","no migration background","Male","2113.56","0","9603","0","0","3068","6136","15850","2039.28","2187.84","0","39208","1411","1534"
"2001","direct migration background","Female","3440.16","1657","1502","0","0","5154","9096","21106","3212.6","3667.72","0","30003","1657","2679"
"2001","direct migration background","Male","3669.8","2046.98","1443","0","0","5440","9960","19173","3434.28","3905.32","0","30003","2454","3272"
"2001","indirect migration background","Female","3309.57","1657","397","0","0","4970","8733","14888","2902.53","3716.61","0","28745","1912","3313"
"2001","indirect migration background","Male","3285.32","1657","380","0","0","5154","7608","20554","2826.53","3744.11","0","30003","1657","2613"
"2001","no migration background","Female","2137.89","0","9582","0","0","3313","6274","15768","2061.3","2214.48","0","61355","1534","1657"
"2001","no migration background","Male","2211.18","204.88","8759","0","0","3313","6320","16382","2131.67","2290.69","0","61355","1534","1657"
"2002","direct migration background","Female","3389.12","1800","1451","0","0","5148","8973","18716","3164.66","3613.58","0","31146","1800","2500"
"2002","direct migration background","Male","3653.79","2500","1369","0","0","5436","9660","18716","3415.08","3892.5","0","31146","2000","3000"
"2002","indirect migration background","Female","3660.64","2181.39","411","0","0","5220","8020","21840","3244.76","4076.52","0","31146","2328","3300"
"2002","indirect migration background","Male","3512.4","1800","373","0","0","4785","8300","21840","3064.72","3960.08","0","31146","1788","3000"
"2002","no migration background","Female","2248.71","0","10117","0","0","3240","6942","16634","2175.92","2321.5","0","43764","1560","1620"
"2002","no migration background","Male","2330.93","400","9436","0","0","3312","7000","16296","2255.96","2405.9","0","43764","1620","1620"
"2003","direct migration background","Female","3892.19","1848","1372","0","0","5648","10580","20184","3633.63","4150.75","0","27900","1848","2424"
"2003","direct migration background","Male","4073.65","2418.14","1273","0","0","6000","10580","19296","3813.08","4334.22","0","31200","2220","3372"
"2003","indirect migration background","Female","4051.79","2040.17","415","0","0","6012","9408","25716","3599.66","4503.92","0","27900","2056","3696"
"2003","indirect migration background","Male","3832.96","1848","375","0","0","5520","9300","21108","3317.38","4348.54","0","27752","1848","3240"
"2003","no migration background","Female","2434.72","0","9779","0","0","3696","7600","17112","2356.45","2512.99","0","40572","1800","1816"
"2003","no migration background","Male","2538.63","733.49","9083","0","0","3696","7614","17815","2456.8","2620.46","0","40572","1800","1836"
"2004","direct migration background","Female","4043.67","1848","1328","0","0","5988","10976","24984","3768.17","4319.17","0","43273","1848","2884"
"2004","direct migration background","Male","4154.66","2501.37","1224","0","0","6414","11346","19006","3877.29","4432.03","0","28080","2400","3600"
"2004","indirect migration background","Female","4875.58","3696","421","0","1278","6208","12317","25380","4397.75","5353.41","0","28340","3140","3697"
"2004","indirect migration background","Male","4606.23","3330.78","390","0","156","6249","11586","28340","4082.64","5129.82","0","36840","1848","3696"
