"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","Rural Area","3.95","4","4196","2.33","3","4.67","5.67","6.67","3.91","3.99","1","7","4","4"
"2005","Employed","Urban Area","3.88","4","8658","2.33","3","4.67","5.33","6.67","3.85","3.91","1","7","3.66666674613953","4"
"2005","Not Employed","Rural Area","4.19","4.33","2660","2.67","3.33","5","5.67","7","4.14","4.24","1","7","4","4.33333349227905"
"2005","Not Employed","Urban Area","4.08","4","5224","2.33","3.33","5","5.67","7","4.05","4.11","1","7","4","4"
"2006","Employed","Rural Area","","","","","","","","","","","","","",""
"2006","Employed","Urban Area","","","","","","","","","","","","","",""
"2006","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2006","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2007","Employed","Rural Area","","","","","","","","","","","","","",""
"2007","Employed","Urban Area","","","","","","","","","","","","","",""
"2007","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2007","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2008","Employed","Rural Area","","","","","","","","","","","","","",""
"2008","Employed","Urban Area","","","","","","","","","","","","","",""
"2008","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2008","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2009","Employed","Rural Area","3.85","4","3851","2.33","3","4.67","5.33","6.67","3.81","3.89","1","7","3.66666674613953","3.66666674613953"
"2009","Employed","Urban Area","3.77","3.67","7376","2.33","3","4.67","5.33","6.67","3.74","3.8","1","7","3.66666674613953","3.66666674613953"
"2009","Not Employed","Rural Area","4.04","4","2386","2.33","3.33","5","5.67","7","3.99","4.09","1","7","4","4"
"2009","Not Employed","Urban Area","3.96","4","4435","2.33","3","4.67","5.67","7","3.92","4","1","7","4","4"
"2010","Employed","Rural Area","","","","","","","","","","","","","",""
"2010","Employed","Urban Area","","","","","","","","","","","","","",""
"2010","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2010","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2011","Employed","Rural Area","","","","","","","","","","","","","",""
"2011","Employed","Urban Area","","","","","","","","","","","","","",""
"2011","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2011","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2012","Employed","Rural Area","3.83","3.67","2034","2.33","3","4.67","5.33","6.67","3.78","3.88","1","7","3.66666674613953","4"
"2012","Employed","Urban Area","3.84","4","3349","2.33","3","4.67","5.67","6.67","3.8","3.88","1","7","3.66666674613953","3.66666674613953"
"2012","Not Employed","Rural Area","4.13","4","649","2.33","3.33","5","5.67","7","4.04","4.22","1","7","4","4.33333349227905"
"2012","Not Employed","Urban Area","4.26","4.33","1098","2.67","3.33","5","6","7","4.19","4.33","1","7","4","4.33333349227905"
"2013","Employed","Rural Area","3.7","3.67","4042","2","3","4.33","5.33","6.67","3.66","3.74","1","7","3.66666674613953","3.66666674613953"
"2013","Employed","Urban Area","3.65","3.67","7533","2","2.67","4.33","5.33","6.67","3.62","3.68","1","7","3.66666674613953","3.66666674613953"
"2013","Not Employed","Rural Area","3.94","4","2620","2.33","3","4.67","5.67","7","3.89","3.99","1","7","4","4"
"2013","Not Employed","Urban Area","3.9","4","4704","2.33","3","4.67","5.67","7","3.86","3.94","1","7","4","4"
"2014","Employed","Rural Area","","","","","","","","","","","","","",""
"2014","Employed","Urban Area","","","","","","","","","","","","","",""
"2014","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2014","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2015","Employed","Rural Area","","","","","","","","","","","","","",""
"2015","Employed","Urban Area","","","","","","","","","","","","","",""
"2015","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2015","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2016","Employed","Rural Area","","","","","","","","","","","","","",""
"2016","Employed","Urban Area","","","","","","","","","","","","","",""
"2016","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2016","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2017","Employed","Rural Area","3.76","3.67","6421","2.33","3","4.67","5.33","6.67","3.73","3.79","1","7","3.66666674613953","3.66666674613953"
"2017","Employed","Urban Area","3.73","3.67","11893","2","3","4.67","5.33","6.67","3.71","3.75","1","7","3.66666674613953","3.66666674613953"
"2017","Not Employed","Rural Area","3.97","4","3809","2.33","3","4.67","5.67","7","3.93","4.01","1","7","4","4"
"2017","Not Employed","Urban Area","3.93","4","7203","2.33","3","4.67","5.67","7","3.9","3.96","1","7","3.66666674613953","4"
"2018","Employed","Rural Area","","","","","","","","","","","","","",""
"2018","Employed","Urban Area","","","","","","","","","","","","","",""
"2018","Not Employed","Rural Area","","","","","","","","","","","","","",""
"2018","Not Employed","Urban Area","","","","","","","","","","","","","",""
"2019","Employed","Rural Area","3.57","3.67","6010","2","2.67","4.33","5","6.33","3.54","3.6","1","7","3.33333325386047","3.66666674613953"
"2019","Employed","Urban Area","3.48","3.33","10667","2","2.67","4.33","5.33","6.67","3.46","3.5","1","7","3.33333325386047","3.33333325386047"
"2019","Not Employed","Rural Area","3.78","3.67","2856","2","3","4.67","5.33","7","3.73","3.83","1","7","3.66666674613953","3.66666674613953"
"2019","Not Employed","Urban Area","3.74","3.67","4768","2","3","4.67","5.33","7","3.7","3.78","1","7","3.66666674613953","3.66666674613953"
