"year","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Ostdeutschland, neue Bundeslaender","4.09","4","5050","4.06","4.12","2.66666674613953","3.33333325386047","5","5.66666650772095"
"2005","Westdeutschland, alte Bundeslaender","3.97","4","15688","3.95","3.99","2.33333325386047","3","4.66666650772095","5.66666650772095"
"2006","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","3.95","4","4554","3.92","3.98","2.33333325386047","3","4.66666650772095","5.66666650772095"
"2009","Westdeutschland, alte Bundeslaender","3.85","3.67","13494","3.83","3.87","2.33333325386047","3","4.66666650772095","5.33333349227905"
"2010","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","3.93","4","1338","3.86","4","2.33333325386047","3","4.66666650772095","5.66666650772095"
"2012","Westdeutschland, alte Bundeslaender","3.93","4","5792","3.9","3.96","2.33333325386047","3","4.66666650772095","5.66666650772095"
"2013","Ostdeutschland, neue Bundeslaender","3.85","3.67","4471","3.82","3.88","2.33333325386047","3","4.66666650772095","5.33333349227905"
"2013","Westdeutschland, alte Bundeslaender","3.74","3.67","14428","3.72","3.76","2","3","4.66666650772095","5.33333349227905"
"2014","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2017","Ostdeutschland, neue Bundeslaender","3.86","4","6107","3.83","3.89","2.33333325386047","3","4.66666650772095","5.33333349227905"
"2017","Westdeutschland, alte Bundeslaender","3.8","3.67","23219","3.78","3.82","2.33333325386047","3","4.66666650772095","5.33333349227905"
"2018","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2019","Ostdeutschland, neue Bundeslaender","3.68","3.67","5575","3.65","3.71","2","3","4.33333349227905","5.33333349227905"
"2019","Westdeutschland, alte Bundeslaender","3.58","3.67","20170","3.56","3.6","2","2.66666674613953","4.33333349227905","5.33333349227905"
