"year","age_gr","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","Female","4.73","4.67","2776","4.69","4.77","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2005","16-34 y.","Male","4.46","4.33","2551","4.42","4.5","3","3.66666674613953","5.33333349227905","6"
"2005","35-65 y.","Female","4.55","4.67","5993","4.52","4.58","3","3.66666674613953","5.33333349227905","6.33333349227905"
"2005","35-65 y.","Male","4.41","4.33","5627","4.38","4.44","3","3.66666674613953","5.33333349227905","6"
"2005","66 and older","Female","4.21","4.33","2051","4.15","4.27","2.33333325386047","3.33333325386047","5","6"
"2005","66 and older","Male","4.21","4.33","1724","4.15","4.27","2.33333325386047","3.33333325386047","5","6"
"2006","16-34 y.","Female","","","","","","","","",""
"2006","16-34 y.","Male","","","","","","","","",""
"2006","35-65 y.","Female","","","","","","","","",""
"2006","35-65 y.","Male","","","","","","","","",""
"2006","66 and older","Female","","","","","","","","",""
"2006","66 and older","Male","","","","","","","","",""
"2007","16-34 y.","Female","","","","","","","","",""
"2007","16-34 y.","Male","","","","","","","","",""
"2007","35-65 y.","Female","","","","","","","","",""
"2007","35-65 y.","Male","","","","","","","","",""
"2007","66 and older","Female","","","","","","","","",""
"2007","66 and older","Male","","","","","","","","",""
"2008","16-34 y.","Female","","","","","","","","",""
"2008","16-34 y.","Male","","","","","","","","",""
"2008","35-65 y.","Female","","","","","","","","",""
"2008","35-65 y.","Male","","","","","","","","",""
"2008","66 and older","Female","","","","","","","","",""
"2008","66 and older","Male","","","","","","","","",""
"2009","16-34 y.","Female","4.58","4.67","2075","4.53","4.63","3","3.66666674613953","5.33333349227905","6.33333349227905"
"2009","16-34 y.","Male","4.39","4.33","1920","4.34","4.44","3","3.66666674613953","5","6"
"2009","35-65 y.","Female","4.43","4.33","5163","4.4","4.46","2.66666674613953","3.66666674613953","5.33333349227905","6"
"2009","35-65 y.","Male","4.3","4.33","4714","4.27","4.33","3","3.5","5","6"
"2009","66 and older","Female","4.09","4","2194","4.04","4.14","2.33333325386047","3.33333325386047","5","5.66666650772095"
"2009","66 and older","Male","4.17","4","1972","4.11","4.23","2.5","3.33333325386047","5","6"
"2010","16-34 y.","Female","","","","","","","","",""
"2010","16-34 y.","Male","","","","","","","","",""
"2010","35-65 y.","Female","","","","","","","","",""
"2010","35-65 y.","Male","","","","","","","","",""
"2010","66 and older","Female","","","","","","","","",""
"2010","66 and older","Male","","","","","","","","",""
"2011","16-34 y.","Female","","","","","","","","",""
"2011","16-34 y.","Male","","","","","","","","",""
"2011","35-65 y.","Female","","","","","","","","",""
"2011","35-65 y.","Male","","","","","","","","",""
"2011","66 and older","Female","","","","","","","","",""
"2011","66 and older","Male","","","","","","","","",""
