"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","general elemantary","Rural Area","4.12","4","764","2.33","3.33","5","6","7","4.03","4.21","1","7","4","4.33333349227905"
"2005","general elemantary","Urban Area","4.16","4","1645","2.33","3.33","5","6","7","4.1","4.22","1","7","4","4.33333349227905"
"2005","higher education","Rural Area","4.74","4.67","1201","3.33","4","5.67","6.33","7","4.68","4.8","1.33","7","4.66666650772095","5"
"2005","higher education","Urban Area","4.83","5","2971","3.33","4","5.67","6.33","7","4.79","4.87","1","7","5","5"
"2005","higher vocational","Rural Area","4.42","4.67","558","3","3.67","5.33","6","7","4.32","4.52","1","7","4.33333349227905","4.66666650772095"
"2005","higher vocational","Urban Area","4.6","4.67","1001","3","4","5.33","6","7","4.53","4.67","1","7","4.66666650772095","4.66666650772095"
"2005","in school","Rural Area","4.88","5","199","3","4","6","6.33","7","4.72","5.04","1.67","7","4.66666650772095","5"
"2005","in school","Urban Area","4.88","5","451","3.33","4","5.67","6.67","7","4.77","4.99","1.33","7","4.66666650772095","5"
"2005","inadequately","Rural Area","4.08","4.33","58","2.33","3.33","5","5.67","7","3.68","4.48","1","7","3.33333325386047","4.33333349227905"
"2005","inadequately","Urban Area","3.68","3.67","178","2","2.67","4.67","5.33","7","3.48","3.88","1","7","3.33333325386047","4"
"2005","middle vocational","Rural Area","4.33","4.33","3715","2.67","3.67","5","6","7","4.29","4.37","1","7","4.33333349227905","4.33333349227905"
"2005","middle vocational","Urban Area","4.4","4.33","6542","3","3.67","5.33","6","7","4.37","4.43","1","7","4.33333349227905","4.33333349227905"
"2005","vocational + Abi","Rural Area","4.65","4.67","265","3.33","4","5.67","6","7","4.51","4.79","1","7","4.33333349227905","4.66666650772095"
"2005","vocational + Abi","Urban Area","4.62","4.67","871","3","3.67","5.33","6.33","7","4.54","4.7","1","7","4.66666650772095","4.66666650772095"
"2006","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2006","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2006","higher education","Rural Area","","","","","","","","","","","","","",""
"2006","higher education","Urban Area","","","","","","","","","","","","","",""
"2006","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2006","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2006","in school","Rural Area","","","","","","","","","","","","","",""
"2006","in school","Urban Area","","","","","","","","","","","","","",""
"2006","inadequately","Rural Area","","","","","","","","","","","","","",""
"2006","inadequately","Urban Area","","","","","","","","","","","","","",""
"2006","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2006","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2006","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2006","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2007","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2007","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2007","higher education","Rural Area","","","","","","","","","","","","","",""
"2007","higher education","Urban Area","","","","","","","","","","","","","",""
"2007","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2007","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2007","in school","Rural Area","","","","","","","","","","","","","",""
"2007","in school","Urban Area","","","","","","","","","","","","","",""
"2007","inadequately","Rural Area","","","","","","","","","","","","","",""
"2007","inadequately","Urban Area","","","","","","","","","","","","","",""
"2007","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2007","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2007","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2007","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2008","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2008","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2008","higher education","Rural Area","","","","","","","","","","","","","",""
"2008","higher education","Urban Area","","","","","","","","","","","","","",""
"2008","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2008","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2008","in school","Rural Area","","","","","","","","","","","","","",""
"2008","in school","Urban Area","","","","","","","","","","","","","",""
"2008","inadequately","Rural Area","","","","","","","","","","","","","",""
"2008","inadequately","Urban Area","","","","","","","","","","","","","",""
"2008","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2008","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2008","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2008","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2009","general elemantary","Rural Area","3.96","4","601","2.33","3","4.67","5.33","7","3.86","4.06","1","7","3.66666674613953","4"
"2009","general elemantary","Urban Area","3.99","4","1197","2.33","3","4.67","5.67","7","3.92","4.06","1","7","4","4"
"2009","higher education","Rural Area","4.64","4.67","1195","3.33","4","5.33","6","7","4.58","4.7","1.33","7","4.66666650772095","4.66666650772095"
"2009","higher education","Urban Area","4.72","4.67","2839","3","4","5.67","6.33","7","4.68","4.76","1","7","4.66666650772095","5"
"2009","higher vocational","Rural Area","4.44","4.33","515","3","3.67","5.33","6","6.67","4.35","4.53","1.67","7","4.33333349227905","4.33333349227905"
"2009","higher vocational","Urban Area","4.51","4.33","815","3","3.67","5.33","6","7","4.43","4.59","1","7","4.33333349227905","4.66666650772095"
"2009","in school","Rural Area","4.69","4.67","93","2.67","3.67","5.67","6","7","4.44","4.94","1.67","7","4.33333349227905","5.33333349227905"
"2009","in school","Urban Area","4.62","4.67","218","2.67","3.67","5.67","6.33","7","4.46","4.78","2","7","4.66666650772095","5"
"2009","inadequately","Rural Area","3.66","3.66","43","1","3.33","4.67","5","5.67","3.28","4.04","1","5.67","3.33333325386047","4.33333349227905"
"2009","inadequately","Urban Area","3.57","3.65","124","1.67","2.67","4.33","5","6","3.35","3.79","1","7","3.33333325386047","4"
"2009","middle vocational","Rural Area","4.21","4.33","3418","2.67","3.33","5","5.67","7","4.17","4.25","1","7","4","4.33333349227905"
"2009","middle vocational","Urban Area","4.26","4.33","5652","2.67","3.33","5","6","7","4.23","4.29","1","7","4.33333349227905","4.33333349227905"
"2009","vocational + Abi","Rural Area","4.25","4.33","257","2.67","3.33","5","5.67","7","4.11","4.39","1.33","7","4","4.66666650772095"
"2009","vocational + Abi","Urban Area","4.66","4.67","742","3","4","5.67","6.33","7","4.57","4.75","1","7","4.33333349227905","4.66666650772095"
"2010","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2010","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2010","higher education","Rural Area","","","","","","","","","","","","","",""
"2010","higher education","Urban Area","","","","","","","","","","","","","",""
"2010","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2010","higher vocational","Urban Area","","","","","","","","","","","","","",""
