"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","16-34 y.","1104.96","1074","2934","1080.42","1129.5","279","614","1432","1829"
"1984","35-65 y.","1540.88","1432","4178","1512.64","1569.12","511","1023","1892","2556"
"1984","66 and older","810.64","397.61","50","458.33","1162.95","77","153","1023","1851"
"1985","16-34 y.","1102.63","1112.06","2690","1078.42","1126.84","281","665","1432","1790"
"1985","35-65 y.","1573.82","1457","3791","1544.36","1603.28","511","1023","1968","2608"
"1985","66 and older","850.47","344.92","48","466.3","1234.64","81","225","1141","2045"
"1986","16-34 y.","1142.1","1125","2678","1115.86","1168.34","297","665","1483","1892"
"1986","35-65 y.","1640.76","1531.78","3600","1609.53","1671.99","562","1074","2045","2756"
"1986","66 and older","866.05","307","31","463.58","1268.52","152","205","1082","2812"
"1987","16-34 y.","1167.35","1157.12","2684","1138.42","1196.28","307","665","1534","1943"
"1987","35-65 y.","1649.68","1534","3577","1617.83","1681.53","524","1023","2045","2761"
"1987","66 and older","1023.1","239.03","36","556.18","1490.02","131","205","1278","2896"
"1988","16-34 y.","1231.23","1227","2560","1202.25","1260.21","317","767","1585","2045"
"1988","35-65 y.","1713.7","1585","3393","1679.54","1747.86","511","1099","2147","2935"
"1988","66 and older","1221.2","424.03","35","545.49","1896.91","102","199","1534","2967"
"1989","16-34 y.","1284.35","1278","2582","1255.32","1313.38","332","818","1636","2045"
"1989","35-65 y.","1796.64","1645.78","3262","1758.98","1834.3","573","1176","2236","3009"
"1989","66 and older","1406.57","837.16","36","815.34","1997.8","179","290","1662","4093"
"1990","16-34 y.","1141.61","1074","3928","1117.88","1165.34","332","532","1553","2045"
"1990","35-65 y.","1546.38","1432","5228","1517.26","1575.5","425","665","2045","2833"
"1990","66 and older","1060.41","718.62","50","574.81","1546.01","133","240","1278","2732"
"1991","16-34 y.","1260.35","1186.7","3702","1235.65","1285.05","358","664","1708","2226"
"1991","35-65 y.","1662.2","1534","4986","1632.26","1692.14","511","818","2147","3009"
"1991","66 and older","954.46","714.14","39","572.89","1336.03","143","205","1263","1662"
"1992","16-34 y.","1389.99","1355","3423","1363.78","1416.2","409","818","1841","2352"
"1992","35-65 y.","1867.06","1687","4696","1835.64","1898.48","665","1056","2352","3183"
"1992","66 and older","","","","","","","","",""
"1993","16-34 y.","1502.98","1481.37","3363","1474.36","1531.6","460","913","1943","2556"
"1993","35-65 y.","2032.07","1790","4528","1994.95","2069.19","690","1222","2556","3577"
"1993","66 and older","","","","","","","","",""
"1994","16-34 y.","1578.73","1534","3198","1548.67","1608.79","486","971","2043","2598"
"1994","35-65 y.","2092.29","1892","4359","2053","2131.58","716","1278","2593","3579"
"1994","66 and older","","","","","","","","",""
"1995","16-34 y.","1606.8","1585","3305","1571.46","1642.14","465","971","2045","2659"
"1995","35-65 y.","2159.01","1943","4548","2113.43","2204.59","741","1329","2659","3681"
"1995","66 and older","1241.53","1242.2","32","787.14","1695.92","256","288","1602","2812"
"1996","16-34 y.","1713.45","1636","3137","1672.66","1754.24","485","1023","2148","2812"
"1996","35-65 y.","2269.58","2045","4482","2226.85","2312.31","767","1406","2779","3937"
"1996","66 and older","1108.98","813.14","38","695.95","1522.01","245","302","1790","1994"
"1997","16-34 y.","1691.71","1636","3027","1656.5","1726.92","475","941","2200","2863"
"1997","35-65 y.","2286.27","2045","4366","2246.26","2326.28","818","1432","2833","4039"
"1997","66 and older","1319.86","1337.28","37","955.07","1684.65","297","307","2045","2812"
"1998","16-34 y.","1688.17","1636","3157","1651.88","1724.46","437","958","2198","2812"
"1998","35-65 y.","2310.39","2093.51","4960","2273.88","2346.9","792","1432","2945","4039"
"1998","66 and older","1159.41","911.91","41","833.11","1485.71","205","264","1534","2556"
"1999","16-34 y.","1659.37","1636","3115","1623.91","1694.83","409","869","2199","2812"
"1999","35-65 y.","2360.93","2122.27","4929","2321.14","2400.72","733","1432","2965","4090"
"1999","66 and older","1300.69","989.65","45","877.25","1724.13","255","317","2045","2301"
"2000","16-34 y.","1711.46","1672.59","4700","1678.66","1744.26","373","869","2293","2914"
"2000","35-65 y.","2355.49","2147","9051","2322.51","2388.47","614","1329","2965","4091"
"2000","66 and older","1563.41","538.88","92","1117.63","2009.19","102","256","2352","3937"
"2001","16-34 y.","1682.2","1636","4138","1647.92","1716.48","322","716","2301","2965"
"2001","35-65 y.","2381.18","2154.58","8403","2347.82","2414.54","658","1380","3017","4090"
"2001","66 and older","1555.16","566.38","91","1162.07","1948.25","194","307","2045","5113"
"2002","16-34 y.","1700.51","1633.18","3949","1661.55","1739.47","325","750","2384","3000"
"2002","35-65 y.","2502","2200","9415","2442.17","2561.83","580","1384","3067","4400"
"2002","66 and older","1986.04","700","140","1472.32","2499.76","150","322","2538","5200"
"2003","16-34 y.","1733.36","1680","3672","1690.84","1775.88","349","750","2437","3149"
"2003","35-65 y.","2581.12","2300","8941","2527.48","2634.76","620","1400","3200","4500"
"2003","66 and older","1974.82","780.51","179","1555.92","2393.72","275","350","2191","4946"
"2004","16-34 y.","1755.89","1600","3453","1715.13","1796.65","380","700","2400","3200"
"2004","35-65 y.","2599.03","2300","8748","2547.34","2650.72","589","1400","3200","4600"
"2004","66 and older","1706.72","900","203","1223.28","2190.16","122","320","2100","4000"
"2005","16-34 y.","1744.72","1600","3199","1701.71","1787.73","342","700","2450","3200"
"2005","35-65 y.","2565.31","2300","8387","2516.55","2614.07","560","1400","3200","4512"
"2005","66 and older","1840.07","720.63","163","1319.43","2360.71","140","320","2268","5000"
"2006","16-34 y.","1668.57","1555.31","3177","1627.73","1709.41","350","663","2373","3100"
"2006","35-65 y.","2624.83","2300","9000","2571.67","2677.99","580","1380","3300","4611"
"2006","66 and older","2051.86","764.42","210","1101.21","3002.51","200","325","2227","4573"
"2007","16-34 y.","1680.92","1600","3028","1638.99","1722.85","360","664","2378","3120"
"2007","35-65 y.","2655.24","2357","8566","2603.96","2706.52","590","1400","3300","4700"
