"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","general elemantary","650.85","460","772","199","275","1022","1329","1790","616.98","684.72","0","2556","614","767"
"1984","16-34 y.","higher education","1669.71","1687","201","707","1074","2045","2556","4090","1534.72","1804.7","0","10143","1534","1790"
"1984","16-34 y.","higher vocational","1337.9","1278","164","542","966","1636","2045","4346","1221.18","1454.62","0","6135","1227","1380"
"1984","16-34 y.","in school","","","","","","","","","","","","","",""
"1984","16-34 y.","inadequately","918.97","965.16","154","200","529","1278","1534","1790","853","984.94","31","2250","971","1113"
"1984","16-34 y.","middle vocational","1164.18","1130.48","1522","409","818","1432","1738","3119","1133.15","1195.21","0","7696","1125","1176"
"1984","16-34 y.","vocational + Abi","1443.62","1278","108","629","1074","1634","2147","7561","1280.67","1606.57","194","7561","1176","1355"
"1984","35-65 y.","general elemantary","993.63","995.75","859","256","562","1355","1636","2501","958.77","1028.49","0","5113","1043","1125"
"1984","35-65 y.","higher education","2468.86","2415.32","414","1171","1790","3066","3579","6647","2343.47","2594.25","0","11248","2250","2505"
"1984","35-65 y.","higher vocational","1872","1836.58","284","896","1381","2199","2761","5113","1766.04","1977.96","56","9172","1738","1942"
"1984","35-65 y.","in school","","","","","","","","","","","","","",""
"1984","35-65 y.","inadequately","1148.42","1176","444","644","920","1432","1595","2045","1106.13","1190.71","0","6135","1125","1227"
"1984","35-65 y.","middle vocational","1485.71","1432","2046","590","1074","1790","2250","4090","1446.32","1525.1","0","16873","1383","1432"
"1984","35-65 y.","vocational + Abi","1653.32","1573.04","103","705","1012","2045","3017","3806","1511.48","1795.16","51","3806","1345","1636"
"1984","66 and older","general elemantary","","","","","","","","","","","","","",""
"1984","66 and older","higher education","","","","","","","","","","","","","",""
"1984","66 and older","higher vocational","","","","","","","","","","","","","",""
"1984","66 and older","in school","","","","","","","","","","","","","",""
"1984","66 and older","inadequately","","","","","","","","","","","","","",""
"1984","66 and older","middle vocational","","","","","","","","","","","","","",""
"1984","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1985","16-34 y.","general elemantary","694.63","548.09","693","200","286","1063","1329","1841","651.47","737.79","0","9368","665","818"
"1985","16-34 y.","higher education","1697.01","1687","190","767","1125","2122","2556","4502","1574.25","1819.77","102","6135","1534","1790"
"1985","16-34 y.","higher vocational","1342.63","1278","156","517","961","1642","2045","3579","1232.67","1452.59","0","4602","1176","1431"
"1985","16-34 y.","in school","","","","","","","","","","","","","",""
"1985","16-34 y.","inadequately","844.12","920","109","192","307","1176","1380","2556","749.91","938.33","31","2990","967","1125"
"1985","16-34 y.","middle vocational","1158.11","1176","1402","435","869","1432","1764","2812","1129.55","1186.67","0","7669","1125","1176"
"1985","16-34 y.","vocational + Abi","1303.4","1284.3","101","664.8","1036","1483","2033","3579","1191.7","1415.1","102","3579","1227","1432"
"1985","35-65 y.","general elemantary","989.66","1023","787","230","511","1380","1636","2659","953.07","1026.25","0","3250","1074","1176"
"1985","35-65 y.","higher education","2450.09","2403","399","1125","1790","3068","3598","6001","2336.63","2563.55","71","7950","2301","2556"
"1985","35-65 y.","higher vocational","1885.33","1790","265","971","1432","2301","2710","4168","1790.47","1980.19","0","5880","1738","1968"
"1985","35-65 y.","in school","","","","","","","","","","","","","",""
"1985","35-65 y.","inadequately","1166.38","1176","365","665","954","1380","1687","2260","1124.96","1207.8","84","2983","1176","1227"
"1985","35-65 y.","middle vocational","1536.02","1473.61","1858","585","1051","1841","2326","4346","1493.7","1578.34","0","20452","1432","1483"
"1985","35-65 y.","vocational + Abi","1687.44","1534","87","307","1023","2025","2965","5701","1499.3","1875.58","153","5701","1304","1636"
"1985","66 and older","general elemantary","","","","","","","","","","","","","",""
"1985","66 and older","higher education","","","","","","","","","","","","","",""
"1985","66 and older","higher vocational","","","","","","","","","","","","","",""
"1985","66 and older","in school","","","","","","","","","","","","","",""
"1985","66 and older","inadequately","","","","","","","","","","","","","",""
"1985","66 and older","middle vocational","","","","","","","","","","","","","",""
"1985","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1986","16-34 y.","general elemantary","719.44","514.21","706","223","299","1125","1432","2045","681.12","757.76","0","3088","639","849"
