"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","direct migration background","1368.55","1304","1853","767","1023","1540","1917","3323","1339.25","1397.85","0","14443","1248","1278"
"1984","Full Time","indirect migration background","1093.84","1074.68","47","327","720","1380","1590","2445","847.82","1339.86","153","5113","767","1023"
"1984","Full Time","no migration background","1566.14","1432","3565","743","1103","1892","2556","5039","1536.85","1595.43","0","12782","1431","1451"
"1984","Not Working","direct migration background","837.92","806.49","52","199","614","1125","1483","1892","711.47","964.37","141","1944","686","920"
"1984","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1984","Not Working","no migration background","775.15","688.33","123","107","286","1048","1432","3272","653.45","896.85","0","4582","541","792"
"1984","Part Time","direct migration background","989.98","767","385","252","460","1202","1790","9172","922.26","1057.7","26","9172","755","920"
"1984","Part Time","indirect migration background","","","","","","","","","","","","","",""
"1984","Part Time","no migration background","794.63","614","1116","197","291","1074","1534","3068","746.08","843.18","0","16873","588","665"
"1985","Full Time","direct migration background","1419.29","1329","1535","767","1045","1636","2045","3598","1390.72","1447.86","0","9395","1278","1278"
"1985","Full Time","indirect migration background","1134.47","1098.37","46","316","818","1432","2147","2301","978.71","1290.23","143","2301","716","1125"
"1985","Full Time","no migration background","1595.47","1433.99","3247","752","1125","1943","2556","4602","1564.16","1626.78","0","20452","1432","1483"
"1985","Not Working","direct migration background","681.77","672.34","58","199","231","997","1216","1790","567.5","796.04","0","1790","619","920"
"1985","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1985","Not Working","no migration background","695.29","494.27","122","123","213","1023","1478","2709","586.05","804.53","0","2761","364","818"
"1985","Part Time","direct migration background","914.54","818","367","199","440","1212","1572","2600","847.65","981.43","0","7950","818","1023"
"1985","Part Time","indirect migration background","","","","","","","","","","","","","",""
"1985","Part Time","no migration background","829.86","665","1133","192","307","1125","1585","3068","786.81","872.91","0","9368","634","716"
"1986","Full Time","direct migration background","1473.55","1380","1494","818","1125","1687","2261","3579","1445.74","1501.36","0","5978","1304","1342"
"1986","Full Time","indirect migration background","1193.55","1184.92","54","332","869","1534","1892","2301","985.47","1401.63","49","5113","869","1202"
"1986","Full Time","no migration background","1655.17","1483","3178","767","1145","1976","2633","5113","1621.12","1689.22","0","16361","1483","1534"
"1986","Not Working","direct migration background","783.2","610.4","43","148","358","1278","1432","2045","626.75","939.65","0","2045","562","968"
"1986","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1986","Not Working","no migration background","782.82","767","106","112","256","1125","1483","2711","671.4","894.24","0","2711","534","928"
"1986","Part Time","direct migration background","845.81","767","347","205","358","1176","1534","2556","781.09","910.53","0","6376","767","971"
"1986","Part Time","indirect migration background","1083.21","767","33","205","409","1559","2556","2556","871.98","1294.44","153","2556","307","818"
"1986","Part Time","no migration background","822.94","665","1050","205","317","1125","1687","3068","783.16","862.72","0","8692","614","706"
"1987","Full Time","direct migration background","1512.75","1432","1490","869","1125","1723","2301","3835","1478.42","1547.08","102","15339","1329","1380"
"1987","Full Time","indirect migration background","1275.05","1278","61","358","869","1636","1790","2301","1086.71","1463.39","215","5113","792","1074"
"1987","Full Time","no migration background","1683.86","1534","3209","767","1176","1999","2684","5113","1649.4","1718.32","0","12782","1534","1561"
"1987","Not Working","direct migration background","1034.12","842.16","37","179","460","1534","2045","3100","832.93","1235.31","46","3100","409","869"
"1987","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1987","Not Working","no migration background","700.17","633.51","69","138","205","971","1432","2531","565.61","834.73","26","2531","256","784"
"1987","Part Time","direct migration background","890.84","738.34","346","215","409","1176","1636","2863","823.82","957.86","51","7056","716","869"
"1987","Part Time","indirect migration background","778.52","614","30","297","442","1055","1636","1687","607.59","949.45","187","1941","442","852"
"1987","Part Time","no migration background","774.95","665","1054","199","310","1034","1534","2761","738.29","811.61","0","6647","614","690"
"1988","Full Time","direct migration background","1582.46","1447.86","1367","920","1176","1790","2301","4090","1548.49","1616.43","107","10159","1380","1432"
"1988","Full Time","indirect migration background","1354.42","1523.01","72","379","1022","1636","1882","2556","1185.27","1523.57","153","5113","971","1262"
"1988","Full Time","no migration background","1753.7","1585","3032","818","1227","2071","2812","5113","1716.86","1790.54","0","13331","1547","1635"
"1988","Not Working","direct migration background","876.95","818","31","205","221","1391","1687","1892","678","1075.9","102","1892","332","1074"
