"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","Female","1200.69","1178.99","268","281","618","1636","2045","1118.66","1282.72","1125","1305"
"1984","college entrance qualification","Male","2239.31","2199","543","751","1534","2751","3477","2132.88","2345.74","2074","2250"
"1984","lower secondary degree","Female","776.77","716","1199","199","409","1048","1380","750.16","803.38","690","767"
"1984","lower secondary degree","Male","1506.17","1432","2099","869","1176","1738","2127","1471.99","1540.35","1381","1432"
"1984","no degree/no degree yet","Female","861.13","920","267","255","688","1074","1278","821.06","901.2","869","965"
"1984","no degree/no degree yet","Male","1226.06","1278","407","529","1023","1483","1687","1184.17","1267.95","1278","1380"
"1984","Other degree","Female","933.69","920","311","460","716","1074","1278","891.5","975.88","869","971"
"1984","Other degree","Male","1422.71","1349.19","781","969","1125","1585","1935","1370.35","1475.07","1329","1432"
"1984","secondary school degree","Female","956.14","971","608","245","500","1278","1585","910.56","1001.72","920","1023"
"1984","secondary school degree","Male","1715.33","1585","626","409","1125","2045","2863","1628.71","1801.95","1532","1636"
"1985","college entrance qualification","Female","1227.34","1227","278","205","639","1785","2096","1141.87","1312.81","1125","1324"
"1985","college entrance qualification","Male","2150.7","2096","521","614","1432","2761","3518","2049.37","2252.03","2045","2199"
"1985","lower secondary degree","Female","796.85","767","1120","200","435","1074","1380","769.96","823.74","716","800"
"1985","lower secondary degree","Male","1532.31","1455.88","1879","902","1227","1790","2250","1500.5","1564.12","1432","1457"
"1985","no degree/no degree yet","Female","875.71","920","219","189","741","1125","1278","831.01","920.41","920","1023"
"1985","no degree/no degree yet","Male","1182.53","1260.4","312","192","1023","1432","1738","1138.73","1226.33","1278","1380"
"1985","Other degree","Female","933.32","971","271","460","767","1099","1278","890.78","975.86","920","1023"
"1985","Other degree","Male","1418.25","1329","653","920","1125","1585","1994","1371.93","1464.57","1329","1432"
"1985","secondary school degree","Female","993.9","1009.41","592","266","588","1330","1636","948.45","1039.35","920","1023"
"1985","secondary school degree","Male","1825.98","1636","603","501","1202","2199","3058","1719.7","1932.26","1534","1708"
"1986","college entrance qualification","Female","1320.99","1278","288","300","716","1841","2301","1228.71","1413.27","1176","1379"
"1986","college entrance qualification","Male","2335.53","2301","521","869","1534","2878","3642","2217.55","2453.51","2147","2352"
"1986","lower secondary degree","Female","816.3","782.37","1074","205","445","1076","1432","788.33","844.27","748","818"
"1986","lower secondary degree","Male","1576.84","1483","1803","921","1227","1790","2301","1541.64","1612.04","1432","1483"
"1986","no degree/no degree yet","Female","921.59","937.58","201","194","685","1176","1380","868.01","975.17","869","971"
"1986","no degree/no degree yet","Male","1273.78","1278","290","767","1023","1534","1790","1226.69","1320.87","1329","1432"
"1986","Other degree","Female","930.2","971","253","267","639","1176","1432","875.66","984.74","920","1074"
"1986","Other degree","Male","1490.71","1432","624","936","1227","1685","1997","1448.53","1532.89","1432","1483"
"1986","secondary school degree","Female","1083.86","1023","581","276","646","1432","1779","1025.67","1142.05","958","1074"
"1986","secondary school degree","Male","1753.59","1636","584","343","1176","2199","2965","1666.06","1841.12","1534","1695"
"1987","college entrance qualification","Female","1313.93","1278","289","277","614","1841","2317","1220.12","1407.74","1151","1380"
"1987","college entrance qualification","Male","2305.44","2301","524","665","1432","2965","3661","2181.16","2429.72","2199","2387"
"1987","lower secondary degree","Female","844.78","818","1068","215","486","1125","1454","808.66","880.9","767","844"
"1987","lower secondary degree","Male","1610.49","1534","1793","961","1278","1841","2301","1578.04","1642.94","1529","1534"
"1987","no degree/no degree yet","Female","808.42","920","205","117","537","1125","1278","757.88","858.96","869","971"
"1987","no degree/no degree yet","Male","1357.41","1432","271","409","1227","1636","1892","1284.41","1430.41","1380","1483"
"1987","Other degree","Female","974.28","1006.17","253","317","716","1227","1457","921.67","1026.89","971","1125"
