"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Female","875.56","843.8","775","284","603","1074","1432","2301","847.51","903.61","0","3988","869","920"
"1984","direct migration background","Male","1493.95","1395.38","1515","895","1150","1636","2097","3579","1458.49","1529.41","26","14443","1329","1380"
"1984","indirect migration background","Female","717.97","665","32","270","358","971","1380","1380","588.33","847.61","102","1380","332","818"
"1984","indirect migration background","Male","1220.93","1053.02","36","313","818","1585","2173","5113","879.29","1562.57","179","5113","327","1125"
"1984","no migration background","Female","887.88","861.19","1866","205","450","1219","1540","2556","862.39","913.37","0","6135","818","869"
"1984","no migration background","Male","1667.59","1534","2938","767","1191","1995","2605","5113","1631.58","1703.6","0","16873","1533","1534"
"1985","direct migration background","Female","892.24","869","668","230","614","1125","1432","2315","861.1","923.38","0","4090","869","951"
"1985","direct migration background","Male","1503.6","1404.51","1292","869","1161","1687","2249","4090","1469.44","1537.76","0","9395","1329","1380"
"1985","indirect migration background","Female","705.23","646.74","30","153","322","920","1329","1329","548.76","861.7","143","1942","486","869"
"1985","indirect migration background","Male","1303.35","1176","37","307","844","1534","2301","2917","1076.2","1530.5","131","2917","358","1141"
"1985","no migration background","Female","918.18","869","1816","210","486","1278","1626","2568","892.33","944.03","0","4090","818","920"
"1985","no migration background","Male","1696.35","1534","2686","767","1227","2045","2659","5113","1658.82","1733.88","0","20452","1534","1585"
"1986","direct migration background","Female","921.29","920","635","266","614","1176","1483","2352","886.49","956.09","0","3579","920","971"
"1986","direct migration background","Male","1550.25","1463.45","1249","920","1227","1738","2403","3681","1518.3","1582.2","0","6376","1380","1432"
"1986","indirect migration background","Female","1100.86","882.19","41","307","614","1343","2556","2556","946.48","1255.24","153","2556","568","982"
"1986","indirect migration background","Male","1221.84","1227","50","307","869","1636","1994","2301","986.55","1457.13","49","5113","468","1329"
"1986","no migration background","Female","972.12","920","1758","223","511","1304","1687","2863","942.12","1002.12","0","11248","869","943"
"1986","no migration background","Male","1748.68","1585","2576","767","1247","2070","2812","5113","1708.72","1788.64","0","16361","1548","1636"
"1987","direct migration background","Female","949.65","920","652","291","614","1227","1534","2608","915.35","983.95","46","2863","920","988"
