"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","direct migration background","737.86","716","868","256","486","920","1176","1973","714.48","761.24","0","2812","695","741"
"1984","16-34 y.","indirect migration background","582.02","606.15","53","230","299","724","869","1636","498.92","665.12","80","1636","244","588"
"1984","16-34 y.","no migration background","738.94","723","2013","216","409","948","1227","2045","719.35","758.53","0","5113","716","767"
"1984","35-65 y.","direct migration background","938.87","920","1421","409","665","1074","1376","2812","915.15","962.59","0","9715","869","896"
"1984","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1984","35-65 y.","no migration background","1059.22","995.95","2743","307","690","1329","1790","2991","1034.64","1083.8","0","10737","971","1023"
"1984","66 and older","direct migration background","","","","","","","","","","","","","",""
"1984","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1984","66 and older","no migration background","550.09","319","48","77","153","716","1227","3323","351.99","748.19","31","3323","204","562"
"1985","16-34 y.","direct migration background","727.68","752.26","729","239","511","920","1176","1636","702.8","752.56","0","2096","716","767"
"1985","16-34 y.","indirect migration background","670.55","691.97","57","205","266","792","1534","1585","577.34","763.76","38","1585","256","614"
"1985","16-34 y.","no migration background","733.17","741","1904","215","409","946","1176","2096","712.77","753.57","0","6647","716","767"
"1985","35-65 y.","direct migration background","944.17","920","1230","435","665","1097","1534","2556","921.57","966.77","0","6647","869","915"
"1985","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1985","35-65 y.","no migration background","1079.47","1022","2552","307","665","1380","1853","3068","1051.25","1107.69","0","17895","990","1023"
"1985","66 and older","direct migration background","","","","","","","","","","","","","",""
"1985","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1985","66 and older","no migration background","533.08","256","46","77","179","818","1380","2045","362.32","703.84","15","2556","230","717"
"1986","16-34 y.","direct migration background","750.26","767","694","247","475","971","1176","1841","723.76","776.76","0","2480","716","767"
"1986","16-34 y.","indirect migration background","611.71","620.98","77","230","343","818","869","1432","544.68","678.74","49","1432","327","614"
"1986","16-34 y.","no migration background","759.52","767","1907","231","435","972","1263","2035","739.34","779.7","0","7669","741","767"
"1986","35-65 y.","direct migration background","962.33","920","1190","371","711","1125","1534","2751","939.03","985.63","0","5113","910","920"
"1986","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1986","35-65 y.","no migration background","1130.51","1023","2396","337","715","1432","1994","3323","1100.65","1160.37","0","16361","1023","1074"
"1986","66 and older","direct migration background","","","","","","","","","","","","","",""
"1986","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1986","66 and older","no migration background","631.49","307","31","102","194","875","1790","3068","348.4","914.58","82","3068","268","875"
"1987","16-34 y.","direct migration background","813.63","818","693","256","511","971","1278","2096","784.08","843.18","46","3458","767","818"
"1987","16-34 y.","indirect migration background","632.91","707.99","77","233","303","869","1046","1074","569","696.82","118","1074","332","665"
"1987","16-34 y.","no migration background","779.52","767","1914","245","435","1017","1278","2199","758.81","800.23","0","5113","757","774"
