"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Female","588.25","562","2584","192","307","798","1023","1687","575.64","600.86","0","2601","562","588"
"1984","Employed","Male","1131.49","1023","4395","562","818","1329","1790","3046","1114.43","1148.55","0","10737","971","1023"
"1984","Not Employed","Female","391.77","405.8","89","111","199","563","700","1176","341.16","442.38","0","1176","256","460"
"1984","Not Employed","Male","582.04","518.26","94","102","239","818","1023","2350","501.91","662.17","0","2350","460","615"
"1985","Employed","Female","605.97","562","2410","194","307","818","1023","1738","592.57","619.37","0","2556","562","614"
"1985","Employed","Male","1144.57","1023","3936","530","818","1380","1841","3068","1125.13","1164.01","0","17895","992","1023"
"1985","Not Employed","Female","363.75","251.77","104","72","165","511","685","1312","297.07","430.43","0","2555","205","409"
"1985","Not Employed","Male","507.65","444.22","79","56","205","818","969","1585","424.9","590.4","0","1585","409","665"
"1986","Employed","Female","641.5","614","2350","205","337","869","1074","1841","626.03","656.97","0","7669","575","614"
"1986","Employed","Male","1178.8","1052.37","3806","537","869","1424","1943","3131","1159.06","1198.54","0","16361","1023","1023"
"1986","Not Employed","Female","406.34","306.59","84","74","199","614","869","1093","343.61","469.07","0","1278","245","493"
"1986","Not Employed","Male","599.09","583.22","69","153","283","886","1063","1432","514.93","683.25","0","1432","460","702"
"1987","Employed","Female","642.03","614","2383","205","337","869","1081","1892","627.67","656.39","0","3323","593","614"
"1987","Employed","Male","1196.27","1074","3807","511","869","1432","1994","3114","1177.38","1215.16","0","7449","1023","1064"
"1987","Not Employed","Female","427.09","321.58","74","102","174","658","844","1810","355.21","498.97","19","1810","205","379"
"1987","Not Employed","Male","602.63","618.24","33","153","326","716","971","1787","472.9","732.36","55","1787","409","716"
"1988","Employed","Female","673.18","639","2294","205","332","915","1125","2045","656.44","689.92","0","6647","614","639"
"1988","Employed","Male","1242.43","1125","3580","588","920","1534","2045","3323","1222.95","1261.91","0","6647","1074","1099"
"1988","Not Employed","Female","377.5","256","65","70","153","612","767","954","308.78","446.22","0","1125","210","424"
"1988","Not Employed","Male","632.1","557.52","49","107","319","920","1278","1713","516.87","747.33","0","1713","358","716"
"1989","Employed","Female","709.69","680","2278","215","368","946","1204","2095","693.08","726.3","0","3886","639","682"
"1989","Employed","Male","1295.74","1176","3476","665","931","1534","2049","3579","1274.2","1317.28","0","10226","1125","1138"
"1989","Not Employed","Female","477.35","425.17","65","184","256","614","818","1380","410.8","543.9","0","1380","345","477"
"1989","Not Employed","Male","770.83","787.98","61","181","327","1076","1381","1780","661.05","880.61","0","1780","517","869"
"1990","Employed","Female","748.4","716","2277","230","409","1023","1278","2045","728.67","768.13","0","8181","665","716"
"1990","Employed","Male","1367.26","1227","3391","614","973","1636","2199","3630","1344.14","1390.38","0","10226","1176","1227"
"1990","Not Employed","Female","329.48","307","54","60","199","486","578","767","269.48","389.48","0","920","240","440"
"1990","Not Employed","Male","622.23","605.29","47","98","268","920","1278","1534","492.42","752.04","0","1702","409","869"
"1991","Employed","Female","770.73","716","2320","240","409","1023","1329","2204","752.8","788.66","0","6647","699","752"
"1991","Employed","Male","1434.19","1294.91","3399","665","1023","1738","2301","4090","1410.31","1458.07","26","8896","1253","1278"
"1991","Not Employed","Female","420.46","272.34","75","65","133","614","869","1406","329.66","511.26","0","2454","240","511"
"1991","Not Employed","Male","751.83","825.61","65","189","307","1074","1278","1763","640.98","862.68","0","1763","511","920"
"1992","Employed","Female","792.98","745.09","3364","256","460","1023","1347","2244","779.12","806.84","0","6135","701","716"
"1992","Employed","Male","1370.38","1278","4648","613","920","1687","2267","3718","1351.11","1389.65","0","8692","1176","1202"
"1992","Not Employed","Female","469.07","400.7","78","96","202","665","889","1227","407.45","530.69","0","1227","256","425"
"1992","Not Employed","Male","782.96","704.96","55","225","358","1125","1636","1943","649.64","916.28","0","1943","495","818"
"1993","Employed","Female","865.7","818","3259","266","510","1125","1460","2403","849.81","881.59","0","8835","767","818"
"1993","Employed","Male","1501.73","1330.25","4468","671","1023","1790","2505","4167","1477.81","1525.65","0","20452","1247","1278"
"1993","Not Employed","Female","464.02","409","128","97","247","578","917","2079","407.07","520.97","0","2079","359","460"
"1993","Not Employed","Male","774.71","869","63","123","358","1023","1552","1585","668.32","881.1","77","1687","562","920"
"1994","Employed","Female","896.68","869","3161","280","511","1150","1476","2556","879.44","913.92","0","9715","818","869"
"1994","Employed","Male","1540.8","1380","4260","767","1074","1841","2545","4193","1517.74","1563.86","0","12271","1278","1329"
"1994","Not Employed","Female","455.37","410.13","92","51","220","687","869","1278","389.66","521.08","0","1278","286","511"
"1994","Not Employed","Male","740.2","614","69","286","399","1023","1432","2654","618.91","861.49","0","2654","470","877"
"1995","Employed","Female","898.02","869","3274","286","511","1176","1483","2556","880.42","915.62","0","9715","818","869"
"1995","Employed","Male","1575.43","1432","4422","716","1074","1892","2556","4602","1547.58","1603.28","0","25565","1329","1334"
"1995","Not Employed","Female","513.2","441.82","113","92","286","741","1023","1483","446.5","579.9","0","1483","380","562"
"1995","Not Employed","Male","670.34","544.44","76","182","281","1125","1227","1994","562.66","778.02","0","1994","409","920"
"1996","Employed","Female","936.02","920","3219","297","511","1227","1534","2633","918.05","953.99","26","7669","869","920"
"1996","Employed","Male","1607.84","1432","4283","767","1112","1917","2638","4602","1583.45","1632.23","51","14316","1330","1380"
"1996","Not Employed","Female","574.75","398.32","96","230","302","716","1176","1891","504.99","644.51","143","2058","358","537"
"1996","Not Employed","Male","768.5","788.43","59","266","322","971","1534","1636","641.62","895.38","20","1790","470","937"
"1997","Employed","Female","936.11","920","3138","302","511","1227","1534","2710","917.89","954.33","24","5624","869","920"
"1997","Employed","Male","1616.55","1467","4161","767","1074","1943","2684","4602","1591.58","1641.52","19","15339","1370","1416"
"1997","Not Employed","Female","562.91","511","82","205","312","878","882","1305","494.86","630.96","82","1508","379","557"
"1997","Not Employed","Male","787.01","722.81","49","302","435","1023","1534","1585","663.6","910.42","162","1994","552","920"
"1998","Employed","Female","955.39","935.78","3460","312","514","1248","1585","2608","937.69","973.09","0","6340","879","920"
"1998","Employed","Male","1610.3","1482.89","4561","634","1074","1994","2710","4653","1586.71","1633.89","0","7669","1380","1432"
"1998","Not Employed","Female","438.54","317","73","164","243","614","845","1233","362.28","514.8","0","1687","312","460"
"1998","Not Employed","Male","826.12","756.55","64","235","317","1176","1534","2300","680.51","971.73","0","2579","562","1053"
"1999","Employed","Female","945.84","920","3463","297","501","1278","1585","2556","927.6","964.08","0","6819","869","920"
"1999","Employed","Male","1644.84","1483","4481","614","1074","2045","2761","4857","1619.95","1669.73","0","10397","1380","1432"
"1999","Not Employed","Female","660.51","614","97","56","225","887","1375","2045","564.16","756.86","0","2556","322","614"
"1999","Not Employed","Male","586.98","341.91","48","64","240","920","1278","2199","440.82","733.14","0","2199","322","869"
"2000","Employed","Female","942.03","898.51","5973","297","478","1278","1636","2710","926.84","957.22","0","8478","869","909"
"2000","Employed","Male","1681.48","1534","7604","665","1125","2045","2812","5113","1659.91","1703.05","0","12782","1496","1534"
"2000","Not Employed","Female","462.59","322","166","104","215","678","887","1943","406.49","518.69","0","2045","322","465"
"2000","Not Employed","Male","860.72","767","100","244","322","1176","1601","2638","736.42","985.02","0","2824","583","869"
"2001","Employed","Female","974.59","920","5549","302","491","1329","1687","2916","958.91","990.27","0","5726","869","920"
"2001","Employed","Male","1704.24","1534","6854","614","1125","2045","2832","5113","1681.14","1727.34","0","12782","1534","1534"
"2001","Not Employed","Female","496.39","409","153","131","291","665","997","2301","439.96","552.82","0","2301","322","460"
"2001","Not Employed","Male","848.14","768.34","76","153","390","1125","1483","2301","720.97","975.31","0","2433","579","920"
"2002","Employed","Female","998.81","916","6012","300","452","1368","1767","3100","965.94","1031.68","0","80000","933","1000"
"2002","Employed","Male","1777.3","1600","7232","600","1150","2100","3000","6000","1740.12","1814.48","0","50000","1698","1712"
"2002","Not Employed","Female","562.63","325","153","0","250","750","1300","2036","482.67","642.59","0","2805","324","430"
"2002","Not Employed","Male","1030.55","1000","107","160","400","1500","1900","3100","818.67","1242.43","0","9000","700","1000"
"2003","Employed","Female","1018.05","942.65","5758","300","480","1400","1790","3300","996.38","1039.72","0","20000","940","1000"
"2003","Employed","Male","1803.81","1600","6763","600","1200","2179","3000","6000","1765.74","1841.88","0","59000","1700","1730"
"2003","Not Employed","Female","569.4","450","156","165","305","717","1213","2000","488.28","650.52","0","3154","390","500"
"2003","Not Employed","Male","972.79","860.88","115","170","400","1250","1650","4166","805.29","1140.29","0","5174","600","1032"
"2004","Employed","Female","1014.74","945","5615","300","475","1400","1800","3200","991.51","1037.97","0","30214","950","1000"
"2004","Employed","Male","1834.1","1640","6519","590","1200","2200","3000","6100","1796.68","1871.52","0","30000","1700","1800"
"2004","Not Employed","Female","695.9","568.18","151","150","320","1050","1400","2000","607.37","784.43","0","2600","400","578"
"2004","Not Employed","Male","1116.83","883.91","119","100","309","1537","2500","4000","928.85","1304.81","0","5000","640","1110"
"2005","Employed","Female","1049.58","948.86","5400","293","460","1420","1900","3500","1027.16","1072","0","12000","944","1000"
"2005","Employed","Male","1833.9","1700","6100","570","1200","2200","3050","6000","1797.08","1870.72","0","20000","1741","1800"
"2005","Not Employed","Female","602.74","493.99","128","134","291","900","1100","2050","507.32","698.16","0","2600","400","568"
"2005","Not Employed","Male","814.63","542.4","121","42","200","1300","2000","3800","628.34","1000.92","0","6000","546","992"
"2006","Employed","Female","1059.07","943","5720","300","480","1442","1900","3600","1037.42","1080.72","0","13000","940","1000"
"2006","Employed","Male","1853.4","1700","6386","504","1200","2225","3148","6100","1803.37","1903.43","0","84300","1745","1800"
"2006","Not Employed","Female","553.46","400","146","80","168","800","1177","4000","457.04","649.88","0","4000","400","600"
"2006","Not Employed","Male","1108.2","1000","135","113","379","1636","1950","4999","946.58","1269.82","0","5100","740","1100"
"2007","Employed","Female","1068.1","970","5414","300","500","1450","1900","3950","1046.23","1089.97","0","12000","964","1000"
"2007","Employed","Male","1870.54","1700","6067","550","1200","2278","3199","6000","1832.55","1908.53","0","25000","1750","1800"
"2007","Not Employed","Female","639.05","400.77","194","148","260","887","1500","2191","553.8","724.3","0","3106","400","590"
"2007","Not Employed","Male","1051.47","1023.19","135","120","260","1600","2000","3500","888.96","1213.98","0","4700","971","1300"
"2008","Employed","Female","1074.37","977","5215","300","500","1477","1924","3500","1051.89","1096.85","0","12300","980","1000"
"2008","Employed","Male","1898.7","1700","5719","550","1200","2300","3200","6500","1860.4","1937","0","22000","1760","1800"
"2008","Not Employed","Female","566.12","393.13","153","42","120","850","1359","2070","469.91","662.33","0","2871","358","560"
"2008","Not Employed","Male","1129.34","940.5","101","91","353","1700","2000","3550","834.23","1424.45","0","10000","400","1300"
"2009","Employed","Female","1114.68","1000","4950","300","500","1500","2000","3600","1089.13","1140.23","0","20000","1000","1050"
"2009","Employed","Male","1925.9","1719.34","5292","520","1200","2301","3300","6504","1885.11","1966.69","0","24399","1800","1801"
"2009","Not Employed","Female","743.96","400","117","100","275","920","1650","6000","586.11","901.81","0","6000","354","580"
"2009","Not Employed","Male","889.26","598.38","69","200","300","1200","2400","2965","652.96","1125.56","0","4700","586","1400"
"2010","Employed","Female","1177.88","1024.67","6443","300","509","1600","2100","4200","1154.51","1201.25","0","20000","950","1000"
"2010","Employed","Male","1957.7","1800","7281","502","1200","2400","3330","6600","1921.09","1994.31","0","30000","1800","1890"
"2010","Not Employed","Female","802.88","700","277","150","345","1100","1660","2800","721.89","883.87","0","4819","400","700"
"2010","Not Employed","Male","1061.08","881.89","112","70","250","1600","2550","2900","852.79","1269.37","0","8500","400","945"
"2011","Employed","Female","1199.7","1100","8134","345","574","1600","2100","4000","1180.93","1218.47","0","12000","1000","1020"
"2011","Employed","Male","2010.01","1800","8422","600","1244","2500","3500","6800","1975.5","2044.52","0","35000","1900","1915"
"2011","Not Employed","Female","702.33","443.73","367","100","286","1100","1500","2500","638.45","766.21","0","4200","400","581"
"2011","Not Employed","Male","973.42","779.21","107","100","180","1500","2218","4100","786.48","1160.36","0","4900","635","1200"
"2012","Employed","Female","1236.57","1100","8157","350","597","1680","2200","4000","1216.05","1257.09","0","24000","1000","1050"
"2012","Employed","Male","2019.62","1800","8117","530","1250","2500","3500","6400","1983.84","2055.4","0","36000","1900","1950"
"2012","Not Employed","Female","645.99","430","314","0","166","1076","1500","2400","583.61","708.37","0","2500","400","582"
"2012","Not Employed","Male","1375.65","1345.35","179","167","800","1880","2600","4000","1192.36","1558.94","0","12000","1250","1580"
"2013","Employed","Female","1272.89","1150","7880","360","600","1700","2300","4300","1252.32","1293.46","0","18000","1024","1100"
"2013","Employed","Male","2097.25","1850","7534","578","1300","2600","3600","7000","2058.89","2135.61","0","37000","1900","2000"
"2013","Not Employed","Female","933.62","780","1788","200","400","1300","1842","3300","901.29","965.95","0","6000","720","800"
"2013","Not Employed","Male","1631.62","1500","1920","424","950","2100","2900","6000","1580.04","1683.2","0","18000","1500","1570"
"2014","Employed","Female","1285.6","1150","8175","360","600","1715","2350","4300","1264.74","1306.46","0","20000","1017","1100"
"2014","Employed","Male","2097.37","1900","8010","566","1300","2600","3600","6815","2061.94","2132.8","0","25000","1900","2000"
