"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Rural Area","40.42","40","506","22","40","45","50","70","39.44","41.4","2","80","40","40"
"1985","16-34 y.","Urban Area","39.61","40","1989","21","40","45","50","70","39.09","40.13","1","80","40","40"
"1985","35-65 y.","Rural Area","39.83","40","686","18","38","46","60","75","38.75","40.91","2","80","40","40"
"1985","35-65 y.","Urban Area","39.58","40","2785","20","39","45","55","70","39.12","40.04","1","80","40","40"
"1985","66 and older","Rural Area","","","","","","","","","","","","","",""
"1985","66 and older","Urban Area","25.92","20.78","33","8","10","40","45","60","19.61","32.23","1","70","20","40"
"1986","16-34 y.","Rural Area","40.11","40","530","22","40","45","50","70","39.12","41.1","2","80","40","40"
"1986","16-34 y.","Urban Area","40.2","40","1988","29","40","44","50","70","39.72","40.68","1","80","40","40"
"1986","35-65 y.","Rural Area","41.84","40","628","21","39","50","60","78","40.77","42.91","2","80","40","40"
"1986","35-65 y.","Urban Area","39.69","40","2647","20","38","45","55","70","39.22","40.16","1","80","40","40"
"1986","66 and older","Rural Area","","","","","","","","","","","","","",""
"1986","66 and older","Urban Area","","","","","","","","","","","","","",""
"1987","16-34 y.","Rural Area","39.78","40","541","24","39","44","50","72","38.83","40.73","1","80","40","40"
"1987","16-34 y.","Urban Area","39.51","40","2012","25","39","43","50","70","39.06","39.96","1","80","40","40"
"1987","35-65 y.","Rural Area","39.19","40","641","15","38","45","56","75","38.12","40.26","1","80","40","40"
"1987","35-65 y.","Urban Area","39.76","40","2682","20","38","45","50","70","39.32","40.2","1","80","40","40"
"1987","66 and older","Rural Area","","","","","","","","","","","","","",""
"1987","66 and older","Urban Area","","","","","","","","","","","","","",""
"1988","16-34 y.","Rural Area","39.85","40","498","20","38","45","53","75","38.77","40.93","1","80","40","40"
"1988","16-34 y.","Urban Area","39.07","40","1934","22","39","43","50","69","38.58","39.56","1","80","40","40"
"1988","35-65 y.","Rural Area","38.46","40","591","15","30","46","55","75","37.27","39.65","3","80","40","40"
"1988","35-65 y.","Urban Area","39.16","40","2560","20","38","45","50","70","38.69","39.63","1","80","40","40"
"1988","66 and older","Rural Area","","","","","","","","","","","","","",""
"1988","66 and older","Urban Area","","","","","","","","","","","","","",""
"1989","16-34 y.","Rural Area","40.76","40","470","30","39","45","50","75","39.83","41.69","1","80","40","40"
"1989","16-34 y.","Urban Area","39.48","40","1980","26","38","43","50","66","39.03","39.93","1","80","40","40"
"1989","35-65 y.","Rural Area","40.58","40","580","20","38","46","60","72","39.52","41.64","1","78","40","40"
"1989","35-65 y.","Urban Area","39.81","40","2466","21","38","45","50","70","39.35","40.27","1","80","40","40"
"1989","66 and older","Rural Area","","","","","","","","","","","","","",""
"1989","66 and older","Urban Area","","","","","","","","","","","","","",""
"1990","16-34 y.","Rural Area","41.97","41","1300","30","39","48","51","72","41.41","42.53","1.5","80","41.5","43"
"1990","16-34 y.","Urban Area","39.79","40","2347","25","38","45","50","70","39.36","40.22","0.2","80","40","40"
"1990","35-65 y.","Rural Area","41.9","42","1768","25","38","50","55","70","41.36","42.44","2","80","44","45"
"1990","35-65 y.","Urban Area","40.11","40","3091","22.5","37.5","45","51","70","39.71","40.51","0.5","80","40","40"
"1990","66 and older","Rural Area","","","","","","","","","","","","","",""
"1990","66 and older","Urban Area","","","","","","","","","","","","","",""
"1991","16-34 y.","Rural Area","40.05","40","1151","28","38.5","44","50","72","39.46","40.64","2","80","40","40"
"1991","16-34 y.","Urban Area","39.5","40","2246","26","38","43","50","70","39.07","39.93","1.5","80","40","40"
"1991","35-65 y.","Rural Area","39.62","40","1545","20","37","45","55","74","39.03","40.21","1","80","40","40"
"1991","35-65 y.","Urban Area","39.1","40","3012","20","37.5","45","50","70","38.68","39.52","0.2","80","40","40"
"1991","66 and older","Rural Area","","","","","","","","","","","","","",""
"1991","66 and older","Urban Area","","","","","","","","","","","","","",""
"1992","16-34 y.","Rural Area","40.46","40","1061","30","38.5","45","50","70","39.92","41","1","80","40","40"
"1992","16-34 y.","Urban Area","39.25","40","2131","25","38","43","50","65","38.83","39.67","1","80","40","40"
"1992","35-65 y.","Rural Area","40.58","40","1436","22","38","45","59","75","39.98","41.18","3","80","40","40"
"1992","35-65 y.","Urban Area","39.29","40","2926","20","37.5","45","50","70","38.87","39.71","0.6","80","40","40"
"1992","66 and older","Rural Area","","","","","","","","","","","","","",""
"1992","66 and older","Urban Area","","","","","","","","","","","","","",""
"1993","16-34 y.","Rural Area","40.63","40","1053","27","38.5","44","50","70","39.99","41.27","1","80","40","40"
"1993","16-34 y.","Urban Area","39.23","40","2108","25","38","43","50","70","38.81","39.65","0.8","80","40","40"
"1993","35-65 y.","Rural Area","40.08","40","1359","22.5","37.5","45","55","78","39.45","40.71","2","80","40","40"
"1993","35-65 y.","Urban Area","38.97","40","2868","20","37","45","50","70","38.54","39.4","0.1","80","40","40"
"1993","66 and older","Rural Area","","","","","","","","","","","","","",""
"1993","66 and older","Urban Area","","","","","","","","","","","","","",""
"1994","16-34 y.","Rural Area","39.76","40","978","25","38","45","50","70","39.12","40.4","4","80","40","40"
"1994","16-34 y.","Urban Area","39.32","40","2039","25","37.5","43","50","70","38.88","39.76","1.5","80","40","40"
"1994","35-65 y.","Rural Area","40.54","40","1341","22","38","45","56","75","39.91","41.17","0.5","80","40","40"
"1994","35-65 y.","Urban Area","38.74","40","2715","20","37","45","50","70","38.29","39.19","0.8","80","40","40"
"1994","66 and older","Rural Area","","","","","","","","","","","","","",""
