"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1984","(Married) couple without C.","West Germany","39.66","40","1274","20","40","44","50","70","39.05","40.27","2","80","40","40"
"1984","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1984","1-pers.-HH","West Germany","40.65","40","591","25","40","45","52","72","39.73","41.57","1","80","40","40"
"1984","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. GT 16 ","West Germany","39.76","40","1133","22","40","43","50","77","39.12","40.4","1","80","40","40"
"1984","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. LE 16","West Germany","40.11","40","1908","20","40","46","56","75","39.52","40.7","1","80","40","40"
"1984","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. LE and GT 16","West Germany","39.71","40","969","20","40","43","50","75","38.99","40.43","2","80","40","40"
"1984","Single parent","East Germany","","","","","","","","","","","","","",""
"1984","Single parent","West Germany","38.46","40","295","20","37","42","50","76","37.05","39.87","1","77","40","40"
"1985","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","West Germany","40.58","40","1167","25","40","45","50","70","39.97","41.19","2","80","40","40"
"1985","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1985","1-pers.-HH","West Germany","39.55","40","540","20","40","45","50","70","38.52","40.58","1","74","40","40"
"1985","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","West Germany","39.29","40","1150","20","40","45","50","70","38.56","40.02","1","80","40","40"
"1985","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","West Germany","38.85","40","1693","18","38","45","55","70","38.2","39.5","1","80","40","40"
"1985","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","West Germany","39.86","40","839","20","40","45","50","65","39.04","40.68","1","80","40","40"
