"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","40.12","40","1197","20","40","45","56","70","39.37","40.87","2","80","40","40"
"1985","Urban Area","39.45","40","4807","20","40","45","50","70","39.1","39.8","1","80","40","40"
"1986","Rural Area","40.94","40","1163","20","40","45","60","75","40.2","41.68","2","80","40","40"
"1986","Urban Area","39.77","40","4654","20","39","45","50","70","39.43","40.11","1","80","40","40"
"1987","Rural Area","39.4","40","1189","20","38","45","55","72","38.67","40.13","1","80","40","40"
"1987","Urban Area","39.51","40","4718","20","39","45","50","70","39.19","39.83","1","80","40","40"
"1988","Rural Area","39.01","40","1095","16","38","45","55","75","38.19","39.83","1","80","40","40"
"1988","Urban Area","38.99","40","4517","20","38","45","50","70","38.65","39.33","1","80","40","40"
"1989","Rural Area","40.63","40","1057","22","38","45","55","72","39.91","41.35","1","80","40","40"
"1989","Urban Area","39.61","40","4463","22","38","45","50","70","39.29","39.93","1","80","40","40"
"1990","Rural Area","41.87","42","3087","25","38.5","50","53","70","41.48","42.26","1.5","80","43","44"
"1990","Urban Area","39.93","40","5454","23","38","45","50","70","39.64","40.22","0.2","80","40","40"
"1991","Rural Area","39.65","40","2709","22","38","45","50","72","39.22","40.08","1","80","40","40"
"1991","Urban Area","39.22","40","5272","21.5","37.5","45","50","70","38.92","39.52","0.2","80","40","40"
"1992","Rural Area","40.49","40","2504","25","38","45","55","72","40.07","40.91","1","80","40","40"
"1992","Urban Area","39.25","40","5068","22","37.5","45","50","70","38.95","39.55","0.6","80","40","40"
"1993","Rural Area","40.21","40","2419","24","38","45","53","73","39.76","40.66","1","80","40","40"
"1993","Urban Area","39.02","40","4987","21","37.5","44","50","70","38.71","39.33","0.1","80","40","40"
"1994","Rural Area","40.14","40","2326","24","38","45","52","70","39.69","40.59","0.5","80","40","40"
"1994","Urban Area","38.91","40","4766","20","37.5","44","50","70","38.59","39.23","0.8","80","40","40"
"1995","Rural Area","39.73","40","2541","20","37.5","45","52","70","39.27","40.19","3","80","40","40"
"1995","Urban Area","38.72","40","4966","20","37","45","50","70","38.39","39.05","0.4","80","40","40"
"1996","Rural Area","39.7","40","2430","22","37","45","50","72","39.25","40.15","2.5","80","40","40"
"1996","Urban Area","38.78","40","4801","20","37","45","50","70","38.45","39.11","0.5","80","40","40"
"1997","Rural Area","40.35","40","2394","22","37.5","45","55","72","39.88","40.82","1","80","40","40"
"1997","Urban Area","39.17","40","4725","20","37","45","50.5","70","38.83","39.51","1","80","40","40"
"1998","Rural Area","40.22","40","2629","23","37.5","45","55","70","39.76","40.68","3","80","40","40"
"1998","Urban Area","38.99","40","5126","20","36","45","50","70","38.66","39.32","2","80","40","40"
"1999","Rural Area","39.47","40","2695","20","36.5","45","52","70","39","39.94","2","80","40","40"
