"year","age_gr","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","16-34 y.","college entrance qualification","36.44","40","309","35.34","37.54","20","40","40","40"
"1984","16-34 y.","lower secondary degree","38.98","40","1221","38.59","39.37","37","40","40","42"
"1984","16-34 y.","no degree/no degree yet","38.07","40","165","36.89","39.25","32","40","40","40"
"1984","16-34 y.","Other degree","39.55","40","332","38.87","40.23","40","40","40","40"
"1984","16-34 y.","secondary school degree","39.15","40","640","38.61","39.69","39","40","40","41"
"1984","35-65 y.","college entrance qualification","38.91","40","322","37.98","39.84","26","40","40","45"
"1984","35-65 y.","lower secondary degree","37","40","1641","36.55","37.45","20","40","40","40"
"1984","35-65 y.","no degree/no degree yet","38.8","40","478","38.28","39.32","40","40","40","40"
"1984","35-65 y.","Other degree","39.59","40","685","39.19","39.99","40","40","40","40"
"1984","35-65 y.","secondary school degree","36.62","40","425","35.68","37.56","20","40","40","40"
"1984","66 and older","college entrance qualification","","","","","","","","",""
"1984","66 and older","lower secondary degree","","","","","","","","",""
"1984","66 and older","no degree/no degree yet","","","","","","","","",""
"1984","66 and older","Other degree","","","","","","","","",""
"1984","66 and older","secondary school degree","","","","","","","","",""
"1985","16-34 y.","college entrance qualification","36.55","40","300","35.55","37.55","20","40","40","40"
"1985","16-34 y.","lower secondary degree","38.81","40","1061","38.44","39.18","38","40","40","40"
"1985","16-34 y.","no degree/no degree yet","37.26","40","108","35.92","38.6","30","40","40","40"
"1985","16-34 y.","Other degree","39.51","40","246","38.7","40.32","38","40","40","40"
"1985","16-34 y.","secondary school degree","38.51","40","593","38","39.02","38","40","40","40"
"1985","35-65 y.","college entrance qualification","37.35","40","290","36.51","38.19","25","40","40","40"
"1985","35-65 y.","lower secondary degree","36.29","40","1453","35.84","36.74","20","39","40","40"
"1985","35-65 y.","no degree/no degree yet","39.23","40","389","38.58","39.88","38","40","40","40"
"1985","35-65 y.","Other degree","38.85","40","599","38.45","39.25","38","40","40","40"
"1985","35-65 y.","secondary school degree","35.53","40","405","34.65","36.41","20","36","40","40"
"1985","66 and older","college entrance qualification","","","","","","","","",""
"1985","66 and older","lower secondary degree","","","","","","","","",""
"1985","66 and older","no degree/no degree yet","","","","","","","","",""
"1985","66 and older","Other degree","","","","","","","","",""
"1985","66 and older","secondary school degree","","","","","","","","",""
"1986","16-34 y.","college entrance qualification","36.81","40","332","35.92","37.7","24","38","40","40"
"1986","16-34 y.","lower secondary degree","38.52","40","1073","38.17","38.87","35","39","40","40"
"1986","16-34 y.","no degree/no degree yet","36.58","40","104","35.11","38.05","30","38","40","40"
"1986","16-34 y.","Other degree","39.12","40","209","38.34","39.9","39","40","40","40"
"1986","16-34 y.","secondary school degree","38.69","40","602","38.24","39.14","38","40","40","40"
"1986","35-65 y.","college entrance qualification","37.1","40","282","36.2","38","26","39","40","40"
"1986","35-65 y.","lower secondary degree","36.3","40","1351","35.85","36.75","20","38","40","40"
"1986","35-65 y.","no degree/no degree yet","38.99","40","356","38.41","39.57","38","39","40","40"
"1986","35-65 y.","Other degree","38.81","40","577","38.4","39.22","38","39","40","40"
"1986","35-65 y.","secondary school degree","35.91","40","372","35.08","36.74","20","38","40","40"
"1986","66 and older","college entrance qualification","","","","","","","","",""
"1986","66 and older","lower secondary degree","","","","","","","","",""
"1986","66 and older","no degree/no degree yet","","","","","","","","",""
"1986","66 and older","Other degree","","","","","","","","",""
"1986","66 and older","secondary school degree","","","","","","","","",""
"1987","16-34 y.","college entrance qualification","36.27","40","332","35.33","37.21","20","38","40","40"
"1987","16-34 y.","lower secondary degree","38.52","40","1059","38.17","38.87","38","38.5","40","40"
"1987","16-34 y.","no degree/no degree yet","33.34","38.5","94","31.46","35.22","10","35","40","40"
"1987","16-34 y.","Other degree","38.66","40","194","37.72","39.6","36","38.5","40","40"
"1987","16-34 y.","secondary school degree","38.3","40","628","37.86","38.74","35","38.5","40","40"
"1987","35-65 y.","college entrance qualification","36.58","40","285","35.65","37.51","24","38","40","40"
"1987","35-65 y.","lower secondary degree","36.1","40","1351","35.64","36.56","20","38","40","40"
"1987","35-65 y.","no degree/no degree yet","38.61","40","346","37.92","39.3","38","38.5","40","40"
"1987","35-65 y.","Other degree","38.92","40","579","38.52","39.32","38","38.5","40","40"
"1987","35-65 y.","secondary school degree","35.77","40","364","34.93","36.61","20","38","40","40"
"1987","66 and older","college entrance qualification","","","","","","","","",""
"1987","66 and older","lower secondary degree","","","","","","","","",""
"1987","66 and older","no degree/no degree yet","","","","","","","","",""
"1987","66 and older","Other degree","","","","","","","","",""
"1987","66 and older","secondary school degree","","","","","","","","",""
"1988","16-34 y.","college entrance qualification","36.54","40","319","35.6","37.48","24","38","40","40"
"1988","16-34 y.","lower secondary degree","38.45","40","1006","38.08","38.82","37","38","40","40"
"1988","16-34 y.","no degree/no degree yet","36","40","89","34.31","37.69","20","38","40","40"
"1988","16-34 y.","Other degree","37.34","40","167","36.33","38.35","35","38","40","40"
"1988","16-34 y.","secondary school degree","37.84","40","615","37.33","38.35","34","38.5","40","40"
"1988","35-65 y.","college entrance qualification","36.24","40","288","35.31","37.17","23","38","40","40"
"1988","35-65 y.","lower secondary degree","35.87","40","1273","35.41","36.33","20","37.5","40","40"
"1988","35-65 y.","no degree/no degree yet","37.1","40","296","36.34","37.86","30","38","40","40"
"1988","35-65 y.","Other degree","38.47","40","526","38.01","38.93","37","38","40","40"
"1988","35-65 y.","secondary school degree","35.38","40","366","34.5","36.26","20","37.5","40","40"
"1988","66 and older","college entrance qualification","","","","","","","","",""
"1988","66 and older","lower secondary degree","","","","","","","","",""
"1988","66 and older","no degree/no degree yet","","","","","","","","",""
"1988","66 and older","Other degree","","","","","","","","",""
"1988","66 and older","secondary school degree","","","","","","","","",""
"1989","16-34 y.","college entrance qualification","35.87","39","325","34.94","36.8","20","37.5","40","40"
"1989","16-34 y.","lower secondary degree","37.63","40","1048","37.24","38.02","35","38","40","40"
"1989","16-34 y.","no degree/no degree yet","37.29","39.96","89","35.55","39.03","37","37.5","40","40"
"1989","16-34 y.","Other degree","37.04","39.03","141","35.99","38.09","25","37.5","40","40"
"1989","16-34 y.","secondary school degree","37.82","40","620","37.34","38.3","35","38","40","40"
"1989","35-65 y.","college entrance qualification","35.98","40","291","35.03","36.93","22","38","40","40"
"1989","35-65 y.","lower secondary degree","35.96","39","1205","35.48","36.44","20","37","40","40"
