"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","37.65","40","213","25","40","40","40","48","36.84","38.46","8","56","40","40"
"1985","direct migration background","Urban Area","38.17","40","1587","30","40","40","40","56","37.85","38.49","2","72","40","40"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","38.13","40","51","25","40","40","45","50","36.62","39.64","20","50","40","40"
"1985","no migration background","Rural Area","37.11","40","796","21","40","40","40","50","36.54","37.68","3","56","40","40"
"1985","no migration background","Urban Area","37.15","40","2869","23","40","40","40","48","36.86","37.44","1","74","40","40"
"1986","direct migration background","Rural Area","36.41","40","213","20","38","40","40","45","35.59","37.23","5","60","40","40"
"1986","direct migration background","Urban Area","37.94","40","1494","33","39","40","40","48","37.65","38.23","5","60","40","40"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","37.39","40","70","25","36","40","47","50","35.9","38.88","18","66","40","40"
"1986","no migration background","Rural Area","37.39","40","779","25","39","40","40","50","36.85","37.93","4","60","40","40"
"1986","no migration background","Urban Area","37.12","40","2772","25","38","40","40","48","36.84","37.4","2","76","40","40"
"1987","direct migration background","Rural Area","36.04","40","216","20","38","40","40","43","35.27","36.81","4","48","40","40"
"1987","direct migration background","Urban Area","37.83","40","1480","34","38","40","40","48","37.52","38.14","2","80","40","40"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","37.82","40","71","30","38.5","40","40","48","36.79","38.85","17","49","40","40"
"1987","no migration background","Rural Area","36.86","40","807","24","38","40","40","50","36.29","37.43","1","65","40","40"
"1987","no migration background","Urban Area","36.95","40","2747","24","38","40","40","50","36.66","37.24","2","72","40","40"
"1988","direct migration background","Rural Area","35.21","40","197","20","38","40","40","45","34.32","36.1","7","50","40","40"
"1988","direct migration background","Urban Area","37.49","40","1378","30","38","40","40","48","37.16","37.82","2","70","39","40"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","36.51","40","89","25","38","40","40","40","35.11","37.91","4","40","38.5","40"
"1988","no migration background","Rural Area","37.08","40","726","25","38","40","40","56","36.5","37.66","5","62","40","40"
"1988","no migration background","Urban Area","36.57","40","2650","23","38","40","40","48","36.27","36.87","2","72","40","40"
"1989","direct migration background","Rural Area","35.2","39","197","20","37.5","40","40","50","34.24","36.16","10","60","39","40"
"1989","direct migration background","Urban Area","37.17","39","1351","30","37.5","40","40","48","36.84","37.5","2","66","38.5","39"
"1989","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1989","indirect migration background","Urban Area","35.61","39","101","25","37.5","40","40","42","34.26","36.96","8","50","38.5","40"
"1989","no migration background","Rural Area","37.46","40","723","25","38","40","40","66","36.84","38.08","5","77","39","40"
