"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1985","college entrance qualification","West Germany","13.98","8","656","2","4","18","31","80","12.56","15.4","1","250","7","10"
"1985","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1985","lower secondary degree","West Germany","11.63","7","2428","1","3","15","25","70","10.94","12.32","0","360","6","7"
"1985","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","West Germany","7.6","5","434","1","2","10","20","40","6.81","8.39","0","60","4","5"
"1985","Other degree","East Germany","","","","","","","","","","","","","",""
"1985","Other degree","West Germany","9.8","5","744","1","2","12","20","86","8.57","11.03","1","260","4","5"
"1985","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1985","secondary school degree","West Germany","12.01","8","1006","1","3","15","27","60","11.16","12.86","0","130","8","9"
"1986","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1986","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1986","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1986","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1986","Other degree","East Germany","","","","","","","","","","","","","",""
"1986","Other degree","West Germany","","","","","","","","","","","","","",""
"1986","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1986","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1987","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1987","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1987","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1987","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1987","Other degree","East Germany","","","","","","","","","","","","","",""
"1987","Other degree","West Germany","","","","","","","","","","","","","",""
"1987","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1987","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1988","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1988","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1988","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1988","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1988","Other degree","East Germany","","","","","","","","","","","","","",""
"1988","Other degree","West Germany","","","","","","","","","","","","","",""
"1988","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1988","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1989","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1989","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1989","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1989","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1989","Other degree","East Germany","","","","","","","","","","","","","",""
"1989","Other degree","West Germany","","","","","","","","","","","","","",""
"1989","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1989","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1990","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1990","college entrance qualification","West Germany","16.73","10","678","2","5","20","38","103","14.97","18.49","0","240","10","11"
"1990","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1990","lower secondary degree","West Germany","12.28","7","2081","2","3","15","25","75","11.53","13.03","0","300","7","8"
"1990","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","West Germany","10.08","5.51","333","1","2","13","25","60","8.94","11.22","0","80","4","5"
"1990","Other degree","East Germany","","","","","","","","","","","","","",""
"1990","Other degree","West Germany","9.85","6","597","1","2","13","22","70","8.8","10.9","0","110","4","5"
"1990","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1990","secondary school degree","West Germany","14.04","10","971","2","4","19","30","85","12.86","15.22","0","330","8","10"
"1991","college entrance qualification","East Germany","57.84","14","99","6","8","30","150","750","30.46","85.22","2","750","10","15"
"1991","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1991","lower secondary degree","East Germany","27.73","10","196","4","6","15","25","500","15.42","40.04","1","700","10","11"
"1991","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1991","Other degree","East Germany","","","","","","","","","","","","","",""
"1991","Other degree","West Germany","","","","","","","","","","","","","",""
"1991","secondary school degree","East Germany","44.67","10.26","524","5","7","21","70","600","35.16","54.18","0","999","10","13"
"1991","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1992","college entrance qualification","East Germany","44.73","15","99","6","9","26","75","500","24.52","64.94","3","600","12","17"
"1992","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"1992","lower secondary degree","East Germany","34.1","10","184","5","7","20","36","550","20.19","48.01","1","800","10","15"
"1992","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"1992","Other degree","East Germany","","","","","","","","","","","","","",""
"1992","Other degree","West Germany","","","","","","","","","","","","","",""
"1992","secondary school degree","East Germany","40.4","12","474","5","7","25","50","580","30.91","49.89","1","650","12","15"
"1992","secondary school degree","West Germany","","","","","","","","","","","","","",""
"1993","college entrance qualification","East Germany","8.43","5","310","1","2","12","20","40","7.31","9.55","0","80","4","6"
"1993","college entrance qualification","West Germany","14.74","9","776","1","3","20","35","75","13.51","15.97","0","140","8","10"
"1993","lower secondary degree","East Germany","7.72","4","452","1","1","10","20","50","6.63","8.81","0","125","3","5"
"1993","lower secondary degree","West Germany","11.16","6","2148","1","2","15","28","65","10.58","11.74","0","165","6","7"
"1993","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","West Germany","7.31","4","291","1","2","10","20","65","6.16","8.46","0","90","3","5"
"1993","Other degree","East Germany","","","","","","","","","","","","","",""
"1993","Other degree","West Germany","9.38","6","577","1","2","12","22","49","8.29","10.47","0","180","4","6"
"1993","secondary school degree","East Germany","9.45","5","1146","1","2","12","24","65","8.8","10.1","0","100","4","5"
