"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","(1a) inadequately completed","8.94","8","60","1","4","13","15","32","7.02","10.86","1","32","4","8"
"1985","(Married) couple without C.","(1b) general elementary school","9.43","5","170","1","3","10","20","60","7.27","11.59","0","150","4","6"
"1985","(Married) couple without C.","(1c) basic vocational qualification","11.72","8","425","1","3","15","25","82","10.41","13.03","1","120","6","8"
"1985","(Married) couple without C.","(2a) intermediate vocational","14.09","10","194","2","4","18","30","104","12.02","16.16","1","120","8","12"
"1985","(Married) couple without C.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","(2c_voc) vocational maturity certificate","9.55","7","48","2","2","13","20","32","7.22","11.88","1","32","4","10"
"1985","(Married) couple without C.","(3a) lower tertiary education","12.33","8","43","1","4","14","35","51","8.71","15.95","1","51","5","13"
"1985","(Married) couple without C.","(3b) higher tertiary education","15.25","10","68","2","5","20","27","90","11.18","19.32","1","90","7","12"
"1985","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(1b) general elementary school","8.34","5","66","1","2","10","20","42","6.11","10.57","1","42","3","8"
"1985","1-pers.-HH","(1c) basic vocational qualification","9.53","5","130","1","3","10","25","62","7.49","11.57","1","65","4","7"
"1985","1-pers.-HH","(2a) intermediate vocational","10.29","8","98","1","3","15","21","60","8.44","12.14","1","60","6","10"
"1985","1-pers.-HH","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(2c_voc) vocational maturity certificate","13.92","7.57","42","2","3","24","35","60","9.44","18.4","1","60","5","12"
"1985","1-pers.-HH","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(3b) higher tertiary education","9.24","4","45","1","2","13","23","45","6.24","12.24","1","45","3","8"
"1985","Couple + C. GT 16 ","(0) in school","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","(1a) inadequately completed","8.17","5","66","1","2","10","20","27","6.72","9.62","0","27","3","5"
"1985","Couple + C. GT 16 ","(1b) general elementary school","8.42","6","201","1","2","10","18","45","7.15","9.69","1","80","5","7"
"1985","Couple + C. GT 16 ","(1c) basic vocational qualification","12.84","8","390","1","4","15","25","107","10.3","15.38","1","360","7","9"
"1985","Couple + C. GT 16 ","(2a) intermediate vocational","11.46","7.45","155","1","3","15","25","60","9.5","13.42","0","85","6","10"
"1985","Couple + C. GT 16 ","(2b) intermediate general qualification","8.06","5","80","1","3","10","15","60","5.8","10.32","1","60","4","8"
"1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","9.17","5","36","2","3","14","18","35","6.32","12.02","1","35","4","11"
"1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","(3b) higher tertiary education","13.68","6.98","51","2","4","14","40","100","8.56","18.8","1","100","5","10"
"1985","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","(1a) inadequately completed","7.39","4","149","1","2","10","20","40","5.92","8.86","0","40","3","5"
"1985","Couple + C. LE 16","(1b) general elementary school","9.27","6","253","1","3","10","20","65","8.03","10.51","1","70","4","6"
"1985","Couple + C. LE 16","(1c) basic vocational qualification","14.08","8","609","1","3","15","30","100","12.21","15.95","0","280","6","8"
"1985","Couple + C. LE 16","(2a) intermediate vocational","12.29","9","196","1","3","17","30","50","10.6","13.98","1","65","6","12"
"1985","Couple + C. LE 16","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","(2c_voc) vocational maturity certificate","18.12","8","67","2","3","19","30","250","9.56","26.68","1","250","5","9"
"1985","Couple + C. LE 16","(3a) lower tertiary education","23.18","9.75","49","3","6","30","78","113","15.28","31.08","1","113","7","16"
"1985","Couple + C. LE 16","(3b) higher tertiary education","15.78","9","127","2","4","22","40","80","12.81","18.75","1","82","6","11"
"1985","Couple + C. LE and GT 16","(0) in school","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(1a) inadequately completed","7.92","6","93","1","2","10","15","40","6.25","9.59","1","40","3","8"
"1985","Couple + C. LE and GT 16","(1b) general elementary school","7.87","5","203","1","2","10","18","60","6.73","9.01","1","60","3","6"
"1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","13.51","8","265","1","3","16","30","90","11.44","15.58","0","160","6","8"
"1985","Couple + C. LE and GT 16","(2a) intermediate vocational","14.12","9.14","55","2","3","15","29","130","8.15","20.09","1","130","5","12"
"1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","8.27","5","52","1","3","11","21","40","5.88","10.66","1","40","4","8"
"1985","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1985","Single parent","(0) in school","","","","","","","","","","","","","",""
"1985","Single parent","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","Single parent","(1b) general elementary school","9.26","5.91","67","1","3","12","20","70","6.71","11.81","1","70","3","6"
"1985","Single parent","(1c) basic vocational qualification","10.77","5","95","2","3","15","27","60","8.36","13.18","1","60","4","9"
"1985","Single parent","(2a) intermediate vocational","12.62","10","38","1","5","15","30","50","8.86","16.38","1","50","5","12"
"1985","Single parent","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","Single parent","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","Single parent","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","Single parent","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","Single parent","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(1a) inadequately completed","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(1b) general elementary school","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(1b) general elementary school","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
