"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","direct migration background","East Germany","","","","","","","","","","","","","",""
"1986","direct migration background","West Germany","18.61","14","423","4","8","24","40","70","17.03","20.19","0","99","12","16"
"1986","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1986","indirect migration background","West Germany","","","","","","","","","","","","","",""
"1986","no migration background","East Germany","","","","","","","","","","","","","",""
"1986","no migration background","West Germany","19.01","14","1419","4","8","22","40","90","18.09","19.93","0","99","12","15"
"1987","direct migration background","East Germany","","","","","","","","","","","","","",""
"1987","direct migration background","West Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","West Germany","","","","","","","","","","","","","",""
"1987","no migration background","East Germany","","","","","","","","","","","","","",""
"1987","no migration background","West Germany","","","","","","","","","","","","","",""
"1988","direct migration background","East Germany","","","","","","","","","","","","","",""
"1988","direct migration background","West Germany","19.07","14","426","5","8","30","40","55","17.61","20.53","1","99","12","16"
"1988","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1988","indirect migration background","West Germany","","","","","","","","","","","","","",""
"1988","no migration background","East Germany","","","","","","","","","","","","","",""
"1988","no migration background","West Germany","19.12","13","1387","4","8","24","40","81","18.17","20.07","1","99","12","15"
"1989","direct migration background","East Germany","","","","","","","","","","","","","",""
"1989","direct migration background","West Germany","18.22","16","443","5","8","22","40","80","16.73","19.71","0","99","12","16"
"1989","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1989","indirect migration background","West Germany","25.34","20","33","4","10","40","50","99","17.7","32.98","1","99","7","20"
"1989","no migration background","East Germany","","","","","","","","","","","","","",""
"1989","no migration background","West Germany","19.78","15","1441","4","8","25","40","99","18.84","20.72","0","99","12","15"
"1990","direct migration background","East Germany","","","","","","","","","","","","","",""
"1990","direct migration background","West Germany","20.55","15.75","442","5","10","25","40","99","18.94","22.16","0","99","12","16"
"1990","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1990","indirect migration background","West Germany","15.55","10","43","6","8","15","24","80","10.8","20.3","1","80","8","16"
"1990","no migration background","East Germany","19.52","15","1055","5","8","25","40","80","18.57","20.47","0","99","15","15"
"1990","no migration background","West Germany","18.61","14","1479","4","8","21","40","80","17.76","19.46","0","99","12","15"
"1991","direct migration background","East Germany","","","","","","","","","","","","","",""
"1991","direct migration background","West Germany","18.3","15","447","5","8","24","40","70","16.89","19.71","0","99","12","15"
"1991","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1991","indirect migration background","West Germany","14.91","10","58","4","7","20","24","60","11.84","17.98","2","60","8","15"
