"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","direct migration background","3.47","3","2614","2","3","4","5","5","3.43","3.51","1","5","3","4"
"2003","indirect migration background","2.92","3","788","1","2","4","5","5","2.84","3","1","5","3","3"
"2003","no migration background","3.43","3","18755","2","3","4","5","5","3.41","3.45","1","5","3","3"
"2004","direct migration background","","","","","","","","","","","","","",""
"2004","indirect migration background","","","","","","","","","","","","","",""
"2004","no migration background","","","","","","","","","","","","","",""
"2005","direct migration background","","","","","","","","","","","","","",""
"2005","indirect migration background","","","","","","","","","","","","","",""
"2005","no migration background","","","","","","","","","","","","","",""
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","3.58","4","1892","2","3","4","5","5","3.53","3.63","1","5","4","4"
"2008","indirect migration background","3.13","3","771","2","2","4","5","5","3.06","3.2","1","5","3","3"
"2008","no migration background","3.46","3","16626","2","3","4","5","5","3.44","3.48","1","5","3","3"
"2009","direct migration background","","","","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","","","","",""
"2010","direct migration background","","","","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","","","","","","","","","","","","","",""
"2012","indirect migration background","","","","","","","","","","","","","",""
"2012","no migration background","","","","","","","","","","","","","",""
"2013","direct migration background","3.54","4","2654","2","3","4","5","5","3.5","3.58","1","5","3","4"
"2013","indirect migration background","3.15","3","1184","2","2","4","4","5","3.09","3.21","1","5","3","3"
"2013","no migration background","3.47","3","21686","2","3","4","5","5","3.46","3.48","1","5","3","3"
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","","","","","","","","","","","","","",""
"2017","indirect migration background","","","","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","","","","",""
"2018","direct migration background","3.45","3","4413","2","3","4","5","5","3.42","3.48","1","5","3","3"
"2018","indirect migration background","3.05","3","1709","2","2","4","5","5","3","3.1","1","5","3","3"
"2018","no migration background","3.38","3","19585","2","3","4","5","5","3.37","3.39","1","5","3","3"
