"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Rural Area","East Germany","3.55","4","3519","2","3","4","5","5","3.51","3.59","1","5","3","4"
"2003","Rural Area","West Germany","3.47","3","3794","2","3","4","5","5","3.44","3.5","1","5","3","3"
"2003","Urban Area","East Germany","3.38","3","1825","2","3","4","5","5","3.33","3.43","1","5","3","3"
"2003","Urban Area","West Germany","3.38","3","13019","2","3","4","5","5","3.36","3.4","1","5","3","3"
"2004","Rural Area","East Germany","","","","","","","","","","","","","",""
"2004","Rural Area","West Germany","","","","","","","","","","","","","",""
"2004","Urban Area","East Germany","","","","","","","","","","","","","",""
"2004","Urban Area","West Germany","","","","","","","","","","","","","",""
"2005","Rural Area","East Germany","","","","","","","","","","","","","",""
"2005","Rural Area","West Germany","","","","","","","","","","","","","",""
"2005","Urban Area","East Germany","","","","","","","","","","","","","",""
"2005","Urban Area","West Germany","","","","","","","","","","","","","",""
"2006","Rural Area","East Germany","","","","","","","","","","","","","",""
"2006","Rural Area","West Germany","","","","","","","","","","","","","",""
"2006","Urban Area","East Germany","","","","","","","","","","","","","",""
"2006","Urban Area","West Germany","","","","","","","","","","","","","",""
"2007","Rural Area","East Germany","","","","","","","","","","","","","",""
"2007","Rural Area","West Germany","","","","","","","","","","","","","",""
"2007","Urban Area","East Germany","","","","","","","","","","","","","",""
"2007","Urban Area","West Germany","","","","","","","","","","","","","",""
"2008","Rural Area","East Germany","3.54","4","3093","2","3","4","5","5","3.5","3.58","1","5","3","4"
"2008","Rural Area","West Germany","3.52","4","3434","2","3","4","5","5","3.49","3.55","1","5","3","4"
"2008","Urban Area","East Germany","3.41","3","1670","2","3","4","5","5","3.36","3.46","1","5","3","3"
"2008","Urban Area","West Germany","3.43","3","11092","2","3","4","5","5","3.41","3.45","1","5","3","3"
"2009","Rural Area","East Germany","","","","","","","","","","","","","",""
"2009","Rural Area","West Germany","","","","","","","","","","","","","",""
"2009","Urban Area","East Germany","","","","","","","","","","","","","",""
"2009","Urban Area","West Germany","","","","","","","","","","","","","",""
"2010","Rural Area","East Germany","","","","","","","","","","","","","",""
"2010","Rural Area","West Germany","","","","","","","","","","","","","",""
"2010","Urban Area","East Germany","","","","","","","","","","","","","",""
"2010","Urban Area","West Germany","","","","","","","","","","","","","",""
"2011","Rural Area","East Germany","","","","","","","","","","","","","",""
"2011","Rural Area","West Germany","","","","","","","","","","","","","",""
"2011","Urban Area","East Germany","","","","","","","","","","","","","",""
"2011","Urban Area","West Germany","","","","","","","","","","","","","",""
"2012","Rural Area","East Germany","","","","","","","","","","","","","",""
"2012","Rural Area","West Germany","","","","","","","","","","","","","",""
"2012","Urban Area","East Germany","","","","","","","","","","","","","",""
"2012","Urban Area","West Germany","","","","","","","","","","","","","",""
"2013","Rural Area","East Germany","3.63","4","3675","2","3","4","5","5","3.6","3.66","1","5","4","4"
"2013","Rural Area","West Germany","3.47","3","5468","2","3","4","5","5","3.44","3.5","1","5","3","3"
"2013","Urban Area","East Germany","3.54","4","2056","2","3","4","5","5","3.5","3.58","1","5","3","4"
"2013","Urban Area","West Germany","3.43","3","14325","2","3","4","5","5","3.41","3.45","1","5","3","3"
"2014","Rural Area","East Germany","","","","","","","","","","","","","",""
"2014","Rural Area","West Germany","","","","","","","","","","","","","",""
"2014","Urban Area","East Germany","","","","","","","","","","","","","",""
"2014","Urban Area","West Germany","","","","","","","","","","","","","",""
"2015","Rural Area","East Germany","","","","","","","","","","","","","",""
"2015","Rural Area","West Germany","","","","","","","","","","","","","",""
"2015","Urban Area","East Germany","","","","","","","","","","","","","",""
"2015","Urban Area","West Germany","","","","","","","","","","","","","",""
"2016","Rural Area","East Germany","","","","","","","","","","","","","",""
"2016","Rural Area","West Germany","","","","","","","","","","","","","",""
"2016","Urban Area","East Germany","","","","","","","","","","","","","",""
"2016","Urban Area","West Germany","","","","","","","","","","","","","",""
"2017","Rural Area","East Germany","","","","","","","","","","","","","",""
"2017","Rural Area","West Germany","","","","","","","","","","","","","",""
"2017","Urban Area","East Germany","","","","","","","","","","","","","",""
"2017","Urban Area","West Germany","","","","","","","","","","","","","",""
"2018","Rural Area","East Germany","3.55","4","3578","2","3","4","5","5","3.52","3.58","1","5","4","4"
"2018","Rural Area","West Germany","3.39","3","5451","2","3","4","5","5","3.36","3.42","1","5","3","3"
"2018","Urban Area","East Germany","3.46","3","1938","2","3","4","5","5","3.41","3.51","1","5","3","3"
"2018","Urban Area","West Germany","3.32","3","14740","2","3","4","5","5","3.3","3.34","1","5","3","3"
