"year","bula_h","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Baden-W?rttemberg","general elemantary","4.44","5","457","3","4","5","5","5","4.36","4.52","1","5","5","5"
"2003","Baden-W?rttemberg","higher education","4.23","4","470","3","4","5","5","5","4.16","4.3","1","5","4","4"
"2003","Baden-W?rttemberg","higher vocational","4.25","4","209","3","4","5","5","5","4.16","4.34","2","5","4","4"
"2003","Baden-W?rttemberg","in school","3.58","4","76","2","3","4","5","5","3.33","3.83","1","5","3","4"
"2003","Baden-W?rttemberg","inadequately","4.63","5","45","4","4","5","5","5","4.45","4.81","3","5","5","5"
"2003","Baden-W?rttemberg","middle vocational","4.39","5","1256","3","4","5","5","5","4.35","4.43","1","5","4","5"
"2003","Baden-W?rttemberg","vocational + Abi","4.19","4","143","3","4","5","5","5","4.05","4.33","2","5","4","5"
"2003","Bavaria","general elemantary","4.3","5","394","3","4","5","5","5","4.2","4.4","1","5","5","5"
"2003","Bavaria","higher education","4.28","4","586","3","4","5","5","5","4.21","4.35","2","5","4","5"
"2003","Bavaria","higher vocational","4.26","4","247","3","4","5","5","5","4.16","4.36","2","5","4","5"
"2003","Bavaria","in school","3.23","3","67","2","2","4","5","5","2.94","3.52","1","5","3","3"
"2003","Bavaria","inadequately","","","","","","","","","","","","","",""
"2003","Bavaria","middle vocational","4.3","5","1642","3","4","5","5","5","4.26","4.34","1","5","4","5"
"2003","Bavaria","vocational + Abi","4.13","4","146","3","4","5","5","5","4","4.26","2","5","4","5"
"2003","Berlin","general elemantary","4.2","4","75","3","4","5","5","5","4","4.4","2","5","4","5"
"2003","Berlin","higher education","4.27","4","246","3","4","5","5","5","4.17","4.37","1","5","4","5"
"2003","Berlin","higher vocational","4.06","4","63","2","4","5","5","5","3.8","4.32","1","5","4","5"
"2003","Berlin","in school","3.75","4","32","2","3","5","5","5","3.32","4.18","1","5","3","4"
"2003","Berlin","inadequately","","","","","","","","","","","","","",""
"2003","Berlin","middle vocational","4.25","5","347","3","4","5","5","5","4.15","4.35","1","5","4","5"
"2003","Berlin","vocational + Abi","3.92","4","36","3","3","5","5","5","3.62","4.22","2","5","3","4"
"2003","Brandenburg","general elemantary","4.42","5","75","3","4","5","5","5","4.23","4.61","1","5","4","5"
"2003","Brandenburg","higher education","4.42","5","259","4","4","5","5","5","4.33","4.51","1","5","4","5"
"2003","Brandenburg","higher vocational","4.51","5","80","4","4","5","5","5","4.36","4.66","2","5","4","5"
"2003","Brandenburg","in school","","","","","","","","","","","","","",""
"2003","Brandenburg","inadequately","","","","","","","","","","","","","",""
"2003","Brandenburg","middle vocational","4.5","5","461","4","4","5","5","5","4.43","4.57","2","5","5","5"
"2003","Brandenburg","vocational + Abi","","","","","","","","","","","","","",""
"2003","Bremen","general elemantary","","","","","","","","","","","","","",""
"2003","Bremen","higher education","4.29","4","38","3","4","5","5","5","4.05","4.53","3","5","4","5"
"2003","Bremen","higher vocational","","","","","","","","","","","","","",""
"2003","Bremen","in school","","","","","","","","","","","","","",""
"2003","Bremen","inadequately","","","","","","","","","","","","","",""
"2003","Bremen","middle vocational","4.28","5","85","3","3","5","5","5","4.11","4.45","2","5","4","5"
"2003","Bremen","vocational + Abi","","","","","","","","","","","","","",""
"2003","Hamburg","general elemantary","","","","","","","","","","","","","",""
"2003","Hamburg","higher education","4.25","4","75","4","4","5","5","5","4.08","4.42","2","5","4","5"
"2003","Hamburg","higher vocational","","","","","","","","","","","","","",""
"2003","Hamburg","in school","","","","","","","","","","","","","",""
"2003","Hamburg","inadequately","","","","","","","","","","","","","",""
"2003","Hamburg","middle vocational","4.25","4","140","3","4","5","5","5","4.11","4.39","1","5","4","5"
"2003","Hamburg","vocational + Abi","","","","","","","","","","","","","",""
"2003","Hesse","general elemantary","4.27","5","204","3","4","5","5","5","4.13","4.41","1","5","5","5"
"2003","Hesse","higher education","4.25","4","323","3","4","5","5","5","4.16","4.34","2","5","4","4"
"2003","Hesse","higher vocational","4.24","4","98","3","4","5","5","5","4.08","4.4","2","5","4","5"
"2003","Hesse","in school","3.25","3","33","2","3","4","5","5","2.82","3.68","1","5","3","4"
"2003","Hesse","inadequately","","","","","","","","","","","","","",""
"2003","Hesse","middle vocational","4.36","5","695","3","4","5","5","5","4.29","4.43","1","5","5","5"
"2003","Hesse","vocational + Abi","4.24","4","114","3","4","5","5","5","4.08","4.4","1","5","4","5"
"2003","Lower Saxony","general elemantary","4.36","5","270","3","4","5","5","5","4.24","4.48","1","5","5","5"
"2003","Lower Saxony","higher education","4.22","4","299","3","4","5","5","5","4.12","4.32","1","5","4","5"
"2003","Lower Saxony","higher vocational","4.46","5","123","4","4","5","5","5","4.32","4.6","1","5","4","5"
"2003","Lower Saxony","in school","3.28","3","59","2","3","4","5","5","3.01","3.55","1","5","3","4"
"2003","Lower Saxony","inadequately","","","","","","","","","","","","","",""
"2003","Lower Saxony","middle vocational","4.34","5","992","3","4","5","5","5","4.29","4.39","1","5","5","5"
"2003","Lower Saxony","vocational + Abi","4.34","4","120","3","4","5","5","5","4.2","4.48","2","5","4","5"
"2003","Mecklenburg-Western Pomerania","general elemantary","4.63","5","45","4","4","5","5","5","4.39","4.87","2","5","4","5"
"2003","Mecklenburg-Western Pomerania","higher education","4.4","5","138","4","4","5","5","5","4.28","4.52","2","5","4","5"
"2003","Mecklenburg-Western Pomerania","higher vocational","4.55","5","39","4","4","5","5","5","4.36","4.74","3","5","4","5"
"2003","Mecklenburg-Western Pomerania","in school","","","","","","","","","","","","","",""
"2003","Mecklenburg-Western Pomerania","inadequately","","","","","","","","","","","","","",""
"2003","Mecklenburg-Western Pomerania","middle vocational","4.44","5","273","3","4","5","5","5","4.35","4.53","2","5","5","5"
"2003","Mecklenburg-Western Pomerania","vocational + Abi","","","","","","","","","","","","","",""
"2003","North Rhine-Westphalia","general elemantary","4.3","5","585","3","4","5","5","5","4.22","4.38","1","5","5","5"
"2003","North Rhine-Westphalia","higher education","4.13","4","844","3","4","5","5","5","4.07","4.19","1","5","4","4"
"2003","North Rhine-Westphalia","higher vocational","4.35","5","334","3","4","5","5","5","4.27","4.43","1","5","4","5"
"2003","North Rhine-Westphalia","in school","3.42","3","140","2","3","4","5","5","3.23","3.61","1","5","3","4"
"2003","North Rhine-Westphalia","inadequately","4.27","5","101","3","3","5","5","5","4.07","4.47","2","5","4","5"
"2003","North Rhine-Westphalia","middle vocational","4.4","5","2253","3","4","5","5","5","4.37","4.43","1","5","5","5"
"2003","North Rhine-Westphalia","vocational + Abi","4.06","4","340","3","3","5","5","5","3.97","4.15","1","5","4","4"
"2003","Rhineland-Palatinate,Saarland","general elemantary","4.38","5","224","3","4","5","5","5","4.26","4.5","1","5","5","5"
"2003","Rhineland-Palatinate,Saarland","higher education","4.17","4","183","3","4","5","5","5","4.05","4.29","1","5","4","5"
"2003","Rhineland-Palatinate,Saarland","higher vocational","4.48","5","102","3","4","5","5","5","4.34","4.62","3","5","5","5"
"2003","Rhineland-Palatinate,Saarland","in school","3.72","4","36","3","3","5","5","5","3.34","4.1","1","5","3","4"
"2003","Rhineland-Palatinate,Saarland","inadequately","","","","","","","","","","","","","",""
"2003","Rhineland-Palatinate,Saarland","middle vocational","4.38","5","678","3","4","5","5","5","4.32","4.44","1","5","5","5"
"2003","Rhineland-Palatinate,Saarland","vocational + Abi","4.19","4","55","3","4","5","5","5","3.97","4.41","2","5","4","5"
"2003","Saxony","general elemantary","4.55","5","120","3","4","5","5","5","4.4","4.7","2","5","5","5"
"2003","Saxony","higher education","4.37","5","371","3","4","5","5","5","4.3","4.44","2","5","4","5"
"2003","Saxony","higher vocational","4.58","5","134","4","4","5","5","5","4.47","4.69","3","5","5","5"
"2003","Saxony","in school","3.65","4","42","2","3","4","5","5","3.32","3.98","2","5","3","4"
"2003","Saxony","inadequately","","","","","","","","","","","","","",""
"2003","Saxony","middle vocational","4.51","5","878","3","4","5","5","5","4.46","4.56","1","5","5","5"
"2003","Saxony","vocational + Abi","4.48","5","45","4","4","5","5","5","4.28","4.68","3","5","4","5"
"2003","Saxony-Anhalt","general elemantary","4.59","5","76","4","4","5","5","5","4.4","4.78","2","5","4","5"
"2003","Saxony-Anhalt","higher education","4.51","5","224","4","4","5","5","5","4.42","4.6","1","5","5","5"
"2003","Saxony-Anhalt","higher vocational","4.48","5","97","3","4","5","5","5","4.33","4.63","3","5","5","5"
"2003","Saxony-Anhalt","in school","3.47","4","33","2","2","4","5","5","3.09","3.85","2","5","3","4"
"2003","Saxony-Anhalt","inadequately","","","","","","","","","","","","","",""
"2003","Saxony-Anhalt","middle vocational","4.51","5","459","3","4","5","5","5","4.44","4.58","1","5","5","5"
"2003","Saxony-Anhalt","vocational + Abi","4.14","4","34","3","3","5","5","5","3.84","4.44","2","5","4","5"
"2003","Schleswig-Holstein","general elemantary","4.26","4","88","3","4","5","5","5","4.09","4.43","2","5","4","5"
"2003","Schleswig-Holstein","higher education","3.92","4","107","3","3","4","5","5","3.79","4.05","2","5","4","4"
"2003","Schleswig-Holstein","higher vocational","3.97","4","49","3","4","4","5","5","3.76","4.18","2","5","4","4"
"2003","Schleswig-Holstein","in school","","","","","","","","","","","","","",""
"2003","Schleswig-Holstein","inadequately","","","","","","","","","","","","","",""
"2003","Schleswig-Holstein","middle vocational","4.18","4","360","3","4","5","5","5","4.1","4.26","1","5","4","4"
"2003","Schleswig-Holstein","vocational + Abi","4.11","4","34","3","4","5","5","5","3.86","4.36","3","5","4","5"
"2003","Thuringia","general elemantary","4.39","5","69","3","4","5","5","5","4.16","4.62","1","5","4","5"
"2003","Thuringia","higher education","4.5","5","176","4","4","5","5","5","4.41","4.59","3","5","4","5"
"2003","Thuringia","higher vocational","4.67","5","76","4","4","5","5","5","4.55","4.79","3","5","5","5"
"2003","Thuringia","in school","","","","","","","","","","","","","",""
"2003","Thuringia","inadequately","","","","","","","","","","","","","",""
"2003","Thuringia","middle vocational","4.53","5","574","4","4","5","5","5","4.47","4.59","1","5","5","5"
"2003","Thuringia","vocational + Abi","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","general elemantary","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","higher education","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","higher vocational","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","in school","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","inadequately","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","middle vocational","","","","","","","","","","","","","",""
"2004","Baden-W?rttemberg","vocational + Abi","","","","","","","","","","","","","",""
"2004","Bavaria","general elemantary","","","","","","","","","","","","","",""
"2004","Bavaria","higher education","","","","","","","","","","","","","",""
"2004","Bavaria","higher vocational","","","","","","","","","","","","","",""
"2004","Bavaria","in school","","","","","","","","","","","","","",""
"2004","Bavaria","inadequately","","","","","","","","","","","","","",""
"2004","Bavaria","middle vocational","","","","","","","","","","","","","",""
"2004","Bavaria","vocational + Abi","","","","","","","","","","","","","",""
"2004","Berlin","general elemantary","","","","","","","","","","","","","",""
"2004","Berlin","higher education","","","","","","","","","","","","","",""
"2004","Berlin","higher vocational","","","","","","","","","","","","","",""
"2004","Berlin","in school","","","","","","","","","","","","","",""
"2004","Berlin","inadequately","","","","","","","","","","","","","",""
"2004","Berlin","middle vocational","","","","","","","","","","","","","",""
"2004","Berlin","vocational + Abi","","","","","","","","","","","","","",""
"2004","Brandenburg","general elemantary","","","","","","","","","","","","","",""
"2004","Brandenburg","higher education","","","","","","","","","","","","","",""
"2004","Brandenburg","higher vocational","","","","","","","","","","","","","",""
"2004","Brandenburg","in school","","","","","","","","","","","","","",""
"2004","Brandenburg","inadequately","","","","","","","","","","","","","",""
"2004","Brandenburg","middle vocational","","","","","","","","","","","","","",""
"2004","Brandenburg","vocational + Abi","","","","","","","","","","","","","",""
"2004","Bremen","general elemantary","","","","","","","","","","","","","",""
"2004","Bremen","higher education","","","","","","","","","","","","","",""
"2004","Bremen","higher vocational","","","","","","","","","","","","","",""
"2004","Bremen","in school","","","","","","","","","","","","","",""
"2004","Bremen","inadequately","","","","","","","","","","","","","",""
"2004","Bremen","middle vocational","","","","","","","","","","","","","",""
"2004","Bremen","vocational + Abi","","","","","","","","","","","","","",""
"2004","Hamburg","general elemantary","","","","","","","","","","","","","",""
"2004","Hamburg","higher education","","","","","","","","","","","","","",""
"2004","Hamburg","higher vocational","","","","","","","","","","","","","",""
"2004","Hamburg","in school","","","","","","","","","","","","","",""
"2004","Hamburg","inadequately","","","","","","","","","","","","","",""
"2004","Hamburg","middle vocational","","","","","","","","","","","","","",""
"2004","Hamburg","vocational + Abi","","","","","","","","","","","","","",""
"2004","Hesse","general elemantary","","","","","","","","","","","","","",""
"2004","Hesse","higher education","","","","","","","","","","","","","",""
"2004","Hesse","higher vocational","","","","","","","","","","","","","",""
"2004","Hesse","in school","","","","","","","","","","","","","",""
"2004","Hesse","inadequately","","","","","","","","","","","","","",""
"2004","Hesse","middle vocational","","","","","","","","","","","","","",""
"2004","Hesse","vocational + Abi","","","","","","","","","","","","","",""
"2004","Lower Saxony","general elemantary","","","","","","","","","","","","","",""
"2004","Lower Saxony","higher education","","","","","","","","","","","","","",""
"2004","Lower Saxony","higher vocational","","","","","","","","","","","","","",""
"2004","Lower Saxony","in school","","","","","","","","","","","","","",""
"2004","Lower Saxony","inadequately","","","","","","","","","","","","","",""
"2004","Lower Saxony","middle vocational","","","","","","","","","","","","","",""
"2004","Lower Saxony","vocational + Abi","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","general elemantary","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","higher education","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","higher vocational","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","in school","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","inadequately","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","middle vocational","","","","","","","","","","","","","",""
"2004","Mecklenburg-Western Pomerania","vocational + Abi","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","general elemantary","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","higher education","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","higher vocational","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","in school","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","inadequately","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","middle vocational","","","","","","","","","","","","","",""
"2004","North Rhine-Westphalia","vocational + Abi","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","general elemantary","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","higher education","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","higher vocational","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","in school","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","inadequately","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","middle vocational","","","","","","","","","","","","","",""
"2004","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","","","","","","","","","",""
"2004","Saxony","general elemantary","","","","","","","","","","","","","",""
"2004","Saxony","higher education","","","","","","","","","","","","","",""
"2004","Saxony","higher vocational","","","","","","","","","","","","","",""
"2004","Saxony","in school","","","","","","","","","","","","","",""
"2004","Saxony","inadequately","","","","","","","","","","","","","",""
"2004","Saxony","middle vocational","","","","","","","","","","","","","",""
"2004","Saxony","vocational + Abi","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","general elemantary","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","higher education","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","higher vocational","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","in school","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","inadequately","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","middle vocational","","","","","","","","","","","","","",""
"2004","Saxony-Anhalt","vocational + Abi","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","general elemantary","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","higher education","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","higher vocational","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","in school","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","inadequately","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","middle vocational","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","vocational + Abi","","","","","","","","","","","","","",""
"2004","Thuringia","general elemantary","","","","","","","","","","","","","",""
"2004","Thuringia","higher education","","","","","","","","","","","","","",""
"2004","Thuringia","higher vocational","","","","","","","","","","","","","",""
"2004","Thuringia","in school","","","","","","","","","","","","","",""
"2004","Thuringia","inadequately","","","","","","","","","","","","","",""
"2004","Thuringia","middle vocational","","","","","","","","","","","","","",""
"2004","Thuringia","vocational + Abi","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","general elemantary","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","higher education","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","higher vocational","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","in school","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","inadequately","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","middle vocational","","","","","","","","","","","","","",""
"2005","Baden-W?rttemberg","vocational + Abi","","","","","","","","","","","","","",""
"2005","Bavaria","general elemantary","","","","","","","","","","","","","",""
"2005","Bavaria","higher education","","","","","","","","","","","","","",""
"2005","Bavaria","higher vocational","","","","","","","","","","","","","",""
"2005","Bavaria","in school","","","","","","","","","","","","","",""
"2005","Bavaria","inadequately","","","","","","","","","","","","","",""
"2005","Bavaria","middle vocational","","","","","","","","","","","","","",""
"2005","Bavaria","vocational + Abi","","","","","","","","","","","","","",""
"2005","Berlin","general elemantary","","","","","","","","","","","","","",""
"2005","Berlin","higher education","","","","","","","","","","","","","",""
"2005","Berlin","higher vocational","","","","","","","","","","","","","",""
"2005","Berlin","in school","","","","","","","","","","","","","",""
"2005","Berlin","inadequately","","","","","","","","","","","","","",""
"2005","Berlin","middle vocational","","","","","","","","","","","","","",""
"2005","Berlin","vocational + Abi","","","","","","","","","","","","","",""
"2005","Brandenburg","general elemantary","","","","","","","","","","","","","",""
"2005","Brandenburg","higher education","","","","","","","","","","","","","",""
"2005","Brandenburg","higher vocational","","","","","","","","","","","","","",""
"2005","Brandenburg","in school","","","","","","","","","","","","","",""
"2005","Brandenburg","inadequately","","","","","","","","","","","","","",""
"2005","Brandenburg","middle vocational","","","","","","","","","","","","","",""
"2005","Brandenburg","vocational + Abi","","","","","","","","","","","","","",""
"2005","Bremen","general elemantary","","","","","","","","","","","","","",""
"2005","Bremen","higher education","","","","","","","","","","","","","",""
"2005","Bremen","higher vocational","","","","","","","","","","","","","",""
"2005","Bremen","in school","","","","","","","","","","","","","",""
"2005","Bremen","inadequately","","","","","","","","","","","","","",""
"2005","Bremen","middle vocational","","","","","","","","","","","","","",""
"2005","Bremen","vocational + Abi","","","","","","","","","","","","","",""
"2005","Hamburg","general elemantary","","","","","","","","","","","","","",""
"2005","Hamburg","higher education","","","","","","","","","","","","","",""
"2005","Hamburg","higher vocational","","","","","","","","","","","","","",""
"2005","Hamburg","in school","","","","","","","","","","","","","",""
"2005","Hamburg","inadequately","","","","","","","","","","","","","",""
"2005","Hamburg","middle vocational","","","","","","","","","","","","","",""
"2005","Hamburg","vocational + Abi","","","","","","","","","","","","","",""
"2005","Hesse","general elemantary","","","","","","","","","","","","","",""
"2005","Hesse","higher education","","","","","","","","","","","","","",""
"2005","Hesse","higher vocational","","","","","","","","","","","","","",""
"2005","Hesse","in school","","","","","","","","","","","","","",""
"2005","Hesse","inadequately","","","","","","","","","","","","","",""
"2005","Hesse","middle vocational","","","","","","","","","","","","","",""
"2005","Hesse","vocational + Abi","","","","","","","","","","","","","",""
