"year","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Full Time","4.18","4","8882","3","4","5","5","5","4.16","4.2","1","5","4","4"
"2003","Not Working","4.5","5","8117","3","4","5","5","5","4.48","4.52","1","5","5","5"
"2003","Part Time","4.19","4","5116","3","4","5","5","5","4.17","4.21","1","5","4","4"
"2004","Full Time","","","","","","","","","","","","","",""
"2004","Not Working","","","","","","","","","","","","","",""
"2004","Part Time","","","","","","","","","","","","","",""
"2005","Full Time","","","","","","","","","","","","","",""
"2005","Not Working","","","","","","","","","","","","","",""
"2005","Part Time","","","","","","","","","","","","","",""
"2006","Full Time","","","","","","","","","","","","","",""
"2006","Not Working","","","","","","","","","","","","","",""
"2006","Part Time","","","","","","","","","","","","","",""
"2007","Full Time","","","","","","","","","","","","","",""
"2007","Not Working","","","","","","","","","","","","","",""
"2007","Part Time","","","","","","","","","","","","","",""
"2008","Full Time","4.23","4","7469","3","4","5","5","5","4.21","4.25","1","5","4","4"
"2008","Not Working","4.51","5","7415","3","4","5","5","5","4.49","4.53","1","5","5","5"
"2008","Part Time","4.21","4","4407","3","4","5","5","5","4.18","4.24","1","5","4","4"
"2009","Full Time","","","","","","","","","","","","","",""
"2009","Not Working","","","","","","","","","","","","","",""
"2009","Part Time","","","","","","","","","","","","","",""
"2010","Full Time","","","","","","","","","","","","","",""
"2010","Not Working","","","","","","","","","","","","","",""
"2010","Part Time","","","","","","","","","","","","","",""
"2011","Full Time","","","","","","","","","","","","","",""
"2011","Not Working","","","","","","","","","","","","","",""
"2011","Part Time","","","","","","","","","","","","","",""
"2012","Full Time","","","","","","","","","","","","","",""
"2012","Not Working","","","","","","","","","","","","","",""
"2012","Part Time","","","","","","","","","","","","","",""
"2013","Full Time","4.22","4","9620","3","4","5","5","5","4.2","4.24","1","5","4","4"
"2013","Not Working","4.53","5","8761","3","4","5","5","5","4.51","4.55","1","5","5","5"
"2013","Part Time","4.26","4","7115","3","4","5","5","5","4.24","4.28","1","5","4","5"
"2014","Full Time","","","","","","","","","","","","","",""
"2014","Not Working","","","","","","","","","","","","","",""
"2014","Part Time","","","","","","","","","","","","","",""
"2015","Full Time","","","","","","","","","","","","","",""
"2015","Not Working","","","","","","","","","","","","","",""
"2015","Part Time","","","","","","","","","","","","","",""
"2016","Full Time","","","","","","","","","","","","","",""
"2016","Not Working","","","","","","","","","","","","","",""
"2016","Part Time","","","","","","","","","","","","","",""
"2017","Full Time","","","","","","","","","","","","","",""
"2017","Not Working","","","","","","","","","","","","","",""
"2017","Part Time","","","","","","","","","","","","","",""
"2018","Full Time","4.04","4","9907","3","3","5","5","5","4.02","4.06","1","5","4","4"
"2018","Not Working","4.42","5","8244","3","4","5","5","5","4.4","4.44","1","5","5","5"
"2018","Part Time","4.07","4","7535","3","3","5","5","5","4.05","4.09","1","5","4","4"
