"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","(0) in school","East Germany","4.1","5","159","2","4","5","5","5","3.91","4.29","1","5","4","5"
"2003","(0) in school","West Germany","3.99","5","451","2","3","5","5","5","3.87","4.11","1","5","4","5"
"2003","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2003","(1a) inadequately completed","West Germany","4.33","5","251","3","4","5","5","5","4.19","4.47","1","5","5","5"
"2003","(1b) general elementary school","East Germany","4.41","5","254","3","4","5","5","5","4.28","4.54","1","5","5","5"
"2003","(1b) general elementary school","West Germany","4.41","5","1893","3","4","5","5","5","4.36","4.46","1","5","5","5"
"2003","(1c) basic vocational qualification","East Germany","4.44","5","1192","3","4","5","5","5","4.38","4.5","1","5","5","5"
"2003","(1c) basic vocational qualification","West Germany","4.27","5","5104","2","4","5","5","5","4.24","4.3","1","5","5","5"
"2003","(2a) intermediate vocational","East Germany","4.21","5","1826","2","4","5","5","5","4.16","4.26","1","5","5","5"
"2003","(2a) intermediate vocational","West Germany","4.13","5","3316","2","4","5","5","5","4.09","4.17","1","5","5","5"
"2003","(2b) intermediate general qualification","East Germany","4","5","169","2","3","5","5","5","3.82","4.18","1","5","4","5"
"2003","(2b) intermediate general qualification","West Germany","4.09","5","462","2","3","5","5","5","3.97","4.21","1","5","5","5"
"2003","(2c_gen) general maturity certificate","East Germany","4.08","5","182","2","3","5","5","5","3.9","4.26","1","5","4","5"
"2003","(2c_gen) general maturity certificate","West Germany","4.05","5","684","2","3","5","5","5","3.96","4.14","1","5","4","5"
"2003","(2c_voc) vocational maturity certificate","East Germany","4.49","5","191","3","4","5","5","5","4.33","4.65","1","5","5","5"
"2003","(2c_voc) vocational maturity certificate","West Germany","4.01","5","1383","2","3","5","5","5","3.94","4.08","1","5","5","5"
"2003","(3a) lower tertiary education","East Germany","4.28","5","686","3","4","5","5","5","4.2","4.36","1","5","5","5"
"2003","(3a) lower tertiary education","West Germany","4.03","5","1032","2","3","5","5","5","3.95","4.11","1","5","4","5"
"2003","(3b) higher tertiary education","East Germany","4.2","5","603","3","4","5","5","5","4.11","4.29","1","5","4","5"
"2003","(3b) higher tertiary education","West Germany","4.04","5","2022","2","3","5","5","5","3.98","4.1","1","5","4","5"
"2004","(0) in school","East Germany","","","","","","","","","","","","","",""
"2004","(0) in school","West Germany","","","","","","","","","","","","","",""
"2004","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2004","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2004","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2004","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2004","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2004","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2004","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2004","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2004","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2004","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2004","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2004","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2004","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2004","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2005","(0) in school","East Germany","","","","","","","","","","","","","",""
"2005","(0) in school","West Germany","","","","","","","","","","","","","",""
"2005","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2005","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2005","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2005","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2005","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2005","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2005","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2005","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2005","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2005","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2005","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2005","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2005","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2005","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2006","(0) in school","East Germany","","","","","","","","","","","","","",""
"2006","(0) in school","West Germany","","","","","","","","","","","","","",""
"2006","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2006","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2006","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2006","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2006","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2006","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2006","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2006","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2006","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2006","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2007","(0) in school","East Germany","","","","","","","","","","","","","",""
"2007","(0) in school","West Germany","","","","","","","","","","","","","",""
"2007","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2007","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"2007","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"2007","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"2007","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"2007","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"2007","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"2007","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"2007","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"2007","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"2008","(0) in school","East Germany","3.74","4","83","2","2","5","5","5","3.47","4.01","1","5","4","5"
"2008","(0) in school","West Germany","4.08","4","273","2","4","5","5","5","3.94","4.22","1","5","4","5"
"2008","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"2008","(1a) inadequately completed","West Germany","4.23","5","168","2","4","5","5","5","4.04","4.42","1","5","5","5"
"2008","(1b) general elementary school","East Germany","4.31","5","194","3","4","5","5","5","4.17","4.45","1","5","5","5"
"2008","(1b) general elementary school","West Germany","4.24","5","1382","2","4","5","5","5","4.18","4.3","1","5","5","5"
"2008","(1c) basic vocational qualification","East Germany","4.44","5","1001","3","4","5","5","5","4.37","4.51","1","5","5","5"
"2008","(1c) basic vocational qualification","West Germany","4.21","5","4235","2","4","5","5","5","4.17","4.25","1","5","5","5"
"2008","(2a) intermediate vocational","East Germany","4.23","5","1613","2","4","5","5","5","4.17","4.29","1","5","5","5"
"2008","(2a) intermediate vocational","West Germany","4.05","5","3013","2","3","5","5","5","4.01","4.09","1","5","5","5"
"2008","(2b) intermediate general qualification","East Germany","4.42","5","124","3","4","5","5","5","4.22","4.62","1","5","5","5"
"2008","(2b) intermediate general qualification","West Germany","4.07","5","359","2","3","5","5","5","3.94","4.2","1","5","5","5"
"2008","(2c_gen) general maturity certificate","East Germany","3.96","5","153","2","3","5","5","5","3.74","4.18","1","5","4","5"
"2008","(2c_gen) general maturity certificate","West Germany","4.14","5","584","2","4","5","5","5","4.03","4.25","1","5","5","5"
