"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Rural Area","Female","4.19","3","3658","1","2","5","8","20","4.06","4.32","0","99","3","4"
"2003","Rural Area","Male","4.52","3","3445","1","2","6","10","20","4.38","4.66","0","60","3","4"
"2003","Urban Area","Female","4.42","4","7513","1","2","5","10","20","4.33","4.51","0","50","4","4"
"2003","Urban Area","Male","4.57","4","6949","1","2","6","10","20","4.47","4.67","0","50","4","4"
"2004","Rural Area","Female","","","","","","","","","","","","","",""
"2004","Rural Area","Male","","","","","","","","","","","","","",""
"2004","Urban Area","Female","","","","","","","","","","","","","",""
"2004","Urban Area","Male","","","","","","","","","","","","","",""
"2005","Rural Area","Female","","","","","","","","","","","","","",""
"2005","Rural Area","Male","","","","","","","","","","","","","",""
"2005","Urban Area","Female","","","","","","","","","","","","","",""
"2005","Urban Area","Male","","","","","","","","","","","","","",""
"2006","Rural Area","Female","","","","","","","","","","","","","",""
"2006","Rural Area","Male","","","","","","","","","","","","","",""
"2006","Urban Area","Female","","","","","","","","","","","","","",""
"2006","Urban Area","Male","","","","","","","","","","","","","",""
"2007","Rural Area","Female","","","","","","","","","","","","","",""
"2007","Rural Area","Male","","","","","","","","","","","","","",""
"2007","Urban Area","Female","","","","","","","","","","","","","",""
"2007","Urban Area","Male","","","","","","","","","","","","","",""
"2008","Rural Area","Female","3.95","3","3286","1","2","5","8","15","3.82","4.08","0","90","3","3"
"2008","Rural Area","Male","4.43","3","3047","1","2","6","10","20","4.29","4.57","0","50","3","4"
"2008","Urban Area","Female","3.97","3","6561","1","2","5","8","18","3.89","4.05","0","80","3","4"
"2008","Urban Area","Male","4.19","3","5914","1","2","5","8","20","4.09","4.29","0","60","3","4"
"2009","Rural Area","Female","","","","","","","","","","","","","",""
"2009","Rural Area","Male","","","","","","","","","","","","","",""
"2009","Urban Area","Female","","","","","","","","","","","","","",""
"2009","Urban Area","Male","","","","","","","","","","","","","",""
"2010","Rural Area","Female","","","","","","","","","","","","","",""
"2010","Rural Area","Male","","","","","","","","","","","","","",""
"2010","Urban Area","Female","","","","","","","","","","","","","",""
"2010","Urban Area","Male","","","","","","","","","","","","","",""
"2011","Rural Area","Female","4.54","3","3698","1","2","5","8","20","4.37","4.71","0","200","3","3"
"2011","Rural Area","Male","4.7","4","3384","1","2","6","10","20","4.53","4.87","0","99","3","4"
"2011","Urban Area","Female","4.36","4","7066","1","2","5","10","20","4.27","4.45","0","50","4","4"
"2011","Urban Area","Male","4.68","4","6225","1","2","6","10","20","4.48","4.88","0","500","3","4"
"2012","Rural Area","Female","","","","","","","","","","","","","",""
"2012","Rural Area","Male","","","","","","","","","","","","","",""
"2012","Urban Area","Female","","","","","","","","","","","","","",""
"2012","Urban Area","Male","","","","","","","","","","","","","",""
"2013","Rural Area","Female","4.02","3","4868","1","2","5","8","16","3.93","4.11","0","50","3","3"
"2013","Rural Area","Male","4.42","3","4131","1","2","5","10","20","4.3","4.54","0","50","3","4"
"2013","Urban Area","Female","4.24","4","8969","1","2","5","8","15","4.17","4.31","0","40","3","4"
"2013","Urban Area","Male","4.29","3","7272","1","2","5","10","20","4.2","4.38","0","99","3","4"
"2014","Rural Area","Female","","","","","","","","","","","","","",""
"2014","Rural Area","Male","","","","","","","","","","","","","",""
"2014","Urban Area","Female","","","","","","","","","","","","","",""
"2014","Urban Area","Male","","","","","","","","","","","","","",""
"2015","Rural Area","Female","3.84","3","4871","1","2","5","7","15","3.74","3.94","0","99","3","3"
"2015","Rural Area","Male","4.29","3","4219","1","2","5","9","20","4.17","4.41","0","55","3","3"
"2015","Urban Area","Female","4.02","3","9566","1","2","5","8","15","3.95","4.09","0","99","3","3"
"2015","Urban Area","Male","4.2","3","8041","1","2","5","8","20","4.11","4.29","0","99","3","3"
"2016","Rural Area","Female","","","","","","","","","","","","","",""
"2016","Rural Area","Male","","","","","","","","","","","","","",""
"2016","Urban Area","Female","","","","","","","","","","","","","",""
"2016","Urban Area","Male","","","","","","","","","","","","","",""
"2017","Rural Area","Female","3.95","3","5012","1","2","5","7","15","3.86","4.04","0","50","3","3"
"2017","Rural Area","Male","4.14","3","4372","1","2","5","8","20","4.02","4.26","0","99","3","3"
"2017","Urban Area","Female","4","3","9286","1","2","5","8","15","3.94","4.06","0","40","3","3"
"2017","Urban Area","Male","4.11","3","7872","1","2","5","8","20","4.02","4.2","0","99","3","3"
"2018","Rural Area","Female","4.02","3","5185","1","2","5","8","15","3.92","4.12","0","80","3","3"
"2018","Rural Area","Male","4.37","3","4772","1","2","5","10","20","4.21","4.53","0","99","3","3"
"2018","Urban Area","Female","4.23","3","10047","1","2","5","8","20","4.16","4.3","0","99","3","3"
"2018","Urban Area","Male","4.39","3","9267","1","2","5","10","20","4.28","4.5","0","99","3","3"
