"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Baden-W?rttemberg","Rural Area","169.66","169","257","158","163","176","180","187","168.54","170.78","150","196","168","170"
"2002","Baden-W?rttemberg","Urban Area","170.59","170","2557","160","164","176","183","193","170.23","170.95","144","205","170","170"
"2002","Bavaria","Rural Area","170.2","170","1652","160","165","176","182","190","169.77","170.63","142","202","170","170"
"2002","Bavaria","Urban Area","171.35","171","1613","159","164","178","184","194","170.89","171.81","140","200","170","172"
"2002","Berlin","Rural Area","","","","","","","","","","","","","",""
"2002","Berlin","Urban Area","171.68","171","833","159","164","178","185","196","171.02","172.34","137","197","170","172"
"2002","Brandenburg","Rural Area","170.45","170","899","158","164","178","182","192","169.85","171.05","146","197","170","171"
"2002","Brandenburg","Urban Area","172.59","173","67","160","167","178","182","197","170.33","174.85","152","197","170","176"
"2002","Bremen","Rural Area","","","","","","","","","","","","","",""
"2002","Bremen","Urban Area","171.77","172","173","160","165","179","184","193","170.39","173.15","150","199","170","175"
"2002","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2002","Hamburg","Urban Area","171.24","170","329","160","166","178","182","192","170.28","172.2","139","196","171","174"
"2002","Hesse","Rural Area","172.15","172","298","160","165","179","185","195","171.05","173.25","140","200","170","175"
"2002","Hesse","Urban Area","170.56","170","1341","158","164","178","184","193","170.05","171.07","148","200","170","170"
"2002","Lower Saxony","Rural Area","171.97","171","965","160","165","178","183","193","171.4","172.54","140","199","171","172"
"2002","Lower Saxony","Urban Area","171.45","170","1018","160","165","178","185","193","170.88","172.02","144","208","170","172"
"2002","Mecklenburg-Western Pomerania","Rural Area","170.63","170","446","160","164","177","183","193","169.83","171.43","150","197","169","172"
"2002","Mecklenburg-Western Pomerania","Urban Area","168.72","167","70","156","162","178","183","190","166.26","171.18","151","195","166","172"
"2002","North Rhine-Westphalia","Rural Area","172.25","172","118","160","165","179","185","197","170.45","174.05","150","197","170","175"
"2002","North Rhine-Westphalia","Urban Area","171.62","171","4753","160","165","178","184","193","171.36","171.88","148","205","171","172"
"2002","Rhineland-Palatinate,Saarland","Rural Area","171.16","171","338","160","164","178","183","192","170.17","172.15","150","204","170","173"
"2002","Rhineland-Palatinate,Saarland","Urban Area","170","170","1042","158","164","176","182","193","169.45","170.55","146","203","170","170"
"2002","Saxony","Rural Area","170.37","170","856","160","164","176","182","190","169.79","170.95","142","196","170","171"
"2002","Saxony","Urban Area","170.02","170","800","158","164","176","182","191","169.38","170.66","131","200","169","170"
"2002","Saxony-Anhalt","Rural Area","170.02","170","721","158","164","176","182","193","169.34","170.7","145","203","169","171"
"2002","Saxony-Anhalt","Urban Area","169.25","168","252","158","163","175","182","189","168.13","170.37","150","194","168","170"
"2002","Schleswig-Holstein","Rural Area","172.18","172","414","161","165","178","185","190","171.36","173","150","196","171","174"
"2002","Schleswig-Holstein","Urban Area","172.16","172","310","160","166","179","185","191","171.15","173.17","148","193","171","174"
"2002","Thuringia","Rural Area","170.81","170","680","160","164","178","182","193","170.14","171.48","148","198","170","172"
"2002","Thuringia","Urban Area","170.3","170","286","158","163","178","181","190","169.21","171.39","150","192","168","172"
"2003","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2003","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2003","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2003","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2003","Berlin","Rural Area","","","","","","","","","","","","","",""
"2003","Berlin","Urban Area","","","","","","","","","","","","","",""
"2003","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2003","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2003","Bremen","Rural Area","","","","","","","","","","","","","",""
"2003","Bremen","Urban Area","","","","","","","","","","","","","",""
"2003","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2003","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2003","Hesse","Rural Area","","","","","","","","","","","","","",""
"2003","Hesse","Urban Area","","","","","","","","","","","","","",""
"2003","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
