"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","college entrance qualification","(Married) couple without C.","173.54","174","1727","162","168","180","185","195","173.12","173.96","139","204","173","174"
"2002","college entrance qualification","1-pers.-HH","173.62","174","770","160","167","180","186","194","172.96","174.28","140","200","172","175"
"2002","college entrance qualification","Couple + C. GT 16 ","174.57","175","1002","163","168","180","187","198","174","175.14","150","202","174","175"
"2002","college entrance qualification","Couple + C. LE 16","174.68","174","1370","163","168","182","187","198","174.2","175.16","148","203","174","175"
"2002","college entrance qualification","Couple + C. LE and GT 16","175.18","176","402","162","168","182","187","197","174.27","176.09","145","205","173","176"
"2002","college entrance qualification","Single parent","172.62","172","191","163","167","178","183","195","171.4","173.84","150","197","170","172"
"2002","lower secondary degree","(Married) couple without C.","169.21","169","3387","158","164","175","180","188","168.93","169.49","142","198","168","169"
"2002","lower secondary degree","1-pers.-HH","167.6","166","1319","157","160","174","180","192","167.1","168.1","142","198","165","167"
"2002","lower secondary degree","Couple + C. GT 16 ","170.95","170","1165","160","165","176","183","192","170.45","171.45","148","198","170","172"
"2002","lower secondary degree","Couple + C. LE 16","173.22","174","1282","160","167","180","185","194","172.73","173.71","147","200","172","173"
"2002","lower secondary degree","Couple + C. LE and GT 16","172.63","172","478","160","166","180","185","193","171.8","173.46","149","195","170","173"
"2002","lower secondary degree","Single parent","168.59","168","380","159","163","173","180","190","167.72","169.46","142","200","167","169"
"2002","no degree/no degree yet","(Married) couple without C.","164.61","165","100","155","160","170","175","180","163.04","166.18","140","180","164","165"
"2002","no degree/no degree yet","1-pers.-HH","164.56","163.64","33","153","160","170","176","183","161.53","167.59","152","183","162","170"
"2002","no degree/no degree yet","Couple + C. GT 16 ","173.4","173","325","160","165","181","186","195","172.34","174.46","144","195","170","173"
"2002","no degree/no degree yet","Couple + C. LE 16","168.77","168","48","160","161","176","180","185","166.07","171.47","150","185","163","175"
"2002","no degree/no degree yet","Couple + C. LE and GT 16","172.05","172","275","160","165","178","183","193","170.98","173.12","146","196","170","174"
"2002","no degree/no degree yet","Single parent","172.55","171.91","79","160","165","180","185","195","170.52","174.58","158","195","169","175"
"2002","Other degree","(Married) couple without C.","167.11","167","388","156","162","172","178","187","166.27","167.95","147","196","166","169"
"2002","Other degree","1-pers.-HH","167.56","167","99","156","160","175","180","186","165.68","169.44","150","186","165","168"
"2002","Other degree","Couple + C. GT 16 ","168.47","168","237","158","163","174","180","190","167.31","169.63","140","190","166","170"
"2002","Other degree","Couple + C. LE 16","169.67","169","324","160","164","175","182","189","168.74","170.6","146","193","168","170"
"2002","Other degree","Couple + C. LE and GT 16","169.33","168.65","138","160","162","175","182","190","167.76","170.9","150","202","167","170"
"2002","Other degree","Single parent","166.25","165","70","158","161","170","175","192","164.35","168.15","150","192","163","167"
"2002","secondary school degree","(Married) couple without C.","171.06","170","1838","160","165","178","183","193","170.64","171.48","131","208","170","170"
"2002","secondary school degree","1-pers.-HH","170.7","170","786","158","164","178","183","193","170.04","171.36","145","198","170","171"
"2002","secondary school degree","Couple + C. GT 16 ","172.42","172","1210","160","166","179","184","193","171.9","172.94","137","203","171","172"
"2002","secondary school degree","Couple + C. LE 16","172.59","172","1703","160","166","179","185","192","172.17","173.01","148","203","171","172"
"2002","secondary school degree","Couple + C. LE and GT 16","172.18","172","614","161","166","178","184","193","171.45","172.91","150","205","170","172"
"2002","secondary school degree","Single parent","170.94","170","384","160","165","176","183","194","170.08","171.8","146","205","168","170"
"2003","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2003","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"2003","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"2003","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"2003","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"2003","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","Other degree","Single parent","","","","","","","","","","","","","",""
"2003","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"2003","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","secondary school degree","Single parent","","","","","","","","","","","","","",""
"2004","college entrance qualification","(Married) couple without C.","173.66","174","1732","162","168","180","185","196","173.23","174.09","123","203","173","174"
"2004","college entrance qualification","1-pers.-HH","173.56","173","774","160","167","180","186","195","172.9","174.22","140","200","172","174"
"2004","college entrance qualification","Couple + C. GT 16 ","174.42","175","1003","163","169","180","185","197","173.85","174.99","100","205","174","175"
"2004","college entrance qualification","Couple + C. LE 16","174.21","174","1230","162","167","180","187","194","173.69","174.73","148","203","174","175"
"2004","college entrance qualification","Couple + C. LE and GT 16","174.35","175","335","162","168","182","186","196","173.35","175.35","143","197","172","176"
