"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","(0) in school","66.5","65","128","54","61","70","80","91","64.79","68.21","46","102","63","65"
"2002","Employed","(1a) inadequately completed","75.58","76","122","60","66","84","92","98","73.44","77.72","44","108","72","78"
"2002","Employed","(1b) general elementary school","74.47","74","933","55","64","83","92","110","73.55","75.39","34","175","72","75"
"2002","Employed","(1c) basic vocational qualification","78.01","78","3552","60","69","86","96","120","77.52","78.5","41","160","77","78"
"2002","Employed","(2a) intermediate vocational","75.3","75","4107","57","64","85","95","120","74.82","75.78","42","180","73","75"
"2002","Employed","(2b) intermediate general qualification","69.82","69","425","53","60","78","90","105","68.53","71.11","40","150","65","69"
"2002","Employed","(2c_gen) general maturity certificate","71.27","69","558","53","60","81","92","110","70.05","72.49","45","130","67","70"
"2002","Employed","(2c_voc) vocational maturity certificate","74.31","73","1181","55","63","84","95","117","73.41","75.21","45","170","71","74"
"2002","Employed","(3a) lower tertiary education","76.91","76","1362","57","65","87","98","112","76.1","77.72","43","138","75","78"
"2002","Employed","(3b) higher tertiary education","75.98","75","2241","58","65","85","94","110","75.39","76.57","40","150","75","76"
"2002","Not Employed","(0) in school","66.09","65","479","51","58","73","83","110","65.02","67.16","36","120","62","65"
"2002","Not Employed","(1a) inadequately completed","71.66","70","173","53","61","80","87","115","69.67","73.65","45","125","70","75"
"2002","Not Employed","(1b) general elementary school","71.51","70","1332","55","63","80","90","110","70.75","72.27","35","160","70","71"
"2002","Not Employed","(1c) basic vocational qualification","75.03","74","3074","58","65","83","92","115","74.53","75.53","39","180","74","75"
"2002","Not Employed","(2a) intermediate vocational","71.72","70","1192","54","60","80","90","120","70.88","72.56","36","170","69","70"
"2002","Not Employed","(2b) intermediate general qualification","68.26","65","229","52","58","75","90","125","66.28","70.24","42","130","62","67"
"2002","Not Employed","(2c_gen) general maturity certificate","69.86","68","328","53","58","78","87","115","68.3","71.42","40","180","65","70"
"2002","Not Employed","(2c_voc) vocational maturity certificate","71.87","70","405","53","61","82","90","115","70.41","73.33","42","127","68","72"
"2002","Not Employed","(3a) lower tertiary education","75.73","75","435","59","66","84","92","110","74.43","77.03","42","130","74","76"
"2002","Not Employed","(3b) higher tertiary education","73.57","72.24","512","55","64","83","90","110","72.39","74.75","40","122","71","75"
"2003","Employed","(0) in school","","","","","","","","","","","","","",""
"2003","Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2003","Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2003","Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2003","Not Employed","(0) in school","","","","","","","","","","","","","",""
"2003","Not Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","Not Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","Not Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","Not Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","Not Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","Not Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","Not Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2003","Not Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2003","Not Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2004","Employed","(0) in school","64.78","64","93","50","55","75","80","93","62.29","67.27","45","105","60","65"
"2004","Employed","(1a) inadequately completed","78.56","78","112","60","71","87","95","107","76.01","81.11","48","114","72","80"
"2004","Employed","(1b) general elementary school","74.81","75","766","56","65","82","95","115","73.75","75.87","40","155","73","75"
