"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","16-34 y.","2","2","4990","1","1","2","3","4","1.98","2.02","1","5","2","2"
"1992","35-65 y.","2.64","3","6898","2","2","3","4","5","2.62","2.66","1","5","2","3"
"1992","66 and older","3.3","3","1476","2","3","4","5","5","3.25","3.35","1","5","3","3"
"1993","16-34 y.","","","","","","","","","","","","","",""
"1993","35-65 y.","","","","","","","","","","","","","",""
"1993","66 and older","","","","","","","","","","","","","",""
"1994","16-34 y.","2.2","2","4812","1","2","3","3","4","2.18","2.22","1","5","2","2"
"1994","35-65 y.","2.77","3","6592","2","2","3","4","5","2.75","2.79","1","5","3","3"
"1994","66 and older","3.32","3","1514","2","3","4","5","5","3.27","3.37","1","5","3","3"
"1995","16-34 y.","2.2","2","4946","1","2","3","3","4","2.18","2.22","1","5","2","2"
"1995","35-65 y.","2.77","3","6836","2","2","3","4","5","2.75","2.79","1","5","3","3"
"1995","66 and older","3.29","3","1547","2","3","4","5","5","3.24","3.34","1","5","3","3"
"1996","16-34 y.","2.2","2","4773","1","2","3","3","4","2.18","2.22","1","5","2","2"
"1996","35-65 y.","2.76","3","6751","2","2","3","4","5","2.74","2.78","1","5","3","3"
"1996","66 and older","3.29","3","1573","2","3","4","5","5","3.24","3.34","1","5","3","3"
"1997","16-34 y.","2.15","2","4630","1","2","3","3","4","2.13","2.17","1","5","2","2"
"1997","35-65 y.","2.76","3","6659","2","2","3","4","5","2.74","2.78","1","5","3","3"
"1997","66 and older","3.29","3","1607","2","3","4","5","5","3.25","3.33","1","5","3","3"
"1998","16-34 y.","2.11","2","4877","1","2","3","3","4","2.09","2.13","1","5","2","2"
"1998","35-65 y.","2.68","3","7532","2","2","3","4","5","2.66","2.7","1","5","3","3"
"1998","66 and older","3.26","3","1886","2","3","4","5","5","3.22","3.3","1","5","3","3"
"1999","16-34 y.","2.14","2","4612","1","2","3","3","4","2.12","2.16","1","5","2","2"
"1999","35-65 y.","2.7","3","7299","2","2","3","4","5","2.68","2.72","1","5","3","3"
"1999","66 and older","3.29","3","1827","2","3","4","5","5","3.25","3.33","1","5","3","3"
"2000","16-34 y.","2.08","2","7125","1","2","3","3","4","2.06","2.1","1","5","2","2"
"2000","35-65 y.","2.65","3","13462","2","2","3","4","5","2.63","2.67","1","5","3","3"
"2000","66 and older","3.23","3","3636","2","3","4","5","5","3.2","3.26","1","5","3","3"
"2001","16-34 y.","2.08","2","6288","1","2","3","3","4","2.06","2.1","1","5","2","2"
"2001","35-65 y.","2.66","3","12300","2","2","3","4","5","2.64","2.68","1","5","3","3"
"2001","66 and older","3.23","3","3444","2","3","4","4","5","3.2","3.26","1","5","3","3"
"2002","16-34 y.","2.13","2","6171","1","2","3","3","4","2.11","2.15","1","5","2","2"
"2002","35-65 y.","2.68","3","13312","2","2","3","4","5","2.66","2.7","1","5","3","3"
"2002","66 and older","3.24","3","3632","2","3","4","4","5","3.21","3.27","1","5","3","3"
"2003","16-34 y.","2.13","2","5871","1","2","3","3","4","2.11","2.15","1","5","2","2"
"2003","35-65 y.","2.67","3","12690","2","2","3","4","5","2.65","2.69","1","5","2","3"
"2003","66 and older","3.21","3","3697","2","3","4","5","5","3.18","3.24","1","5","3","3"
"2004","16-34 y.","2.11","2","5637","1","2","3","3","5","2.09","2.13","1","5","2","2"
"2004","35-65 y.","2.69","3","12255","2","2","3","4","5","2.67","2.71","1","5","2","3"
"2004","66 and older","3.27","3","3800","2","3","4","5","5","3.24","3.3","1","5","3","3"
"2005","16-34 y.","2.15","2","5327","1","2","3","3","4","2.13","2.17","1","5","2","2"
"2005","35-65 y.","2.72","3","11607","2","2","3","4","5","2.7","2.74","1","5","3","3"
"2005","66 and older","3.28","3","3808","2","3","4","5","5","3.25","3.31","1","5","3","3"
"2006","16-34 y.","2.16","2","5140","1","2","3","3","4","2.14","2.18","1","5","2","2"
"2006","35-65 y.","2.69","3","12422","2","2","3","4","5","2.67","2.71","1","5","3","3"
"2006","66 and older","3.24","3","4483","2","3","4","5","5","3.21","3.27","1","5","3","3"
"2007","16-34 y.","2.14","2","4716","1","2","3","3","4","2.12","2.16","1","5","2","2"
"2007","35-65 y.","2.71","3","11464","2","2","3","4","5","2.69","2.73","1","5","3","3"
"2007","66 and older","3.22","3","4392","2","3","4","4","5","3.19","3.25","1","5","3","3"
"2008","16-34 y.","2.14","2","4369","1","2","3","3","4","2.12","2.16","1","5","2","2"
"2008","35-65 y.","2.69","3","10682","2","2","3","4","5","2.67","2.71","1","5","3","3"
"2008","66 and older","3.19","3","4351","2","3","4","4","5","3.16","3.22","1","5","3","3"
"2009","16-34 y.","2.18","2","4000","1","2","3","3","4","2.15","2.21","1","5","2","2"
"2009","35-65 y.","2.71","3","9879","2","2","3","4","5","2.69","2.73","1","5","3","3"
"2009","66 and older","3.19","3","4204","2","3","4","4","5","3.16","3.22","1","5","3","3"
"2010","16-34 y.","2.16","2","6584","1","2","3","3","5","2.14","2.18","1","5","2","2"
"2010","35-65 y.","2.7","3","13394","2","2","3","4","5","2.68","2.72","1","5","2","2"
"2010","66 and older","3.18","3","4071","2","3","4","4","5","3.15","3.21","1","5","3","3"
"2011","16-34 y.","2.12","2","6819","1","2","3","3","4","2.1","2.14","1","5","2","2"
"2011","35-65 y.","2.68","3","16441","2","2","3","4","5","2.67","2.69","1","5","2","2"
"2011","66 and older","3.15","3","5202","2","2","4","4","5","3.12","3.18","1","5","3","3"
"2012","16-34 y.","2.14","2","6354","1","2","3","3","4","2.12","2.16","1","5","2","2"
"2012","35-65 y.","2.66","3","16109","2","2","3","4","5","2.65","2.67","1","5","2","2"
"2012","66 and older","3.09","3","5255","2","2","4","4","5","3.06","3.12","1","5","3","3"
"2013","16-34 y.","2.12","2","7880","1","2","3","3","5","2.1","2.14","1","5","2","2"
"2013","35-65 y.","2.7","3","17753","2","2","3","4","5","2.69","2.71","1","5","2","3"
"2013","66 and older","3.09","3","5106","2","2","4","4","5","3.06","3.12","1","5","3","3"
"2014","16-34 y.","2.15","2","6578","1","2","3","3","5","2.13","2.17","1","5","2","2"
"2014","35-65 y.","2.69","3","15604","2","2","3","4","5","2.68","2.7","1","5","2","3"
"2014","66 and older","3.1","3","5005","2","2","4","4","5","3.07","3.13","1","5","3","3"
"2015","16-34 y.","2.14","2","6720","1","2","3","3","5","2.12","2.16","1","5","2","2"
"2015","35-65 y.","2.69","3","15248","2","2","3","4","5","2.68","2.7","1","5","2","3"
"2015","66 and older","3.09","3","4954","2","2","4","4","5","3.06","3.12","1","5","3","3"
"2016","16-34 y.","2.15","2","8238","1","2","3","3","5","2.13","2.17","1","5","2","2"
"2016","35-65 y.","2.7","3","15815","2","2","3","4","5","2.68","2.72","1","5","2","3"
"2016","66 and older","3.09","3","4803","2","2","4","4","5","3.06","3.12","1","5","3","3"
"2017","16-34 y.","2.16","2","9480","1","2","3","3","4","2.14","2.18","1","5","2","2"
"2017","35-65 y.","2.69","3","17680","2","2","3","4","5","2.68","2.7","1","5","2","3"
"2017","66 and older","3.06","3","5077","2","2","4","4","5","3.03","3.09","1","5","3","3"
"2018","16-34 y.","2.15","2","8369","1","2","3","3","5","2.13","2.17","1","5","2","2"
"2018","35-65 y.","2.67","3","16622","2","2","3","4","5","2.66","2.68","1","5","2","2"
"2018","66 and older","3.03","3","5093","2","2","4","4","5","3","3.06","1","5","3","3"
"2019","16-34 y.","2.15","2","7348","1","2","3","3","5","2.13","2.17","1","5","2","2"
"2019","35-65 y.","2.65","3","17077","2","2","3","4","5","2.64","2.66","1","5","2","2"
"2019","66 and older","3.02","3","5280","2","2","4","4","5","2.99","3.05","1","5","3","3"
