"year","age_gr","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","16-34 y.","(0) in school","1.72","2","147","1","1","2","3","5","1.59","1.85","1","5","1","2"
"1992","16-34 y.","(1a) inadequately completed","2.11","2","212","1","1","3","3","5","1.98","2.24","1","5","2","2"
"1992","16-34 y.","(1b) general elementary school","2.1","2","653","1","1","3","3","5","2.03","2.17","1","5","2","2"
"1992","16-34 y.","(1c) basic vocational qualification","2.06","2","982","1","1","3","3","4","2.01","2.11","1","5","2","2"
"1992","16-34 y.","(2a) intermediate vocational","2.01","2","1336","1","1","2","3","4","1.97","2.05","1","5","2","2"
"1992","16-34 y.","(2b) intermediate general qualification","1.89","2","438","1","1","2","3","5","1.82","1.96","1","5","2","2"
"1992","16-34 y.","(2c_gen) general maturity certificate","1.95","2","326","1","1","2","3","4","1.86","2.04","1","5","2","2"
"1992","16-34 y.","(2c_voc) vocational maturity certificate","2.04","2","280","1","2","2","3","4","1.94","2.14","1","5","2","2"
"1992","16-34 y.","(3a) lower tertiary education","1.86","2","251","1","1","2","3","4","1.77","1.95","1","4","2","2"
"1992","16-34 y.","(3b) higher tertiary education","1.9","2","195","1","1","2","3","4","1.8","2","1","4","2","2"
"1992","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1992","35-65 y.","(1a) inadequately completed","2.94","3","488","2","2","4","4","5","2.85","3.03","1","5","3","3"
"1992","35-65 y.","(1b) general elementary school","2.93","3","1174","2","2","3","4","5","2.87","2.99","1","5","3","3"
"1992","35-65 y.","(1c) basic vocational qualification","2.67","3","2672","2","2","3","4","5","2.63","2.71","1","5","3","3"
"1992","35-65 y.","(2a) intermediate vocational","2.44","2","1071","1","2","3","4","5","2.39","2.49","1","5","2","2"
"1992","35-65 y.","(2b) intermediate general qualification","2.74","3","72","1","2","3","4","5","2.49","2.99","1","5","2","3"
"1992","35-65 y.","(2c_gen) general maturity certificate","2.33","2","49","1","2","3","4","5","2.03","2.63","1","5","2","3"
"1992","35-65 y.","(2c_voc) vocational maturity certificate","2.53","2","201","1","2","3","4","5","2.39","2.67","1","5","2","3"
"1992","35-65 y.","(3a) lower tertiary education","2.42","2","554","1","2","3","4","5","2.35","2.49","1","5","2","2"
"1992","35-65 y.","(3b) higher tertiary education","2.38","2","546","1","2","3","4","5","2.31","2.45","1","5","2","2"
"1992","66 and older","(0) in school","","","","","","","","","","","","","",""
