"year","e11102","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","(Married) couple without C.","52.33","50","150","30","30","70","80","100","48.78","55.88","20","100","50","50"
"1984","Employed","1-pers.-HH","53.94","50.51","50","30","40","60","80","100","48.24","59.64","20","100","50","60"
"1984","Employed","Couple + C. GT 16 ","54.31","50","85","30","40","70","80","100","49.72","58.9","10","100","50","60"
"1984","Employed","Couple + C. LE 16","45.48","50","86","20","30","60","70","90","41.65","49.31","10","90","40","50"
"1984","Employed","Couple + C. LE and GT 16","47.8","50","57","30","30","50","80","100","42.69","52.91","10","100","40","50"
"1984","Employed","Single parent","","","","","","","","","","","","","",""
"1984","Not Employed","(Married) couple without C.","67.8","70","305","40","50","80","100","100","65.33","70.27","10","100","60","70"
"1984","Not Employed","1-pers.-HH","68.93","70","134","50","60","80","90","100","65.89","71.97","15","100","60","75"
"1984","Not Employed","Couple + C. GT 16 ","69.3","70","89","40","50","80","100","100","64.56","74.04","20","100","60","80"
"1984","Not Employed","Couple + C. LE 16","63.36","61.58","32","40","50","80","90","100","56.03","70.69","20","100","50","80"
"1984","Not Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Not Employed","Single parent","65.25","60","30","40","50","80","100","100","56.82","73.68","15","100","50","70"
"1985","Employed","(Married) couple without C.","53.43","50","131","30","40","70","80","100","49.9","56.96","20","100","50","50"
"1985","Employed","1-pers.-HH","53.42","50","42","30","50","60","80","100","47.78","59.06","15","100","50","60"
"1985","Employed","Couple + C. GT 16 ","54.79","50","91","30","40","80","100","100","49.98","59.6","10","100","40","50"
"1985","Employed","Couple + C. LE 16","48.59","50","65","25","30","60","70","90","43.95","53.23","10","90","40","50"
"1985","Employed","Couple + C. LE and GT 16","47.54","50","41","30","30","60","70","80","41.91","53.17","20","90","30","50"
"1985","Employed","Single parent","","","","","","","","","","","","","",""
"1985","Not Employed","(Married) couple without C.","68.05","70","289","40","50","80","100","100","65.52","70.58","20","100","60","70"
"1985","Not Employed","1-pers.-HH","69.62","70","101","50","50","80","100","100","66.15","73.09","30","100","60","70"
"1985","Not Employed","Couple + C. GT 16 ","68.07","70","84","40","50","80","100","100","63.1","73.04","20","100","60","80"
"1985","Not Employed","Couple + C. LE 16","67.48","70","37","40","50","80","100","100","60.84","74.12","20","100","60","80"
"1985","Not Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1985","Not Employed","Single parent","","","","","","","","","","","","","",""
"1986","Employed","(Married) couple without C.","","","","","","","","","","","","","",""
"1986","Employed","1-pers.-HH","","","","","","","","","","","","","",""
"1986","Employed","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1986","Employed","Couple + C. LE 16","","","","","","","","","","","","","",""
"1986","Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1986","Employed","Single parent","","","","","","","","","","","","","",""
"1986","Not Employed","(Married) couple without C.","","","","","","","","","","","","","",""
"1986","Not Employed","1-pers.-HH","","","","","","","","","","","","","",""
"1986","Not Employed","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1986","Not Employed","Couple + C. LE 16","","","","","","","","","","","","","",""
"1986","Not Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1986","Not Employed","Single parent","","","","","","","","","","","","","",""
"1987","Employed","(Married) couple without C.","52.46","50","110","30","40","60","80","100","48.95","55.97","10","100","50","50"
"1987","Employed","1-pers.-HH","","","","","","","","","","","","","",""
"1987","Employed","Couple + C. GT 16 ","54.29","50","91","30","40","60","80","100","49.97","58.61","10","100","50","50"
"1987","Employed","Couple + C. LE 16","51.32","50","58","30","30","70","90","90","45.58","57.06","10","100","40","50"
"1987","Employed","Couple + C. LE and GT 16","55.02","50","44","30","40","70","90","100","48.96","61.08","20","100","50","60"
"1987","Employed","Single parent","","","","","","","","","","","","","",""
"1987","Not Employed","(Married) couple without C.","67.88","70","272","40","50","80","100","100","65.29","70.47","15","100","60","70"
"1987","Not Employed","1-pers.-HH","69.13","70","103","50","50","80","100","100","65.33","72.93","20","100","60","70"
"1987","Not Employed","Couple + C. GT 16 ","67.97","70","97","40","50","80","100","100","63.58","72.36","20","100","60","70"
"1987","Not Employed","Couple + C. LE 16","","","","","","","","","","","","","",""
"1987","Not Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1987","Not Employed","Single parent","","","","","","","","","","","","","",""
"1988","Employed","(Married) couple without C.","53.59","50","131","30","40","60","90","100","50","57.18","20","100","50","50"
"1988","Employed","1-pers.-HH","","","","","","","","","","","","","",""
"1988","Employed","Couple + C. GT 16 ","55.37","50","109","30","40","70","80","100","51.4","59.34","10","100","50","60"
