"year","age_gr","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Employed","1.35","1","285","1","1","1","2","9","1.24","1.46","1","10","1","1"
"1984","16-34 y.","Not Employed","1.4","1","166","1","1","1","2","10","1.24","1.56","1","10","1","1"
"1984","35-65 y.","Employed","1.34","1","452","1","1","1","2","7","1.24","1.44","0","14","1","1"
"1984","35-65 y.","Not Employed","1.36","1","209","1","1","1","2","7","1.24","1.48","1","8","1","1"
"1984","66 and older","Employed","","","","","","","","","","","","","",""
"1984","66 and older","Not Employed","1.36","1","167","1","1","1","2","6","1.19","1.53","0","12","1","1"
"1985","16-34 y.","Employed","1.46","1","280","1","1","1","2","10","1.28","1.64","0","14","1","1"
"1985","16-34 y.","Not Employed","1.23","1","166","1","1","1","2","3","1.12","1.34","1","8","1","1"
"1985","35-65 y.","Employed","1.56","1","348","1","1","1","2","12","1.31","1.81","1","30","1","1"
"1985","35-65 y.","Not Employed","1.6","1","219","1","1","1","2","16","1.32","1.88","1","17","1","1"
"1985","66 and older","Employed","","","","","","","","","","","","","",""
"1985","66 and older","Not Employed","1.32","1","161","1","1","1","2","5","1.21","1.43","1","6","1","1"
"1986","16-34 y.","Employed","1.52","1","268","1","1","1","2","6","1.14","1.9","1","51","1","1"
"1986","16-34 y.","Not Employed","1.62","1","177","1","1","1","3","9","1.29","1.95","0","21","1","1"
"1986","35-65 y.","Employed","1.58","1","379","1","1","1","2","10","1.33","1.83","1","31","1","1"
"1986","35-65 y.","Not Employed","1.88","1","204","1","1","2","2","16","1.39","2.37","1","48","1","1"
"1986","66 and older","Employed","","","","","","","","","","","","","",""
"1986","66 and older","Not Employed","1.46","1","165","1","1","1","2","5","0.99","1.93","1","40","1","1"
"1987","16-34 y.","Employed","1.53","1","300","1","1","1","2","11","1.27","1.79","0","35","1","1"
"1987","16-34 y.","Not Employed","1.37","1","155","1","1","1","2","13","1.1","1.64","1","14","1","1"
"1987","35-65 y.","Employed","1.6","1","340","1","1","1","2","15","1.37","1.83","0","28","1","1"
"1987","35-65 y.","Not Employed","1.68","1","176","1","1","1","2","14","1.26","2.1","1","30","1","1"
"1987","66 and older","Employed","","","","","","","","","","","","","",""
"1987","66 and older","Not Employed","1.47","1","184","1","1","2","2","7","1.23","1.71","1","20","1","1"
"1988","16-34 y.","Employed","1.54","1","285","1","1","1","2","14","1.31","1.77","0","16","1","1"
"1988","16-34 y.","Not Employed","1.52","1","139","1","1","1","2","14","1.27","1.77","1","14","1","1"
"1988","35-65 y.","Employed","1.56","1","336","1","1","1","2","14","1.31","1.81","1","28","1","1"
"1988","35-65 y.","Not Employed","1.53","1","187","1","1","1","2","6","1.14","1.92","1","35","1","1"
"1988","66 and older","Employed","","","","","","","","","","","","","",""
"1988","66 and older","Not Employed","1.64","1","168","1","1","1","3","6","1.17","2.11","1","30","1","1"
"1989","16-34 y.","Employed","1.28","1","292","1","1","1","2","6","1.2","1.36","1","7","1","1"
"1989","16-34 y.","Not Employed","1.34","1","133","1","1","1","2","8","1.16","1.52","1","8","1","1"
"1989","35-65 y.","Employed","1.73","1","298","1","1","1","2","21","1.42","2.04","1","35","1","1"
"1989","35-65 y.","Not Employed","1.81","1","165","1","1","2","2","25","1.45","2.17","1","25","1","1"
"1989","66 and older","Employed","","","","","","","","","","","","","",""
"1989","66 and older","Not Employed","1.67","1","155","1","1","1","2","6","0.43","2.91","1","90","1","1"
"1990","16-34 y.","Employed","","","","","","","","","","","","","",""
"1990","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1990","35-65 y.","Employed","","","","","","","","","","","","","",""
"1990","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1990","66 and older","Employed","","","","","","","","","","","","","",""
"1990","66 and older","Not Employed","","","","","","","","","","","","","",""
"1991","16-34 y.","Employed","1.81","1","294","1","1","1","2","20","1.52","2.1","1","27","1","1"
"1991","16-34 y.","Not Employed","1.24","1","137","1","1","1","2","3","1.12","1.36","1","6","1","1"
"1991","35-65 y.","Employed","1.49","1","285","1","1","1","2","12","1.31","1.67","1","20","1","1"
"1991","35-65 y.","Not Employed","1.61","1","176","1","1","2","2","8","1.25","1.97","1","30","1","1"
"1991","66 and older","Employed","","","","","","","","","","","","","",""
"1991","66 and older","Not Employed","1.58","1","189","1","1","2","3","10","1.38","1.78","1","14","1","1"
"1992","16-34 y.","Employed","1.26","1","392","1","1","1","2","4","1.17","1.35","1","12","1","1"
"1992","16-34 y.","Not Employed","1.43","1","141","1","1","1","3","10","1.25","1.61","1","10","1","1"
"1992","35-65 y.","Employed","1.51","1","400","1","1","1","2","10","1.14","1.88","1","65","1","1"
"1992","35-65 y.","Not Employed","1.8","1","185","1","1","2","3","10","1.45","2.15","1","21","1","1"
"1992","66 and older","Employed","","","","","","","","","","","","","",""
"1992","66 and older","Not Employed","1.45","1","254","1","1","2","2","7","1.25","1.65","1","21","1","1"
"1993","16-34 y.","Employed","","","","","","","","","","","","","",""
"1993","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1993","35-65 y.","Employed","","","","","","","","","","","","","",""
"1993","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1993","66 and older","Employed","","","","","","","","","","","","","",""
"1993","66 and older","Not Employed","","","","","","","","","","","","","",""
"1994","16-34 y.","Employed","1.32","1","332","1","1","1","2","6","1.17","1.47","1","21","1","1"
"1994","16-34 y.","Not Employed","1.26","1","144","1","1","1","2","6","1.06","1.46","1","14","1","1"
"1994","35-65 y.","Employed","1.35","1","402","1","1","1","2","7","1.24","1.46","1","16","1","1"
"1994","35-65 y.","Not Employed","1.63","1","228","1","1","1","2","13","1.16","2.1","1","50","1","1"
"1994","66 and older","Employed","","","","","","","","","","","","","",""
"1994","66 and older","Not Employed","1.56","1","292","1","1","2","3","8","1.37","1.75","1","15","1","1"
"1995","16-34 y.","Employed","1.29","1","333","1","1","1","2","6","1.15","1.43","0","12","1","1"
"1995","16-34 y.","Not Employed","1.41","1","175","1","1","1","3","6","1.27","1.55","1","8","1","1"
"1995","35-65 y.","Employed","1.33","1","443","1","1","1","2","6","1.21","1.45","0","14","1","1"
"1995","35-65 y.","Not Employed","1.78","1","251","1","1","2","3","20","1.42","2.14","0","35","1","1"
"1995","66 and older","Employed","","","","","","","","","","","","","",""
"1995","66 and older","Not Employed","1.63","1","274","1","1","2","3","6","1.44","1.82","0","18","1","1"
"1996","16-34 y.","Employed","1.31","1","336","1","1","1","2","6","1.2","1.42","1","10","1","1"
"1996","16-34 y.","Not Employed","1.35","1","144","1","1","1","2","5","1.21","1.49","1","6","1","1"
"1996","35-65 y.","Employed","1.46","1","446","1","1","1","2","9","1.33","1.59","1","17","1","1"
"1996","35-65 y.","Not Employed","1.86","1","280","1","1","2","2","15","1.55","2.17","1","35","1","1"
"1996","66 and older","Employed","","","","","","","","","","","","","",""
"1996","66 and older","Not Employed","1.88","1","299","1","1","2","2","15","1.56","2.2","1","30","1","1"
"1997","16-34 y.","Employed","1.17","1","313","1","1","1","2","5","1.1","1.24","1","7","1","1"
"1997","16-34 y.","Not Employed","1.31","1","171","1","1","1","2","7","1.02","1.6","1","21","1","1"
"1997","35-65 y.","Employed","1.54","1","426","1","1","1","2","14","1.36","1.72","1","30","1","1"
"1997","35-65 y.","Not Employed","2.16","1","279","1","1","2","3","30","1.8","2.52","1","36","1","1"
"1997","66 and older","Employed","","","","","","","","","","","","","",""
"1997","66 and older","Not Employed","1.69","1","287","1","1","2","2","12","1.44","1.94","1","30","1","1"
"1998","16-34 y.","Employed","1.29","1","341","1","1","1","2","5","1.2","1.38","1","9","1","1"
"1998","16-34 y.","Not Employed","1.29","1","178","1","1","1","2","5","1.12","1.46","1","12","1","1"
"1998","35-65 y.","Employed","1.44","1","458","1","1","1","2","14","1.34","1.54","1","16","1","1"
"1998","35-65 y.","Not Employed","1.87","1","340","1","1","2","2","8","1.46","2.28","1","64","1","1"
"1998","66 and older","Employed","","","","","","","","","","","","","",""
"1998","66 and older","Not Employed","1.54","1","346","1","1","2","3","6","1.42","1.66","1","14","1","1"
"1999","16-34 y.","Employed","1.41","1","277","1","1","1","2","7","1.28","1.54","1","13","1","1"
"1999","16-34 y.","Not Employed","1.34","1","182","1","1","1","2","9","1.17","1.51","1","10","1","1"
"1999","35-65 y.","Employed","1.29","1","520","1","1","1","2","5","1.22","1.36","1","11","1","1"
"1999","35-65 y.","Not Employed","1.68","1","298","1","1","2","3","7","1.43","1.93","1","30","1","1"
"1999","66 and older","Employed","","","","","","","","","","","","","",""
"1999","66 and older","Not Employed","1.81","1","347","1","1","2","3","12","1.63","1.99","1","14","1","1"
"2000","16-34 y.","Employed","1.35","1","512","1","1","1","2","8","1.26","1.44","1","10","1","1"
"2000","16-34 y.","Not Employed","1.36","1","225","1","1","1","2","6","1.19","1.53","1","13","1","1"
"2000","35-65 y.","Employed","1.59","1","861","1","1","1","2","12","1.48","1.7","1","22","1","1"
"2000","35-65 y.","Not Employed","1.76","1","523","1","1","2","3","9","1.52","2","1","45","1","1"
"2000","66 and older","Employed","","","","","","","","","","","","","",""
"2000","66 and older","Not Employed","1.76","1","667","1","1","2","3","14","1.61","1.91","1","24","1","1"
"2001","16-34 y.","Employed","1.26","1","432","1","1","1","2","3","1.2","1.32","1","8","1","1"
"2001","16-34 y.","Not Employed","1.24","1","197","1","1","1","2","5","1.14","1.34","1","5","1","1"
"2001","35-65 y.","Employed","1.29","1","816","1","1","1","2","4","1.23","1.35","1","12","1","1"
"2001","35-65 y.","Not Employed","1.52","1","493","1","1","2","3","6","1.42","1.62","1","12","1","1"
"2001","66 and older","Employed","","","","","","","","","","","","","",""
"2001","66 and older","Not Employed","1.45","1","643","1","1","2","2","5","1.38","1.52","1","10","1","1"
