"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","college entrance qualification","1.52","1","44","1","1","1","2","10","1.08","1.96","0","10","1","1"
"1984","Full Time","lower secondary degree","1.3","1","231","1","1","1","2","7","1.17","1.43","1","9","1","1"
"1984","Full Time","no degree/no degree yet","1.28","1","70","1","1","1","2","3","1.14","1.42","1","4","1","1"
"1984","Full Time","Other degree","1.12","1","100","1","1","1","1","3","1.03","1.21","1","3","1","1"
"1984","Full Time","secondary school degree","1.18","1","76","1","1","1","2","3","1.07","1.29","1","3","1","1"
"1984","Not Working","college entrance qualification","1.34","1","30","1","1","1","2","5","1.02","1.66","1","5","1","1"
"1984","Not Working","lower secondary degree","1.38","1","321","1","1","1","2","7","1.25","1.51","0","12","1","1"
"1984","Not Working","no degree/no degree yet","1.32","1","65","1","1","1","2","4","1.12","1.52","1","5","1","1"
"1984","Not Working","Other degree","1.26","1","48","1","1","1","2","4","1.09","1.43","1","4","1","1"
"1984","Not Working","secondary school degree","1.36","1","72","1","1","1","2","6","1.14","1.58","1","6","1","1"
"1984","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1984","Part Time","lower secondary degree","1.56","1","120","1","1","1","3","9","1.26","1.86","1","14","1","1"
"1984","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1984","Part Time","Other degree","","","","","","","","","","","","","",""
"1984","Part Time","secondary school degree","1.37","1","41","1","1","1","2","10","0.9","1.84","1","10","1","1"
"1985","Full Time","college entrance qualification","1.15","1","36","1","1","1","2","2","1.03","1.27","1","2","1","1"
"1985","Full Time","lower secondary degree","1.54","1","167","1","1","1","2","14","1.25","1.83","1","16","1","1"
"1985","Full Time","no degree/no degree yet","1.97","1","50","1","1","2","6","14","1.41","2.53","1","14","1","1"
"1985","Full Time","Other degree","1.41","1","81","1","1","1","2","15","0.62","2.2","1","30","1","1"
"1985","Full Time","secondary school degree","1.55","1","79","1","1","1","2","14","1.16","1.94","1","14","1","1"
"1985","Not Working","college entrance qualification","1.51","1","49","1","1","1","2","16","0.89","2.13","1","16","1","1"
"1985","Not Working","lower secondary degree","1.42","1","310","1","1","1","2","10","1.24","1.6","1","17","1","1"
"1985","Not Working","no degree/no degree yet","1.18","1","61","1","1","1","1","8","0.94","1.42","1","8","1","1"
"1985","Not Working","Other degree","1.16","1","41","1","1","1","2","3","1.03","1.29","1","3","1","1"
"1985","Not Working","secondary school degree","1.37","1","76","1","1","1","2","6","1.18","1.56","1","6","1","1"
"1985","Part Time","college entrance qualification","1.31","1","35","1","1","1","2","4","1.05","1.57","1","4","1","1"
"1985","Part Time","lower secondary degree","1.78","1","105","1","1","1","3","12","1.36","2.2","0","14","1","1"
"1985","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1985","Part Time","Other degree","","","","","","","","","","","","","",""
"1985","Part Time","secondary school degree","1.14","1","39","1","1","1","2","2","1.04","1.24","1","2","1","1"
"1986","Full Time","college entrance qualification","1.09","1","39","1","1","1","1","2","0.99","1.19","1","2","1","1"
"1986","Full Time","lower secondary degree","1.86","1","177","1","1","1","2","31","1.19","2.53","1","51","1","1"
"1986","Full Time","no degree/no degree yet","1.75","1","42","1","1","1","2","14","1.11","2.39","1","14","1","1"
"1986","Full Time","Other degree","1.28","1","82","1","1","1","2","9","1.06","1.5","1","9","1","1"
"1986","Full Time","secondary school degree","1.29","1","70","1","1","1","2","7","1.1","1.48","1","7","1","1"
"1986","Not Working","college entrance qualification","1.16","1","49","1","1","1","2","3","1.02","1.3","0","3","1","1"
"1986","Not Working","lower secondary degree","1.83","1","285","1","1","1","3","16","1.36","2.3","1","48","1","1"
"1986","Not Working","no degree/no degree yet","1.41","1","66","1","1","1","1","9","1.05","1.77","1","9","1","1"
"1986","Not Working","Other degree","1.16","1","50","1","1","1","2","3","1.04","1.28","1","3","1","1"
"1986","Not Working","secondary school degree","1.31","1","87","1","1","1","2","5","0.95","1.67","0","15","1","1"
"1986","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1986","Part Time","lower secondary degree","1.31","1","114","1","1","1","2","4","1.12","1.5","1","10","1","1"
"1986","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1986","Part Time","Other degree","","","","","","","","","","","","","",""
"1986","Part Time","secondary school degree","1.72","1","40","1","1","1","3","10","1.19","2.25","1","10","1","1"
"1987","Full Time","college entrance qualification","1.19","1","38","1","1","1","2","3","1.04","1.34","1","3","1","1"
"1987","Full Time","lower secondary degree","1.77","1","189","1","1","1","2","16","1.34","2.2","1","35","1","1"
"1987","Full Time","no degree/no degree yet","1.51","1","44","1","1","1","1","14","0.91","2.11","0","14","1","1"
"1987","Full Time","Other degree","1.14","1","64","1","1","1","2","2","0.94","1.34","1","7","1","1"
"1987","Full Time","secondary school degree","1.3","1","73","1","1","1","2","7","0.95","1.65","0","11","1","1"
"1987","Not Working","college entrance qualification","1.43","1","48","1","1","2","2","8","1.09","1.77","1","8","1","1"
"1987","Not Working","lower secondary degree","1.51","1","302","1","1","1","2","13","1.24","1.78","1","30","1","1"
"1987","Not Working","no degree/no degree yet","2.16","1","53","1","1","1","3","14","1.53","2.79","1","14","1","1"
"1987","Not Working","Other degree","1.66","1","34","1","1","1","3","13","0.93","2.39","1","13","1","1"
"1987","Not Working","secondary school degree","1.4","1","67","1","1","1","3","6","1.2","1.6","1","6","1","1"
"1987","Part Time","college entrance qualification","1.26","1","30","1","1","1","2","4","1.03","1.49","1","4","1","1"
"1987","Part Time","lower secondary degree","1.76","1","109","1","1","2","2","28","1.23","2.29","0","28","1","1"
"1987","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1987","Part Time","Other degree","","","","","","","","","","","","","",""
"1987","Part Time","secondary school degree","1.64","1","50","1","1","1","2","14","1.08","2.2","1","14","1","1"
"1988","Full Time","college entrance qualification","1.13","1","33","1","1","1","1","3","0.97","1.29","1","3","1","1"
"1988","Full Time","lower secondary degree","1.56","1","192","1","1","1","2","13","1.19","1.93","1","28","1","1"
"1988","Full Time","no degree/no degree yet","1.32","1","35","1","1","2","2","3","1.12","1.52","1","3","1","1"
"1988","Full Time","Other degree","1.99","1","60","1","1","1","4","14","1.35","2.63","1","14","1","1"
"1988","Full Time","secondary school degree","1.49","1","66","1","1","1","2","10","1.08","1.9","1","10","1","1"
"1988","Not Working","college entrance qualification","1.53","1","41","1","1","2","3","4","1.3","1.76","1","4","1","1"
"1988","Not Working","lower secondary degree","1.62","1","287","1","1","1","2","6","1.26","1.98","1","35","1","1"
"1988","Not Working","no degree/no degree yet","1.39","1","52","1","1","1","3","10","0.99","1.79","1","10","1","1"
"1988","Not Working","Other degree","1.89","1","40","1","1","2","5","6","1.48","2.3","1","6","1","1"
"1988","Not Working","secondary school degree","1.49","1","69","1","1","1","2","14","1.02","1.96","1","14","1","1"
"1988","Part Time","college entrance qualification","1.21","1","31","1","1","1","2","3","1.03","1.39","1","3","1","1"
"1988","Part Time","lower secondary degree","1.82","1","110","1","1","1","2","16","1.31","2.33","1","16","1","1"
"1988","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1988","Part Time","Other degree","","","","","","","","","","","","","",""
"1988","Part Time","secondary school degree","1.65","1","49","1","1","2","2","15","0.98","2.32","0","15","1","1"
"1989","Full Time","college entrance qualification","1.3","1","32","1","1","1","2","4","1.06","1.54","1","4","1","1"
"1989","Full Time","lower secondary degree","1.34","1","158","1","1","1","2","5","1.08","1.6","1","21","1","1"
"1989","Full Time","no degree/no degree yet","1.19","1","32","1","1","1","2","3","0.99","1.39","1","3","1","1"
"1989","Full Time","Other degree","1.16","1","47","1","1","1","2","3","1.04","1.28","1","3","1","1"
"1989","Full Time","secondary school degree","1.39","1","71","1","1","1","2","7","1.15","1.63","1","7","1","1"
"1989","Not Working","college entrance qualification","1.96","1","30","1","1","1","2","6","-4.1","8.02","1","90","1","1"
"1989","Not Working","lower secondary degree","1.59","1","265","1","1","1","2","8","1.28","1.9","1","40","1","1"
"1989","Not Working","no degree/no degree yet","1.28","1","44","1","1","1","2","3","1.07","1.49","1","4","1","1"
"1989","Not Working","Other degree","1.32","1","35","1","1","2","2","3","1.14","1.5","1","3","1","1"
"1989","Not Working","secondary school degree","1.93","1","68","1","1","1","2","25","1.08","2.78","1","25","1","1"
"1989","Part Time","college entrance qualification","2.14","1","34","1","1","1","2","21","0.95","3.33","1","21","1","1"
"1989","Part Time","lower secondary degree","1.8","1","120","1","1","1","3","14","1.18","2.42","1","35","1","1"
"1989","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1989","Part Time","Other degree","","","","","","","","","","","","","",""
