"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Married) couple without C.","Rural Area","1.35","1","48","1","1","1","2","10","0.96","1.74","1","10","1","1"
"1985","(Married) couple without C.","Urban Area","1.42","1","195","1","1","1","2","6","1.25","1.59","1","14","1","1"
"1985","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1985","1-pers.-HH","Urban Area","1.32","1","109","1","1","2","2","6","1.2","1.44","1","6","1","1"
"1985","Couple + C. GT 16 ","Rural Area","1.26","1","34","1","1","1","2","8","0.83","1.69","1","8","1","1"
"1985","Couple + C. GT 16 ","Urban Area","1.29","1","139","1","1","1","2","5","1.05","1.53","1","17","1","1"
"1985","Couple + C. LE 16","Rural Area","1.76","1","80","1","1","1","3","16","1.28","2.24","1","16","1","1"
"1985","Couple + C. LE 16","Urban Area","1.65","1","276","1","1","1","2","14","1.42","1.88","1","16","1","1"
"1985","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","Urban Area","1.7","1","110","1","1","1","3","14","1.07","2.33","1","30","1","1"
"1985","Single parent","Rural Area","","","","","","","","","","","","","",""
"1985","Single parent","Urban Area","1.08","1","36","1","1","1","1","2","0.97","1.19","1","2","1","1"
"1986","(Married) couple without C.","Rural Area","2.73","1","44","1","1","2","2","48","0.58","4.88","1","48","1","1"
"1986","(Married) couple without C.","Urban Area","1.67","1","234","1","1","2","2","10","1.32","2.02","1","40","1","1"
"1986","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1986","1-pers.-HH","Urban Area","1.34","1","115","1","1","1","2","5","1.15","1.53","0","10","1","1"
"1986","Couple + C. GT 16 ","Rural Area","1.1","1","38","1","1","1","1","2","0.67","1.53","1","9","1","1"
"1986","Couple + C. GT 16 ","Urban Area","1.62","1","159","1","1","1","2","9","1.22","2.02","1","31","1","1"
"1986","Couple + C. LE 16","Rural Area","2.63","1","52","1","1","2","2","51","0.68","4.58","1","51","1","1"
"1986","Couple + C. LE 16","Urban Area","1.57","1","251","1","1","1","2","10","1.25","1.89","0","30","1","1"
"1986","Couple + C. LE and GT 16","Rural Area","1.4","1","37","1","1","1","2","10","0.89","1.91","1","10","1","1"
"1986","Couple + C. LE and GT 16","Urban Area","1.43","1","99","1","1","1","3","7","1.1","1.76","1","15","1","1"
"1986","Single parent","Rural Area","","","","","","","","","","","","","",""
"1986","Single parent","Urban Area","1.47","1","41","1","1","1","2","9","0.97","1.97","1","9","1","1"
"1987","(Married) couple without C.","Rural Area","2.08","1","50","1","1","1","6","20","1.21","2.95","1","20","1","1"
"1987","(Married) couple without C.","Urban Area","1.55","1","216","1","1","2","2","7","1.36","1.74","1","12","1","1"
"1987","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1987","1-pers.-HH","Urban Area","1.33","1","119","1","1","1","2","4","1.09","1.57","1","14","1","1"
"1987","Couple + C. GT 16 ","Rural Area","2.24","1","38","1","1","1","2","35","0.43","4.05","1","35","1","1"
"1987","Couple + C. GT 16 ","Urban Area","1.36","1","140","1","1","1","2","13","1.14","1.58","1","13","1","1"
"1987","Couple + C. LE 16","Rural Area","1.2","1","62","1","1","1","2","4","1.02","1.38","0","5","1","1"
"1987","Couple + C. LE 16","Urban Area","1.54","1","248","1","1","1","2","14","1.3","1.78","1","16","1","1"
"1987","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","Urban Area","1.2","1","87","1","1","1","2","3","1.08","1.32","1","5","1","1"
"1987","Single parent","Rural Area","","","","","","","","","","","","","",""
"1987","Single parent","Urban Area","1.25","1","44","1","1","1","2","4","1.05","1.45","0","4","1","1"
"1988","(Married) couple without C.","Rural Area","2.35","1","37","1","1","2","3","30","0.75","3.95","1","30","1","1"
"1988","(Married) couple without C.","Urban Area","1.53","1","244","1","1","1","2","10","1.27","1.79","1","28","1","1"
"1988","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1988","1-pers.-HH","Urban Area","1.31","1","108","1","1","1","2","6","1.17","1.45","1","6","1","1"
"1988","Couple + C. GT 16 ","Rural Area","1.27","1","38","1","1","1","3","3","1.03","1.51","1","4","1","1"
"1988","Couple + C. GT 16 ","Urban Area","1.9","1","168","1","1","1","2","28","1.33","2.47","1","35","1","1"
"1988","Couple + C. LE 16","Rural Area","1.73","1","57","1","1","1","2","16","1.02","2.44","1","16","1","1"
"1988","Couple + C. LE 16","Urban Area","1.51","1","220","1","1","1","2","14","1.26","1.76","0","15","1","1"
"1988","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1988","Couple + C. LE and GT 16","Urban Area","1.17","1","73","1","1","1","1","5","0.82","1.52","1","13","1","1"
"1988","Single parent","Rural Area","","","","","","","","","","","","","",""
"1988","Single parent","Urban Area","1.45","1","48","1","1","2","2","5","1.15","1.75","1","6","1","1"
"1989","(Married) couple without C.","Rural Area","2.29","1","54","1","1","2","4","21","1.37","3.21","1","21","1","2"
"1989","(Married) couple without C.","Urban Area","1.3","1","196","1","1","1","2","4","1.17","1.43","1","10","1","1"
"1989","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1989","1-pers.-HH","Urban Area","1.73","1","91","1","1","1","2","21","1.05","2.41","1","25","1","1"
"1989","Couple + C. GT 16 ","Rural Area","2.39","1","37","1","1","2","2","7","-2.48","7.26","1","90","1","1"
"1989","Couple + C. GT 16 ","Urban Area","2.37","1","146","1","1","2","3","40","1.64","3.1","1","40","1","1"
"1989","Couple + C. LE 16","Rural Area","1.24","1","65","1","1","1","2","6","1.01","1.47","1","6","1","1"
"1989","Couple + C. LE 16","Urban Area","1.22","1","225","1","1","1","2","3","1.14","1.3","1","6","1","1"
"1989","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1989","Couple + C. LE and GT 16","Urban Area","1.19","1","68","1","1","1","2","3","1.03","1.35","1","5","1","1"
"1989","Single parent","Rural Area","","","","","","","","","","","","","",""
