"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Rural Area","17.23","14","142","5","8","21","35","67","14.8","19.66","1","100","11","14"
"1985","Employed","Urban Area","17.45","11","528","3","7","21","34","100","15.75","19.15","0","220","10","14"
"1985","Not Employed","Rural Area","22.62","15","134","6","10","28","52","100","18.02","27.22","3","180","14","18"
"1985","Not Employed","Urban Area","26.75","18","445","5","10","30","56","180","23.85","29.65","1","300","14","16"
"1986","Employed","Rural Area","15.04","10","147","4","7","20","32","55","12.96","17.12","1","60","10","14"
"1986","Employed","Urban Area","20.84","13","537","4","7","23","50","120","18.8","22.88","0","247","11","14"
"1986","Not Employed","Rural Area","19.98","15.98","113","5","10","24","42","70","15.29","24.67","1","230","14","20"
"1986","Not Employed","Urban Area","25.75","16.94","483","5","9","34","56","180","23.2","28.3","0","280","14","16"
"1987","Employed","Rural Area","17.82","13","140","3","7","21","35","100","14.75","20.89","0","141","10","14"
"1987","Employed","Urban Area","19.01","11.75","542","4","6","21","40","94","17.2","20.82","0","222","11","14"
"1987","Not Employed","Rural Area","20.89","18.59","127","5","8","29","40","90","18.24","23.54","1","90","11","20"
"1987","Not Employed","Urban Area","27.11","16.55","427","5","8","30","63","180","24.2","30.02","1","310","14","15"
"1988","Employed","Rural Area","15.83","12","125","4","7","21","34","60","13.56","18.1","1","80","10","14"
"1988","Employed","Urban Area","18.02","10","534","4","6","20","38","150","16.08","19.96","1","271","10","12"
"1988","Not Employed","Rural Area","27.88","17","103","5","10","30","60","185","20.53","35.23","1","261","12","20"
"1988","Not Employed","Urban Area","29.65","18","431","5","10","36","70","180","26.72","32.58","1","300","14","17"
"1989","Employed","Rural Area","16.51","10","133","4","6","18","35","128","13.51","19.51","1","128","9","14"
"1989","Employed","Urban Area","18.35","12","511","4","6","21","37","100","16.46","20.24","1","211","11","14"
"1989","Not Employed","Rural Area","28.67","17.9","108","5","10","32","60","210","22.31","35.03","1","210","14","21"
"1989","Not Employed","Urban Area","25.52","16.95","390","5","10","30","60","107","23.01","28.03","1","200","14","16"
"1990","Employed","Rural Area","","","","","","","","","","","","","",""
"1990","Employed","Urban Area","","","","","","","","","","","","","",""
"1990","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1990","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1991","Employed","Rural Area","14.73","9.66","124","4","6","20","28","64","10.87","18.59","1","180","8","13"
"1991","Employed","Urban Area","16.01","10","510","4","6","20","35","78","14.66","17.36","1","150","10","10"
"1991","Not Employed","Rural Area","23.69","14","124","5","8","35","47","90","19.41","27.97","1","210","13","20"
