"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","general elemantary","East Germany","","","","","","","","","","","","","",""
"1999","general elemantary","West Germany","42.72","31.89","71","9","15","60","86","205","33.46","51.98","3","205","19","42"
"1999","higher education","East Germany","32.14","13.17","38","2","10","33","61","215","17.44","46.84","1","215","12","32"
"1999","higher education","West Germany","52.76","36","110","9","20","77","111","203","43.92","61.6","1","205","28","41"
"1999","higher vocational","East Germany","","","","","","","","","","","","","",""
"1999","higher vocational","West Germany","49.72","42.09","50","10","20","57","102","215","38.74","60.7","6","215","20","45"
"1999","in school","East Germany","","","","","","","","","","","","","",""
"1999","in school","West Germany","","","","","","","","","","","","","",""
"1999","inadequately","East Germany","","","","","","","","","","","","","",""
"1999","inadequately","West Germany","","","","","","","","","","","","","",""
"1999","middle vocational","East Germany","21.9","15","56","8","9","22","51","89","14.15","29.65","1","179","11","18"
"1999","middle vocational","West Germany","60.52","46","355","10","20","77","102","297","54.29","66.75","1","614","31","41"
"1999","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1999","vocational + Abi","West Germany","48.34","33.49","45","13","26","56","92","281","33.7","62.98","1","281","20","43"
"2000","general elemantary","East Germany","","","","","","","","","","","","","",""
"2000","general elemantary","West Germany","50.12","31.38","83","5","13","77","107","268","39.44","60.8","1","268","18","36"
"2000","higher education","East Germany","20.78","12","49","2","7","24","55","128","13.91","27.65","1","128","10","15"
"2000","higher education","West Germany","62.35","43","301","9","23","78","133","307","54.96","69.74","1","501","40","51"
"2000","higher vocational","East Germany","","","","","","","","","","","","","",""
"2000","higher vocational","West Germany","67.66","44.87","126","9","18","70","168","511","55.45","79.87","1","511","30","51"
"2000","in school","East Germany","","","","","","","","","","","","","",""
"2000","in school","West Germany","","","","","","","","","","","","","",""
"2000","inadequately","East Germany","","","","","","","","","","","","","",""
"2000","inadequately","West Germany","","","","","","","","","","","","","",""
"2000","middle vocational","East Germany","22.01","13","81","5","7","22","56","132","16.12","27.9","1","132","11","15"
"2000","middle vocational","West Germany","54.52","41","732","10","17","77","117","258","50.89","58.15","1","501","32","41"
"2000","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2000","vocational + Abi","West Germany","56.34","41.33","100","8","20","75","128","256","45.04","67.64","1","358","28","49"
"2001","general elemantary","East Germany","","","","","","","","","","","","","",""
"2001","general elemantary","West Germany","47.46","30.8","61","3","10","66","104","271","33.84","61.08","1","271","15","39"
"2001","higher education","East Germany","17.64","11","54","1","5","20","51","170","10","25.28","1","170","10","15"
"2001","higher education","West Germany","54.78","41","268","9","20","72","118","222","47.96","61.6","1","463","34","43"
"2001","higher vocational","East Germany","","","","","","","","","","","","","",""
"2001","higher vocational","West Germany","52.76","44.38","125","10","20","63","92","343","45.29","60.23","1","343","31","46"
"2001","in school","East Germany","","","","","","","","","","","","","",""
"2001","in school","West Germany","","","","","","","","","","","","","",""
"2001","inadequately","East Germany","","","","","","","","","","","","","",""
"2001","inadequately","West Germany","","","","","","","","","","","","","",""
"2001","middle vocational","East Germany","15.85","13","87","2","7","21","33","66","12.87","18.83","1","66","10","15"
"2001","middle vocational","West Germany","51.08","41","679","8","15","71","102","205","47.62","54.54","1","460","31","38"
"2001","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2001","vocational + Abi","West Germany","52.43","42.39","105","10","20","75","102","179","41.96","62.9","1","460","26","43"
"2002","general elemantary","East Germany","","","","","","","","","","","","","",""
"2002","general elemantary","West Germany","62","49.7","80","8","15","100","171","200","49.92","74.08","2","250","20","50"
"2002","higher education","East Germany","17.73","12","75","2","6","20","40","75","12.55","22.91","1","100","11","20"
"2002","higher education","West Germany","63.95","50","391","12","25","80","125","300","57.21","70.69","1","510","50","60"
"2002","higher vocational","East Germany","","","","","","","","","","","","","",""
"2002","higher vocational","West Germany","54.94","36.64","143","10","20","60","102","300","46.37","63.51","1","350","30","50"
"2002","in school","East Germany","","","","","","","","","","","","","",""
"2002","in school","West Germany","","","","","","","","","","","","","",""
"2002","inadequately","East Germany","","","","","","","","","","","","","",""
"2002","inadequately","West Germany","","","","","","","","","","","","","",""
"2002","middle vocational","East Germany","17.2","12","94","3","5","20","41","73","12.5","21.9","1","180","10","15"
"2002","middle vocational","West Germany","48.84","35","823","10","15","68","100","220","44.9","52.78","1","636","33","40"
"2002","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2002","vocational + Abi","West Germany","56.4","44.67","125","13","25","75","140","200","47.13","65.67","1","290","35","50"
"2003","general elemantary","East Germany","","","","","","","","","","","","","",""
"2003","general elemantary","West Germany","49.48","30","69","5","9","65","150","185","38.19","60.77","2","200","12","30"
"2003","higher education","East Germany","16.7","10.18","77","1","2","20","30","230","7.43","25.97","1","230","11","15"
"2003","higher education","West Germany","59.12","43.14","359","11","24","80","125","260","52.1","66.14","1","600","45","55"
"2003","higher vocational","East Germany","","","","","","","","","","","","","",""
"2003","higher vocational","West Germany","60.71","50","130","10","25","80","134","317","52.41","69.01","1","317","35","52"
"2003","in school","East Germany","","","","","","","","","","","","","",""
"2003","in school","West Germany","","","","","","","","","","","","","",""
"2003","inadequately","East Germany","","","","","","","","","","","","","",""
"2003","inadequately","West Germany","","","","","","","","","","","","","",""
"2003","middle vocational","East Germany","20.29","11","88","1","5","23","40","157","14.67","25.91","1","160","10","15"
"2003","middle vocational","West Germany","53.57","38","820","8","16","70","100","372","49.74","57.4","1","776","30","40"
