"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","16-34 y.","general elemantary","2.57","3","939","1","2","3","4","6","2.49","2.65","1","6","2","3"
"2016","16-34 y.","higher education","3","3","940","2","2","4","5","6","2.92","3.08","1","6","3","3"
"2016","16-34 y.","higher vocational","2.77","3","112","1","2","3","4","6","2.54","3","1","6","2","3"
"2016","16-34 y.","in school","2.58","3","334","1","2","3","4","6","2.44","2.72","1","6","3","3"
"2016","16-34 y.","inadequately","2.18","2","118","1","1","3","3","5","1.97","2.39","1","6","2","3"
"2016","16-34 y.","middle vocational","2.82","3","2165","1","2","3","4","6","2.77","2.87","1","6","3","3"
"2016","16-34 y.","vocational + Abi","2.78","3","478","1","2","3","4","6","2.67","2.89","1","6","3","3"
"2016","35-65 y.","general elemantary","2.9","3","1004","2","2","3","4","6","2.84","2.96","1","6","3","3"
"2016","35-65 y.","higher education","2.96","3","3755","2","2","3","4","6","2.93","2.99","1","6","3","3"
"2016","35-65 y.","higher vocational","2.72","3","964","1","2","3","4","6","2.66","2.78","1","6","3","3"
"2016","35-65 y.","in school","","","","","","","","","","","","","",""
"2016","35-65 y.","inadequately","2.7","3","244","1","2","3","4","5","2.58","2.82","1","6","3","3"
"2016","35-65 y.","middle vocational","2.8","3","6401","1","2","3","4","6","2.78","2.82","1","6","3","3"
"2016","35-65 y.","vocational + Abi","2.87","3","1409","2","2","3","4","6","2.81","2.93","1","6","3","3"
"2016","66 and older","general elemantary","3.03","3","620","2","3","3","4","6","2.96","3.1","1","6","3","3"
"2016","66 and older","higher education","3.03","3","1192","2","3","3","4","6","2.98","3.08","1","6","3","3"
"2016","66 and older","higher vocational","2.97","3","326","2","3","3","4","6","2.87","3.07","1","6","3","3"
"2016","66 and older","in school","","","","","","","","","","","","","",""
"2016","66 and older","inadequately","2.86","3","39","2","2","3","4","4","2.58","3.14","2","6","3","3"
"2016","66 and older","middle vocational","2.98","3","2420","2","3","3","4","6","2.94","3.02","1","6","3","3"
"2016","66 and older","vocational + Abi","2.97","3","130","2","3","3","4","5","2.83","3.11","1","6","3","3"
"2017","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2017","16-34 y.","higher education","","","","","","","","","","","","","",""
"2017","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2017","16-34 y.","in school","","","","","","","","","","","","","",""
"2017","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2017","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2017","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2017","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2017","35-65 y.","higher education","","","","","","","","","","","","","",""
"2017","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2017","35-65 y.","in school","","","","","","","","","","","","","",""
"2017","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2017","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2017","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2017","66 and older","general elemantary","","","","","","","","","","","","","",""
"2017","66 and older","higher education","","","","","","","","","","","","","",""
"2017","66 and older","higher vocational","","","","","","","","","","","","","",""
"2017","66 and older","in school","","","","","","","","","","","","","",""
"2017","66 and older","inadequately","","","","","","","","","","","","","",""
"2017","66 and older","middle vocational","","","","","","","","","","","","","",""
"2017","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2018","16-34 y.","general elemantary","2.55","3","969","1","2","3","4","6","2.48","2.62","1","6","2","3"
"2018","16-34 y.","higher education","3.07","3","1053","1","2","4","5","6","2.99","3.15","1","6","3","3"
"2018","16-34 y.","higher vocational","2.44","2","125","1","1","3","4","6","2.22","2.66","1","6","2","3"
"2018","16-34 y.","in school","2.67","3","337","1","2","3","4","6","2.53","2.81","1","6","2","3"
"2018","16-34 y.","inadequately","3.14","3","151","1","2","4","5","6","2.94","3.34","1","6","3","3"
"2018","16-34 y.","middle vocational","2.75","3","2303","1","2","3","4","6","2.7","2.8","1","6","3","3"
"2018","16-34 y.","vocational + Abi","2.67","3","506","1","2","3","4","6","2.57","2.77","1","6","3","3"
"2018","35-65 y.","general elemantary","2.8","3","1098","1","2","3","4","6","2.74","2.86","1","6","3","3"
"2018","35-65 y.","higher education","2.95","3","3972","2","2","3","4","6","2.91","2.99","1","6","3","3"
"2018","35-65 y.","higher vocational","2.72","3","967","1","2","3","4","6","2.65","2.79","1","6","3","3"
"2018","35-65 y.","in school","","","","","","","","","","","","","",""
"2018","35-65 y.","inadequately","2.84","3","295","2","2","3","4","5","2.72","2.96","1","6","3","3"
"2018","35-65 y.","middle vocational","2.79","3","6594","1","2","3","4","6","2.76","2.82","1","6","3","3"
"2018","35-65 y.","vocational + Abi","2.91","3","1456","2","2","3","4","6","2.85","2.97","1","6","3","3"
"2018","66 and older","general elemantary","3.13","3","598","2","3","3","4","6","3.06","3.2","1","6","3","3"
"2018","66 and older","higher education","3.1","3","1287","2","3","4","4","6","3.05","3.15","1","6","3","3"
"2018","66 and older","higher vocational","2.99","3","349","2","3","4","4","6","2.89","3.09","1","6","3","3"
"2018","66 and older","in school","","","","","","","","","","","","","",""
"2018","66 and older","inadequately","3.11","3","38","2","3","4","4","5","2.81","3.41","1","5","3","4"
"2018","66 and older","middle vocational","3.01","3","2543","2","3","3","4","6","2.98","3.04","1","6","3","3"
"2018","66 and older","vocational + Abi","3.04","3","151","2","2","4","4","6","2.87","3.21","1","6","3","3"
