"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","Employed","general elemantary","4.17","4","1319","3","4","5","6","6","4.11","4.23","1","6","4","4"
"2016","Employed","higher education","4","4","4364","3","3","4","5","6","3.97","4.03","1","6","4","4"
"2016","Employed","higher vocational","3.92","4","985","3","3","4","5","6","3.86","3.98","1","6","4","4"
"2016","Employed","in school","4.66","5","69","3","4","6","6","6","4.41","4.91","3","6","4","5"
"2016","Employed","inadequately","3.93","4","184","2","3","5","5","6","3.76","4.1","1","6","4","4"
"2016","Employed","middle vocational","4.06","4","7068","3","4","5","5","6","4.04","4.08","1","6","4","4"
"2016","Employed","vocational + Abi","3.99","4","1643","3","3","5","5","6","3.95","4.03","1","6","4","4"
"2016","Not Employed","general elemantary","3.92","4","1232","3","3","4","5","6","3.86","3.98","1","6","4","4"
"2016","Not Employed","higher education","3.81","4","1483","3","3","4","5","6","3.76","3.86","1","6","4","4"
"2016","Not Employed","higher vocational","3.79","4","399","3","3","4","5","6","3.7","3.88","1","6","4","4"
"2016","Not Employed","in school","4.42","4","262","3","4","5","6","6","4.3","4.54","2","6","4","4"
"2016","Not Employed","inadequately","4.04","4","216","3","3","5","5","6","3.89","4.19","1","6","4","4"
"2016","Not Employed","middle vocational","3.83","4","3790","3","3","4","5","6","3.8","3.86","1","6","4","4"
"2016","Not Employed","vocational + Abi","3.68","4","374","3","3","4","5","6","3.59","3.77","1","6","4","4"
"2017","Employed","general elemantary","","","","","","","","","","","","","",""
"2017","Employed","higher education","","","","","","","","","","","","","",""
"2017","Employed","higher vocational","","","","","","","","","","","","","",""
"2017","Employed","in school","","","","","","","","","","","","","",""
"2017","Employed","inadequately","","","","","","","","","","","","","",""
"2017","Employed","middle vocational","","","","","","","","","","","","","",""
"2017","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2017","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2017","Not Employed","higher education","","","","","","","","","","","","","",""
"2017","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2017","Not Employed","in school","","","","","","","","","","","","","",""
"2017","Not Employed","inadequately","","","","","","","","","","","","","",""
"2017","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2017","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2018","Employed","general elemantary","4.27","4","1416","3","4","5","6","6","4.22","4.32","1","6","4","4"
"2018","Employed","higher education","4.04","4","4770","3","4","4","5","6","4.02","4.06","1","6","4","4"
"2018","Employed","higher vocational","4.01","4","1040","3","3","5","5","6","3.95","4.07","1","6","4","4"
"2018","Employed","in school","4.69","5","66","4","4","5","6","6","4.45","4.93","2","6","4","5"
"2018","Employed","inadequately","4.03","4","215","3","3","5","5","6","3.89","4.17","1","6","4","4"
"2018","Employed","middle vocational","4.09","4","7523","3","4","5","5","6","4.07","4.11","1","6","4","4"
"2018","Employed","vocational + Abi","4.05","4","1728","3","4","5","5","6","4.01","4.09","1","6","4","4"
"2018","Not Employed","general elemantary","3.93","4","1237","3","3","5","5","6","3.87","3.99","1","6","4","4"
"2018","Not Employed","higher education","3.77","4","1516","3","3","4","5","6","3.72","3.82","1","6","4","4"
"2018","Not Employed","higher vocational","3.83","4","396","3","3","4","5","6","3.74","3.92","1","6","4","4"
"2018","Not Employed","in school","4.31","4","273","3","4","5","6","6","4.19","4.43","1","6","4","4"
"2018","Not Employed","inadequately","4.24","4","270","3","4","5","6","6","4.11","4.37","1","6","4","4"
"2018","Not Employed","middle vocational","3.87","4","3821","3","3","4","5","6","3.84","3.9","1","6","4","4"
"2018","Not Employed","vocational + Abi","3.96","4","377","3","3","4","5","6","3.87","4.05","1","6","4","4"
