"year","hgtyp1hh","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","(Married) couple without C.","Female","3.87","4","3666","3","3","4","5","6","3.84","3.9","1","6","4","4"
"2016","(Married) couple without C.","Male","3.89","4","3582","3","3","4","5","6","3.86","3.92","1","6","4","4"
"2016","1-pers.-HH","Female","3.99","4","1960","3","3","5","5","6","3.95","4.03","1","6","4","4"
"2016","1-pers.-HH","Male","3.99","4","1460","3","3","5","5","6","3.94","4.04","1","6","4","4"
"2016","Couple + C. GT 16 ","Female","4.08","4","1337","3","4","5","5","6","4.03","4.13","1","6","4","4"
"2016","Couple + C. GT 16 ","Male","4.06","4","1364","3","3","5","5","6","4.01","4.11","1","6","4","4"
"2016","Couple + C. LE 16","Female","4.04","4","3040","3","3","5","5","6","4.01","4.07","1","6","4","4"
"2016","Couple + C. LE 16","Male","3.98","4","2719","3","3","5","5","6","3.94","4.02","1","6","4","4"
"2016","Couple + C. LE and GT 16","Female","4.13","4","1036","3","4","5","5","6","4.07","4.19","1","6","4","4"
"2016","Couple + C. LE and GT 16","Male","4.07","4","1041","3","4","5","5","6","4.01","4.13","1","6","4","4"
"2016","Single parent","Female","4.1","4","1640","3","3","5","5","6","4.05","4.15","1","6","4","4"
"2016","Single parent","Male","4.13","4","492","3","4","5","5","6","4.04","4.22","1","6","4","4"
"2017","(Married) couple without C.","Female","","","","","","","","","","","","","",""
"2017","(Married) couple without C.","Male","","","","","","","","","","","","","",""
"2017","1-pers.-HH","Female","","","","","","","","","","","","","",""
"2017","1-pers.-HH","Male","","","","","","","","","","","","","",""
"2017","Couple + C. GT 16 ","Female","","","","","","","","","","","","","",""
"2017","Couple + C. GT 16 ","Male","","","","","","","","","","","","","",""
"2017","Couple + C. LE 16","Female","","","","","","","","","","","","","",""
"2017","Couple + C. LE 16","Male","","","","","","","","","","","","","",""
"2017","Couple + C. LE and GT 16","Female","","","","","","","","","","","","","",""
"2017","Couple + C. LE and GT 16","Male","","","","","","","","","","","","","",""
"2017","Single parent","Female","","","","","","","","","","","","","",""
"2017","Single parent","Male","","","","","","","","","","","","","",""
"2018","(Married) couple without C.","Female","3.92","4","4009","3","3","4","5","6","3.89","3.95","1","6","4","4"
"2018","(Married) couple without C.","Male","3.91","4","3898","3","3","4","5","6","3.88","3.94","1","6","4","4"
"2018","1-pers.-HH","Female","4.05","4","2274","3","3","5","5","6","4.01","4.09","1","6","4","4"
"2018","1-pers.-HH","Male","3.98","4","1803","3","3","5","5","6","3.93","4.03","1","6","4","4"
"2018","Couple + C. GT 16 ","Female","4.12","4","1488","3","4","5","5","6","4.07","4.17","1","6","4","4"
"2018","Couple + C. GT 16 ","Male","4.02","4","1487","3","4","5","5","6","3.97","4.07","1","6","4","4"
"2018","Couple + C. LE 16","Female","4.1","4","2878","3","4","5","5","6","4.07","4.13","1","6","4","4"
"2018","Couple + C. LE 16","Male","4.06","4","2549","3","4","5","5","6","4.02","4.1","1","6","4","4"
"2018","Couple + C. LE and GT 16","Female","4.25","4","1108","3","4","5","5","6","4.19","4.31","1","6","4","4"
"2018","Couple + C. LE and GT 16","Male","4.21","4","1072","3","4","5","5","6","4.15","4.27","1","6","4","4"
"2018","Single parent","Female","4.25","4","1623","3","4","5","6","6","4.2","4.3","1","6","4","4"
"2018","Single parent","Male","4.12","4","579","3","4","5","5","6","4.04","4.2","1","6","4","4"
