"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","college entrance qualification","direct migration background","3.36","3","415","2","3","4","5","6","3.26","3.46","1","6","3","3"
"2016","college entrance qualification","indirect migration background","3.33","3","513","2","3","4","5","6","3.24","3.42","1","6","3","3"
"2016","college entrance qualification","no migration background","3.68","4","5789","3","3","4","5","6","3.65","3.71","1","6","4","4"
"2016","lower secondary degree","direct migration background","3.28","3","470","2","3","4","5","6","3.18","3.38","1","6","3","3"
"2016","lower secondary degree","indirect migration background","3.35","3","351","2","3","4","5","6","3.23","3.47","1","6","3","3"
"2016","lower secondary degree","no migration background","3.64","4","4926","3","3","4","5","6","3.61","3.67","1","6","4","4"
"2016","no degree/no degree yet","direct migration background","3.19","3","347","2","3","4","4","6","3.08","3.3","1","6","3","3"
"2016","no degree/no degree yet","indirect migration background","2.76","3","99","1","2","3","5","6","2.54","2.98","1","6","3","3"
"2016","no degree/no degree yet","no migration background","3.42","3","363","2","3","4","5","6","3.3","3.54","1","6","3","3"
"2016","Other degree","direct migration background","3.35","3","3041","2","3","4","5","6","3.31","3.39","1","6","3","3"
"2016","Other degree","indirect migration background","3.15","3","54","2","2","4","4","6","2.85","3.45","1","6","3","3"
"2016","Other degree","no migration background","3.72","4","147","2","3","4","5","6","3.55","3.89","1","6","3","4"
"2016","secondary school degree","direct migration background","3.17","3","338","2","2","4","5","6","3.06","3.28","1","6","3","3"
"2016","secondary school degree","indirect migration background","3.31","3","386","2","3","4","5","6","3.21","3.41","1","6","3","3"
"2016","secondary school degree","no migration background","3.58","4","5821","2","3","4","5","6","3.55","3.61","1","6","3","4"
"2017","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2017","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2017","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2017","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2017","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2017","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2017","Other degree","direct migration background","","","","","","","","","","","","","",""
"2017","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2017","Other degree","no migration background","","","","","","","","","","","","","",""
"2017","secondary school degree","direct migration background","","","","","","","","","","","","","",""
"2017","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"2017","secondary school degree","no migration background","","","","","","","","","","","","","",""
"2018","college entrance qualification","direct migration background","3.4","3","395","2","3","4","5","6","3.29","3.51","1","6","3","3"
"2018","college entrance qualification","indirect migration background","3.45","3","573","2","3","4","5","6","3.36","3.54","1","6","3","3"
"2018","college entrance qualification","no migration background","3.69","4","6630","3","3","4","5","6","3.66","3.72","1","6","4","4"
"2018","lower secondary degree","direct migration background","3.24","3","413","2","3","4","4","6","3.14","3.34","1","6","3","3"
"2018","lower secondary degree","indirect migration background","3.26","3","354","1","3","4","5","6","3.14","3.38","1","6","3","3"
"2018","lower secondary degree","no migration background","3.63","4","4880","2","3","4","5","6","3.6","3.66","1","6","4","4"
"2018","no degree/no degree yet","direct migration background","3.14","3","358","2","3","4","4","6","3.03","3.25","1","6","3","3"
"2018","no degree/no degree yet","indirect migration background","3.18","3","125","2","3","4","5","6","2.97","3.39","1","6","3","3"
"2018","no degree/no degree yet","no migration background","3.5","3","407","2","3","4","5","6","3.39","3.61","1","6","3","3"
"2018","Other degree","direct migration background","3.3","3","2743","2","3","4","4","6","3.26","3.34","1","6","3","3"
"2018","Other degree","indirect migration background","3.32","3","49","3","3","4","4","6","2.95","3.69","1","6","3","3"
"2018","Other degree","no migration background","3.53","3","157","2","3","4","5","6","3.36","3.7","1","6","3","3"
"2018","secondary school degree","direct migration background","3.14","3","324","2","2","4","5","6","3.03","3.25","1","6","3","3"
"2018","secondary school degree","indirect migration background","3.12","3","420","2","3","4","4","6","3.02","3.22","1","6","3","3"
"2018","secondary school degree","no migration background","3.57","3","6433","2","3","4","5","6","3.55","3.59","1","6","3","3"
