"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","(0) in school","3.18","3","331","2","3","4","4","6","3.05","3.31","1","6","3","3"
"2016","(1a) inadequately completed","3.3","3","475","2","3","4","5","6","3.2","3.4","1","6","3","3"
"2016","(1b) general elementary school","3.46","3","1905","2","3","4","5","6","3.41","3.51","1","6","3","3"
"2016","(1c) basic vocational qualification","3.6","4","4992","2","3","4","5","6","3.57","3.63","1","6","3","4"
"2016","(2a) intermediate vocational","3.55","3","5265","2","3","4","5","6","3.52","3.58","1","6","3","3"
"2016","(2b) intermediate general qualification","3.42","3","691","2","3","4","5","6","3.34","3.5","1","6","3","3"
"2016","(2c_gen) general maturity certificate","3.5","3","1251","2","3","4","5","6","3.44","3.56","1","6","3","3"
"2016","(2c_voc) vocational maturity certificate","3.47","3","2423","2","3","4","5","6","3.43","3.51","1","6","3","3"
"2016","(3a) lower tertiary education","3.72","4","1809","3","3","4","5","6","3.67","3.77","1","6","4","4"
"2016","(3b) higher tertiary education","3.68","4","4020","3","3","4","5","6","3.65","3.71","1","6","3","4"
"2017","(0) in school","","","","","","","","","","","","","",""
"2017","(1a) inadequately completed","","","","","","","","","","","","","",""
"2017","(1b) general elementary school","","","","","","","","","","","","","",""
"2017","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2017","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2017","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2017","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2017","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2017","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2017","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2018","(0) in school","3.35","3","342","2","3","4","5","6","3.22","3.48","1","6","3","3"
"2018","(1a) inadequately completed","3.3","3","545","2","3","4","5","6","3.21","3.39","1","6","3","3"
"2018","(1b) general elementary school","3.38","3","1917","2","3","4","5","6","3.33","3.43","1","6","3","3"
"2018","(1c) basic vocational qualification","3.6","4","4788","2","3","4","5","6","3.57","3.63","1","6","3","3"
"2018","(2a) intermediate vocational","3.53","3","5747","2","3","4","5","6","3.5","3.56","1","6","3","3"
"2018","(2b) intermediate general qualification","3.35","3","796","2","3","4","5","6","3.28","3.42","1","6","3","3"
"2018","(2c_gen) general maturity certificate","3.52","3","1462","2","3","4","5","6","3.46","3.58","1","6","3","3"
"2018","(2c_voc) vocational maturity certificate","3.46","3","2534","2","3","4","5","6","3.42","3.5","1","6","3","3"
"2018","(3a) lower tertiary education","3.68","4","1954","3","3","4","5","6","3.64","3.72","1","6","4","4"
"2018","(3b) higher tertiary education","3.7","4","4317","3","3","4","5","6","3.67","3.73","1","6","4","4"
