"year","hgtyp1hh","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","Female","1.78","1","1325","1","1","2","4","4","1.72","1.84","1","4","1","1"
"1984","(Married) couple without C.","Male","1.78","1","1341","1","1","2","4","4","1.72","1.84","1","4","1","1"
"1984","1-pers.-HH","Female","1.76","1","781","1","1","2","4","4","1.69","1.83","1","4","1","2"
"1984","1-pers.-HH","Male","2.07","2","528","1","1","3","4","4","1.97","2.17","1","4","1","2"
"1984","Couple + C. GT 16 ","Female","1.93","2","886","1","1","3","4","4","1.86","2","1","4","1","2"
"1984","Couple + C. GT 16 ","Male","2.06","2","1059","1","1","3","4","4","1.99","2.13","1","4","2","2"
"1984","Couple + C. LE 16","Female","2.16","2","1501","1","1","3","4","4","2.1","2.22","1","4","2","2"
"1984","Couple + C. LE 16","Male","2.15","2","1509","1","1","3","4","4","2.09","2.21","1","4","2","2"
"1984","Couple + C. LE and GT 16","Female","2","2","770","1","1","3","4","4","1.92","2.08","1","4","2","2"
"1984","Couple + C. LE and GT 16","Male","2.03","2","902","1","1","3","4","4","1.96","2.1","1","4","2","2"
"1984","Single parent","Female","2.09","2","372","1","1","3","4","4","1.98","2.2","1","4","2","2"
"1984","Single parent","Male","2.24","2","191","1","1","3","4","4","2.07","2.41","1","4","2","2"
"1985","(Married) couple without C.","Female","1.77","1","1199","1","1","2","4","4","1.71","1.83","1","4","1","1"
"1985","(Married) couple without C.","Male","1.74","1","1193","1","1","2","3","4","1.68","1.8","1","4","1","1"
"1985","1-pers.-HH","Female","1.71","1","691","1","1","2","3","4","1.63","1.79","1","4","1","1"
"1985","1-pers.-HH","Male","2.05","2","457","1","1","3","4","4","1.95","2.15","1","4","2","2"
"1985","Couple + C. GT 16 ","Female","1.9","1","901","1","1","3","4","4","1.83","1.97","1","4","1","2"
"1985","Couple + C. GT 16 ","Male","2.05","2","1092","1","1","3","4","4","1.98","2.12","1","4","2","2"
"1985","Couple + C. LE 16","Female","2.14","2","1303","1","1","3","4","4","2.08","2.2","1","4","2","2"
"1985","Couple + C. LE 16","Male","2.15","2","1318","1","1","3","4","4","2.09","2.21","1","4","2","2"
"1985","Couple + C. LE and GT 16","Female","1.98","2","664","1","1","3","4","4","1.9","2.06","1","4","2","2"
"1985","Couple + C. LE and GT 16","Male","2.01","2","795","1","1","3","4","4","1.93","2.09","1","4","1","2"
"1985","Single parent","Female","2.05","2","351","1","1","3","4","4","1.93","2.17","1","4","2","2"
"1985","Single parent","Male","2.24","2","187","1","1","3","4","4","2.07","2.41","1","4","2","2"
"1986","(Married) couple without C.","Female","1.82","1","1167","1","1","3","4","4","1.76","1.88","1","4","1","2"
"1986","(Married) couple without C.","Male","1.78","1","1172","1","1","2","4","4","1.72","1.84","1","4","1","1"
"1986","1-pers.-HH","Female","1.73","1","652","1","1","2","4","4","1.65","1.81","1","4","1","1"
"1986","1-pers.-HH","Male","2.11","2","442","1","1","3","4","4","2","2.22","1","4","2","2"
"1986","Couple + C. GT 16 ","Female","1.94","2","923","1","1","3","4","4","1.87","2.01","1","4","1","2"
"1986","Couple + C. GT 16 ","Male","2.03","2","1140","1","1","3","4","4","1.97","2.09","1","4","2","2"
"1986","Couple + C. LE 16","Female","2.11","2","1174","1","1","3","4","4","2.05","2.17","1","4","2","2"
"1986","Couple + C. LE 16","Male","2.16","2","1180","1","1","3","4","4","2.1","2.22","1","4","2","2"
"1986","Couple + C. LE and GT 16","Female","1.96","2","632","1","1","3","4","4","1.88","2.04","1","4","1","2"
"1986","Couple + C. LE and GT 16","Male","2.03","2","735","1","1","3","4","4","1.95","2.11","1","4","1","2"
"1986","Single parent","Female","2.14","2","323","1","1","3","4","4","2.01","2.27","1","4","2","2"
"1986","Single parent","Male","2.21","2","175","1","1","3","4","4","2.03","2.39","1","4","2","2"
"1987","(Married) couple without C.","Female","","","","","","","","","","","","","",""
"1987","(Married) couple without C.","Male","","","","","","","","","","","","","",""
"1987","1-pers.-HH","Female","","","","","","","","","","","","","",""
"1987","1-pers.-HH","Male","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","Female","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","Male","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","Female","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","Male","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","Female","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","Male","","","","","","","","","","","","","",""
"1987","Single parent","Female","","","","","","","","","","","","","",""
"1987","Single parent","Male","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","Female","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","Male","","","","","","","","","","","","","",""
"1988","1-pers.-HH","Female","","","","","","","","","","","","","",""
"1988","1-pers.-HH","Male","","","","","","","","","","","","","",""
