"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","general elemantary","2.47","2","1227","1","2","3","4","4","2.41","2.53","1","4","3","3"
"1984","16-34 y.","higher education","2.08","2","245","1","1","3","4","4","1.95","2.21","1","4","2","2"
"1984","16-34 y.","higher vocational","2.31","2","209","1","1","3","4","4","2.16","2.46","1","4","2","2"
"1984","16-34 y.","in school","2.28","2","183","1","1","3","4","4","2.13","2.43","1","4","2","2"
"1984","16-34 y.","inadequately","2.82","3","294","1","2","4","4","4","2.71","2.93","1","4","3","3"
"1984","16-34 y.","middle vocational","2.4","2","2135","1","1","3","4","4","2.35","2.45","1","4","2","3"
"1984","16-34 y.","vocational + Abi","2.25","2","162","1","1","3","4","4","2.08","2.42","1","4","2","3"
"1984","35-65 y.","general elemantary","2.88","3","1612","1","2","4","4","4","2.83","2.93","1","4","3","3"
"1984","35-65 y.","higher education","2.46","2","472","1","2","3","4","4","2.36","2.56","1","4","2","3"
"1984","35-65 y.","higher vocational","2.65","3","355","1","2","4","4","4","2.54","2.76","1","4","3","3"
"1984","35-65 y.","in school","","","","","","","","","","","","","",""
"1984","35-65 y.","inadequately","3.03","3","643","2","2","4","4","4","2.96","3.1","1","4","3","3"
"1984","35-65 y.","middle vocational","2.77","3","2894","1","2","4","4","4","2.73","2.81","1","4","3","3"
"1984","35-65 y.","vocational + Abi","2.55","3","127","1","2","3","4","4","2.36","2.74","1","4","2","3"
"1984","66 and older","general elemantary","3.13","3","494","2","3","4","4","4","3.05","3.21","1","4","3","3"
"1984","66 and older","higher education","2.81","3","61","1","2","4","4","4","2.54","3.08","1","4","2","3"
"1984","66 and older","higher vocational","2.82","3","82","1","2","4","4","4","2.59","3.05","1","4","3","3"
"1984","66 and older","in school","","","","","","","","","","","","","",""
"1984","66 and older","inadequately","","","","","","","","","","","","","",""
"1984","66 and older","middle vocational","2.99","3","563","2","2","4","4","4","2.91","3.07","1","4","3","3"
"1984","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1985","16-34 y.","general elemantary","2.51","3","1110","1","2","3","4","4","2.45","2.57","1","4","3","3"
"1985","16-34 y.","higher education","2.04","2","233","1","1","3","4","4","1.9","2.18","1","4","2","2"
"1985","16-34 y.","higher vocational","2.31","2","194","1","1","3","4","4","2.16","2.46","1","4","2","2"
"1985","16-34 y.","in school","2.29","2","183","1","1","3","4","4","2.13","2.45","1","4","2","2"
"1985","16-34 y.","inadequately","2.71","3","222","1","2","3","4","4","2.58","2.84","1","4","3","3"
"1985","16-34 y.","middle vocational","2.39","2","1921","1","2","3","4","4","2.34","2.44","1","4","2","3"
"1985","16-34 y.","vocational + Abi","2.23","2","148","1","1","3","4","4","2.05","2.41","1","4","2","3"
"1985","35-65 y.","general elemantary","2.85","3","1450","1","2","4","4","4","2.8","2.9","1","4","3","3"
"1985","35-65 y.","higher education","2.47","2","459","1","2","3","4","4","2.37","2.57","1","4","2","3"
"1985","35-65 y.","higher vocational","2.7","3","340","1","2","4","4","4","2.58","2.82","1","4","3","3"
"1985","35-65 y.","in school","","","","","","","","","","","","","",""
"1985","35-65 y.","inadequately","3.07","3","539","2","2","4","4","4","2.99","3.15","1","4","3","3"
"1985","35-65 y.","middle vocational","2.72","3","2673","1","2","4","4","4","2.68","2.76","1","4","3","3"
"1985","35-65 y.","vocational + Abi","2.67","2.77","109","1","2","4","4","4","2.47","2.87","1","4","2","3"
"1985","66 and older","general elemantary","3.14","3","407","2","3","4","4","4","3.06","3.22","1","4","3","3"
"1985","66 and older","higher education","2.77","3","54","1","2","4","4","4","2.47","3.07","1","4","2","4"
"1985","66 and older","higher vocational","2.99","3","78","2","2","4","4","4","2.77","3.21","1","4","3","4"
"1985","66 and older","in school","","","","","","","","","","","","","",""
"1985","66 and older","inadequately","","","","","","","","","","","","","",""
"1985","66 and older","middle vocational","2.9","3","502","1","2","4","4","4","2.81","2.99","1","4","3","3"
"1985","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1986","16-34 y.","general elemantary","2.37","2","1089","1","1","3","4","4","2.31","2.43","1","4","2","3"
"1986","16-34 y.","higher education","2.03","2","225","1","1","3","4","4","1.9","2.16","1","4","2","2"
"1986","16-34 y.","higher vocational","2.22","2","187","1","1","3","4","4","2.06","2.38","1","4","2","2"
"1986","16-34 y.","in school","2.32","2","184","1","1","3","4","4","2.17","2.47","1","4","2","2"
"1986","16-34 y.","inadequately","2.61","3","217","1","2","3","4","4","2.47","2.75","1","4","3","3"
"1986","16-34 y.","middle vocational","2.32","2","1867","1","1","3","4","4","2.27","2.37","1","4","2","2"
"1986","16-34 y.","vocational + Abi","2.12","2","151","1","1","3","3","4","1.96","2.28","1","4","2","3"
"1986","35-65 y.","general elemantary","2.72","3","1336","1","2","4","4","4","2.66","2.78","1","4","3","3"
"1986","35-65 y.","higher education","2.24","2","466","1","1","3","4","4","2.15","2.33","1","4","2","2"
"1986","35-65 y.","higher vocational","2.59","3","315","1","2","3","4","4","2.48","2.7","1","4","2","3"
"1986","35-65 y.","in school","","","","","","","","","","","","","",""
"1986","35-65 y.","inadequately","2.93","3","498","1","2","4","4","4","2.84","3.02","1","4","3","3"
"1986","35-65 y.","middle vocational","2.62","3","2576","1","2","4","4","4","2.58","2.66","1","4","3","3"
"1986","35-65 y.","vocational + Abi","2.64","2.95","101","1","2","4","4","4","2.43","2.85","1","4","2","3"
"1986","66 and older","general elemantary","3","3","381","2","2","4","4","4","2.91","3.09","1","4","3","3"
"1986","66 and older","higher education","2.79","3","50","2","2","4","4","4","2.53","3.05","1","4","2","3"
"1986","66 and older","higher vocational","2.8","3","69","1","2","3","4","4","2.57","3.03","1","4","3","3"
"1986","66 and older","in school","","","","","","","","","","","","","",""
"1986","66 and older","inadequately","","","","","","","","","","","","","",""
"1986","66 and older","middle vocational","2.82","3","462","1","2","4","4","4","2.73","2.91","1","4","3","3"
"1986","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1987","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1987","16-34 y.","higher education","","","","","","","","","","","","","",""
"1987","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1987","16-34 y.","in school","","","","","","","","","","","","","",""
"1987","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1987","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1987","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1987","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1987","35-65 y.","higher education","","","","","","","","","","","","","",""
"1987","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1987","35-65 y.","in school","","","","","","","","","","","","","",""
"1987","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1987","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1987","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
