"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1990","16-34 y.","West Germany","1.84","2","2608","1","1","2","3","4","1.81","1.87","1","4","2","2"
"1990","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1990","35-65 y.","West Germany","2.2","2","3325","1","2","3","4","4","2.17","2.23","1","4","2","2"
"1990","66 and older","East Germany","","","","","","","","","","","","","",""
"1990","66 and older","West Germany","3.16","4","911","2","2","4","4","4","3.09","3.23","1","4","3","4"
"1991","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1991","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1991","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1991","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1991","66 and older","East Germany","","","","","","","","","","","","","",""
"1991","66 and older","West Germany","","","","","","","","","","","","","",""
"1992","16-34 y.","East Germany","1.59","2","1390","1","1","2","2","3","1.56","1.62","1","4","1","2"
"1992","16-34 y.","West Germany","1.86","2","2546","1","1","2","3","4","1.83","1.89","1","4","2","2"
"1992","35-65 y.","East Germany","2.01","2","2095","1","1","2","4","4","1.97","2.05","1","4","2","2"
"1992","35-65 y.","West Germany","2.18","2","3365","1","2","3","4","4","2.15","2.21","1","4","2","2"
"1992","66 and older","East Germany","3.53","4","336","2","3","4","4","4","3.44","3.62","1","4","4","4"
"1992","66 and older","West Germany","3.21","4","938","2","2","4","4","4","3.15","3.27","1","4","4","4"
"1993","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1993","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1993","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1993","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1993","66 and older","East Germany","","","","","","","","","","","","","",""
"1993","66 and older","West Germany","","","","","","","","","","","","","",""
"1994","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1994","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1994","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1994","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1994","66 and older","East Germany","","","","","","","","","","","","","",""
"1994","66 and older","West Germany","","","","","","","","","","","","","",""
"1995","16-34 y.","East Germany","1.7","2","1211","1","1","2","2","3","1.66","1.74","1","4","2","2"
"1995","16-34 y.","West Germany","1.8","2","2753","1","1","2","3","4","1.77","1.83","1","4","2","2"
"1995","35-65 y.","East Germany","2.06","2","1959","1","1","2","4","4","2.02","2.1","1","4","2","2"
"1995","35-65 y.","West Germany","2.15","2","3625","1","2","3","3","4","2.12","2.18","1","4","2","2"
"1995","66 and older","East Germany","3.27","4","325","2","2","4","4","4","3.15","3.39","1","4","4","4"
"1995","66 and older","West Germany","3.04","3","937","2","2","4","4","4","2.97","3.11","1","4","3","3"
"1996","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1996","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1996","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1996","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1996","66 and older","East Germany","","","","","","","","","","","","","",""
"1996","66 and older","West Germany","","","","","","","","","","","","","",""
"1997","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1997","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1997","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1997","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1997","66 and older","East Germany","","","","","","","","","","","","","",""
"1997","66 and older","West Germany","","","","","","","","","","","","","",""
"1998","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1998","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1998","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1998","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1998","66 and older","East Germany","","","","","","","","","","","","","",""
"1998","66 and older","West Germany","","","","","","","","","","","","","",""
"1999","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1999","16-34 y.","West Germany","","","","","","","","","","","","","",""
"1999","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1999","35-65 y.","West Germany","","","","","","","","","","","","","",""
"1999","66 and older","East Germany","","","","","","","","","","","","","",""
"1999","66 and older","West Germany","","","","","","","","","","","","","",""
"2000","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2000","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2000","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2000","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2000","66 and older","East Germany","","","","","","","","","","","","","",""
"2000","66 and older","West Germany","","","","","","","","","","","","","",""
"2001","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2001","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2001","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2001","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2001","66 and older","East Germany","","","","","","","","","","","","","",""
"2001","66 and older","West Germany","","","","","","","","","","","","","",""
"2002","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2002","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2002","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2002","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2002","66 and older","East Germany","","","","","","","","","","","","","",""
"2002","66 and older","West Germany","","","","","","","","","","","","","",""
"2003","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2003","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2003","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2003","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2003","66 and older","East Germany","","","","","","","","","","","","","",""
"2003","66 and older","West Germany","","","","","","","","","","","","","",""
"2004","16-34 y.","East Germany","1.71","2","1416","1","1","2","2","3","1.68","1.74","1","4","2","2"
"2004","16-34 y.","West Germany","1.78","2","4159","1","1","2","3","4","1.76","1.8","1","4","2","2"
"2004","35-65 y.","East Germany","2.05","2","2749","1","2","2","3","4","2.02","2.08","1","4","2","2"
"2004","35-65 y.","West Germany","2.14","2","9086","1","2","3","3","4","2.12","2.16","1","4","2","2"
"2004","66 and older","East Germany","3.05","3","788","2","2","4","4","4","2.98","3.12","1","4","3","4"
"2004","66 and older","West Germany","2.91","3","2365","2","2","4","4","4","2.87","2.95","1","4","3","3"
"2005","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2005","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2005","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2005","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2005","66 and older","East Germany","","","","","","","","","","","","","",""
"2005","66 and older","West Germany","","","","","","","","","","","","","",""
"2006","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2006","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2006","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2006","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2006","66 and older","East Germany","","","","","","","","","","","","","",""
"2006","66 and older","West Germany","","","","","","","","","","","","","",""
"2007","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2007","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2007","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2007","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2007","66 and older","East Germany","","","","","","","","","","","","","",""
"2007","66 and older","West Germany","","","","","","","","","","","","","",""
"2008","16-34 y.","East Germany","1.73","2","1141","1","1","2","2","3","1.69","1.77","1","4","2","2"
"2008","16-34 y.","West Germany","1.78","2","3212","1","1","2","3","4","1.76","1.8","1","4","2","2"
"2008","35-65 y.","East Germany","2.08","2","2423","1","2","2","3","4","2.05","2.11","1","4","2","2"
"2008","35-65 y.","West Germany","2.17","2","7987","1","2","3","3","4","2.15","2.19","1","4","2","2"
"2008","66 and older","East Germany","2.94","3","913","1","2","4","4","4","2.87","3.01","1","4","3","3"
"2008","66 and older","West Germany","2.99","3","2695","2","2","4","4","4","2.95","3.03","1","4","3","3"
"2009","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2009","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2009","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2009","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2009","66 and older","East Germany","","","","","","","","","","","","","",""
"2009","66 and older","West Germany","","","","","","","","","","","","","",""
"2010","16-34 y.","East Germany","1.85","2","647","1","1","2","3","3","1.8","1.9","1","4","2","2"
"2010","16-34 y.","West Germany","1.95","2","2338","1","1","2","3","4","1.92","1.98","1","4","2","2"
"2010","35-65 y.","East Germany","1.96","2","699","1","2","2","3","3","1.91","2.01","1","4","2","2"
"2010","35-65 y.","West Germany","2.12","2","3610","1","2","3","3","4","2.1","2.14","1","4","2","2"
"2010","66 and older","East Germany","","","","","","","","","","","","","",""
"2010","66 and older","West Germany","","","","","","","","","","","","","",""
"2011","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2011","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2011","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2011","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2011","66 and older","East Germany","","","","","","","","","","","","","",""
"2011","66 and older","West Germany","","","","","","","","","","","","","",""
"2012","16-34 y.","East Germany","1.77","2","1415","1","1","2","3","4","1.74","1.8","1","4","2","2"
"2012","16-34 y.","West Germany","1.78","2","4889","1","1","2","3","4","1.76","1.8","1","4","2","2"
"2012","35-65 y.","East Germany","2.11","2","3369","1","2","2","3","4","2.08","2.14","1","4","2","2"
"2012","35-65 y.","West Germany","2.15","2","12302","1","2","3","3","4","2.14","2.16","1","4","2","2"
"2012","66 and older","East Germany","3","3","979","2","2","4","4","4","2.93","3.07","1","4","3","3"
"2012","66 and older","West Germany","2.87","3","3035","2","2","4","4","4","2.83","2.91","1","4","3","3"
"2013","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2013","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2013","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2013","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2013","66 and older","East Germany","","","","","","","","","","","","","",""
"2013","66 and older","West Germany","","","","","","","","","","","","","",""
"2014","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2014","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2014","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2014","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2014","66 and older","East Germany","","","","","","","","","","","","","",""
