"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(0) in school","East Germany","","","","","","","","","","","","","",""
"1990","(0) in school","West Germany","1.76","2","109","1","1","2","3","4","1.63","1.89","1","4","2","2"
"1990","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1990","(1a) inadequately completed","West Germany","2.32","2","58","1","2","3","4","4","2.05","2.59","1","4","2","2"
"1990","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1990","(1b) general elementary school","West Germany","2.63","2","1267","1","2","4","4","4","2.57","2.69","1","4","2","2"
"1990","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1990","(1c) basic vocational qualification","West Germany","2.25","2","2629","1","2","3","4","4","2.21","2.29","1","4","2","2"
"1990","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1990","(2a) intermediate vocational","West Germany","2.18","2","1186","1","2","3","4","4","2.13","2.23","1","4","2","2"
"1990","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1990","(2b) intermediate general qualification","West Germany","2.12","2","296","1","1","3","4","4","2.02","2.22","1","4","2","2"
"1990","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1990","(2c_gen) general maturity certificate","West Germany","1.86","2","249","1","1","2","3","4","1.77","1.95","1","4","2","2"
"1990","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1990","(2c_voc) vocational maturity certificate","West Germany","1.95","2","308","1","1","2","3","4","1.87","2.03","1","4","2","2"
"1990","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1990","(3a) lower tertiary education","West Germany","2.07","2","221","1","2","2","3","4","1.97","2.17","1","4","2","2"
"1990","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1990","(3b) higher tertiary education","West Germany","2.02","2","420","1","1","2","3","4","1.94","2.1","1","4","2","2"
"1991","(0) in school","East Germany","","","","","","","","","","","","","",""
