"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","general elemantary","Rural Area","1.73","1","417","1","1","2","3","4","1.65","1.81","1","4","1","1"
"1990","general elemantary","Urban Area","1.69","1","1181","1","1","2","3","4","1.64","1.74","1","4","1","1"
"1990","higher education","Rural Area","1.43","1","97","1","1","2","2","4","1.29","1.57","1","4","1","1"
"1990","higher education","Urban Area","1.42","1","557","1","1","2","2","4","1.37","1.47","1","4","1","1"
"1990","higher vocational","Rural Area","1.53","1","110","1","1","2","2","4","1.4","1.66","1","4","1","1"
"1990","higher vocational","Urban Area","1.45","1","385","1","1","2","3","4","1.38","1.52","1","4","1","1"
"1990","in school","Rural Area","","","","","","","","","","","","","",""
"1990","in school","Urban Area","1.76","2","82","1","1","2","3","4","1.58","1.94","1","4","1","2"
"1990","inadequately","Rural Area","","","","","","","","","","","","","",""
"1990","inadequately","Urban Area","1.96","1","49","1","1","3","4","4","1.64","2.28","1","4","1","2"
"1990","middle vocational","Rural Area","1.47","1","905","1","1","2","2","4","1.43","1.51","1","4","1","1"
"1990","middle vocational","Urban Area","1.47","1","2965","1","1","2","2","4","1.45","1.49","1","4","1","1"
"1990","vocational + Abi","Rural Area","1.54","1","33","1","1","2","3","4","1.27","1.81","1","4","1","1"
"1990","vocational + Abi","Urban Area","1.41","1","171","1","1","2","2","4","1.31","1.51","1","4","1","1"
"1991","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1991","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1991","higher education","Rural Area","","","","","","","","","","","","","",""
"1991","higher education","Urban Area","","","","","","","","","","","","","",""
"1991","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1991","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1991","in school","Rural Area","","","","","","","","","","","","","",""
"1991","in school","Urban Area","","","","","","","","","","","","","",""
"1991","inadequately","Rural Area","","","","","","","","","","","","","",""
"1991","inadequately","Urban Area","","","","","","","","","","","","","",""
"1991","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1991","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1991","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1991","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
