"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Baden-Württemberg","(Married) couple without C.","3.04","3","303","2","3","4","4","4","2.96","3.12","1","4","3","3"
"1990","Baden-Württemberg","1-pers.-HH","3.06","3","121","2","2","4","4","4","2.91","3.21","1","4","3","3"
"1990","Baden-Württemberg","Couple + C. GT 16 ","3.08","3","273","2","3","4","4","4","3","3.16","1","4","3","3"
"1990","Baden-Württemberg","Couple + C. LE 16","2.93","3","261","2","3","3","4","4","2.84","3.02","1","4","3","3"
"1990","Baden-Württemberg","Couple + C. LE and GT 16","3.06","3","80","2","3","4","4","4","2.9","3.22","2","4","3","3"
"1990","Baden-Württemberg","Single parent","3.3","3","52","2","3","4","4","4","3.09","3.51","1","4","3","4"
"1990","Bavaria","(Married) couple without C.","3.1","3","326","2","3","4","4","4","3.02","3.18","1","4","3","3"
"1990","Bavaria","1-pers.-HH","3.1","3","177","2","3","4","4","4","2.98","3.22","1","4","3","3"
"1990","Bavaria","Couple + C. GT 16 ","2.95","3","265","2","2","3","4","4","2.86","3.04","1","4","3","3"
"1990","Bavaria","Couple + C. LE 16","3.01","3","265","2","3","3","4","4","2.92","3.1","1","4","3","3"
"1990","Bavaria","Couple + C. LE and GT 16","3.05","3","87","2","3","3","4","4","2.91","3.19","2","4","3","3"
"1990","Bavaria","Single parent","3.03","3","74","2","2","4","4","4","2.85","3.21","1","4","3","3"
"1990","Berlin","(Married) couple without C.","2.94","3","80","2","3","3","4","4","2.78","3.1","1","4","3","3"
"1990","Berlin","1-pers.-HH","2.95","3","63","2","2","4","4","4","2.75","3.15","1","4","3","3"
"1990","Berlin","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1990","Berlin","Couple + C. LE 16","2.75","3","37","2","2","3","4","4","2.47","3.03","1","4","2","3"
"1990","Berlin","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1990","Berlin","Single parent","","","","","","","","","","","","","",""
"1990","Brandenburg","(Married) couple without C.","","","","","","","","","","","","","",""
"1990","Brandenburg","1-pers.-HH","","","","","","","","","","","","","",""
"1990","Brandenburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1990","Brandenburg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1990","Brandenburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1990","Brandenburg","Single parent","","","","","","","","","","","","","",""
"1990","Bremen","(Married) couple without C.","3.03","3","36","1","3","4","4","4","2.73","3.33","1","4","3","4"
"1990","Bremen","1-pers.-HH","","","","","","","","","","","","","",""
