"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Full Time","college entrance qualification","2.63","3","578","2","2","3","4","4","2.57","2.69","1","4","3","3"
"1990","Full Time","lower secondary degree","3","3","1672","2","3","3","4","4","2.97","3.03","1","4","3","3"
"1990","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Full Time","Other degree","","","","","","","","","","","","","",""
"1990","Full Time","secondary school degree","2.87","3","835","2","2","3","4","4","2.82","2.92","1","4","3","3"
"1990","Not Working","college entrance qualification","2.69","3","295","2","2","3","4","4","2.6","2.78","1","4","3","3"
"1990","Not Working","lower secondary degree","3.26","3","1700","2","3","4","4","4","3.22","3.3","1","4","3","3"
"1990","Not Working","no degree/no degree yet","2.95","3","129","2","2","3","4","4","2.81","3.09","1","4","3","3"
"1990","Not Working","Other degree","","","","","","","","","","","","","",""
"1990","Not Working","secondary school degree","2.95","3","430","2","2","4","4","4","2.88","3.02","1","4","3","3"
"1990","Part Time","college entrance qualification","2.55","3","274","2","2","3","3","4","2.46","2.64","1","4","3","3"
"1990","Part Time","lower secondary degree","3.1","3","695","2","3","4","4","4","3.05","3.15","1","4","3","3"
"1990","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Part Time","Other degree","","","","","","","","","","","","","",""
"1990","Part Time","secondary school degree","2.9","3","312","2","3","3","4","4","2.82","2.98","1","4","3","3"
"1991","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1991","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1991","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Full Time","Other degree","","","","","","","","","","","","","",""
"1991","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1991","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1991","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1991","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Not Working","Other degree","","","","","","","","","","","","","",""
"1991","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1991","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1991","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1991","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Part Time","Other degree","","","","","","","","","","","","","",""
"1991","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1992","Full Time","college entrance qualification","2.82","3","911","2","2","3","4","4","2.77","2.87","1","4","3","3"
"1992","Full Time","lower secondary degree","3.21","3","2214","2","3","4","4","4","3.18","3.24","1","4","3","3"
"1992","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1992","Full Time","Other degree","3.29","3","40","3","3","4","4","4","3.09","3.49","2","4","3","4"
"1992","Full Time","secondary school degree","3.1","3","2044","2","3","4","4","4","3.07","3.13","1","4","3","3"
"1992","Not Working","college entrance qualification","2.83","3","373","2","2","3","4","4","2.75","2.91","1","4","3","3"
"1992","Not Working","lower secondary degree","3.41","4","2201","2","3","4","4","4","3.38","3.44","1","4","4","4"
"1992","Not Working","no degree/no degree yet","3.09","3","163","2","3","4","4","4","2.96","3.22","1","4","3","3"
"1992","Not Working","Other degree","3.4","4","36","2","3","4","4","4","3.13","3.67","1","4","3","4"
"1992","Not Working","secondary school degree","3.1","3","691","2","3","4","4","4","3.04","3.16","1","4","3","3"
"1992","Part Time","college entrance qualification","2.75","3","379","2","2","3","4","4","2.67","2.83","1","4","3","3"
"1992","Part Time","lower secondary degree","3.28","3","917","2","3","4","4","4","3.24","3.32","1","4","3","3"
"1992","Part Time","no degree/no degree yet","3.06","3","36","2","3","4","4","4","2.82","3.3","1","4","3","3"
"1992","Part Time","Other degree","","","","","","","","","","","","","",""
"1992","Part Time","secondary school degree","3.06","3","736","2","3","4","4","4","3.01","3.11","1","4","3","3"
"1993","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1993","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1993","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Full Time","Other degree","","","","","","","","","","","","","",""
"1993","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1993","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1993","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1993","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Not Working","Other degree","","","","","","","","","","","","","",""
"1993","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1993","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1993","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1993","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Part Time","Other degree","","","","","","","","","","","","","",""
"1993","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1994","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1994","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1994","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Full Time","Other degree","","","","","","","","","","","","","",""
"1994","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1994","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1994","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1994","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Not Working","Other degree","","","","","","","","","","","","","",""
"1994","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1994","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1994","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1994","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Part Time","Other degree","","","","","","","","","","","","","",""
"1994","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1995","Full Time","college entrance qualification","2.86","3","959","2","2","3","4","4","2.82","2.9","1","4","3","3"
"1995","Full Time","lower secondary degree","3.17","3","1774","2","3","4","4","4","3.14","3.2","1","4","3","3"
"1995","Full Time","no degree/no degree yet","3.5","3.72","31","3","3","4","4","4","3.27","3.73","2","4","3","4"
"1995","Full Time","Other degree","3.26","3","176","2","3","4","4","4","3.15","3.37","1","4","3","4"
"1995","Full Time","secondary school degree","3.12","3","1915","2","3","4","4","4","3.09","3.15","1","4","3","3"
"1995","Not Working","college entrance qualification","2.91","3","455","2","2","3","4","4","2.84","2.98","1","4","3","3"
"1995","Not Working","lower secondary degree","3.35","3","2327","2","3","4","4","4","3.32","3.38","1","4","3","3"
"1995","Not Working","no degree/no degree yet","3.04","3","276","2","3","4","4","4","2.95","3.13","1","4","3","3"
"1995","Not Working","Other degree","3.41","4","154","2","3","4","4","4","3.29","3.53","1","4","4","4"
"1995","Not Working","secondary school degree","3.13","3","783","2","3","4","4","4","3.08","3.18","1","4","3","3"
"1995","Part Time","college entrance qualification","2.84","3","406","2","2","3","4","4","2.77","2.91","1","4","3","3"
"1995","Part Time","lower secondary degree","3.24","3","866","2","3","4","4","4","3.2","3.28","1","4","3","3"
"1995","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1995","Part Time","Other degree","3.33","3","107","2","3","4","4","4","3.19","3.47","1","4","3","4"
"1995","Part Time","secondary school degree","3.07","3","738","2","3","4","4","4","3.02","3.12","1","4","3","3"
"1996","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1996","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1996","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Full Time","Other degree","","","","","","","","","","","","","",""
"1996","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1996","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1996","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1996","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Not Working","Other degree","","","","","","","","","","","","","",""
"1996","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1996","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1996","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1996","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Part Time","Other degree","","","","","","","","","","","","","",""
"1996","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1997","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1997","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1997","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1997","Full Time","Other degree","","","","","","","","","","","","","",""
"1997","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1997","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1997","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1997","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1997","Not Working","Other degree","","","","","","","","","","","","","",""
"1997","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1997","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1997","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1997","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1997","Part Time","Other degree","","","","","","","","","","","","","",""
"1997","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1998","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1998","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1998","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1998","Full Time","Other degree","","","","","","","","","","","","","",""
"1998","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1998","Not Working","college entrance qualification","","","","","","","","","","","","","",""
