"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","3.13","3","442","2","3","4","4","4","3.06","3.2","1","4","3","3"
"1990","indirect migration background","3.09","3","55","2","3","3","4","4","2.89","3.29","2","4","3","3"
"1990","no migration background","2.99","3","6627","2","2","4","4","4","2.97","3.01","1","4","3","3"
"1991","direct migration background","","","","","","","","","","","","","",""
"1991","indirect migration background","","","","","","","","","","","","","",""
"1991","no migration background","","","","","","","","","","","","","",""
"1992","direct migration background","3.2","3","572","2","3","4","4","4","3.14","3.26","1","4","3","3"
"1992","indirect migration background","3.18","3","80","2","3","4","4","4","3.02","3.34","1","4","3","3"
"1992","no migration background","3.17","3","10299","2","3","4","4","4","3.16","3.18","1","4","3","3"
"1993","direct migration background","","","","","","","","","","","","","",""
"1993","indirect migration background","","","","","","","","","","","","","",""
"1993","no migration background","","","","","","","","","","","","","",""
"1994","direct migration background","","","","","","","","","","","","","",""
"1994","indirect migration background","","","","","","","","","","","","","",""
"1994","no migration background","","","","","","","","","","","","","",""
"1995","direct migration background","3.24","3","1141","2","3","4","4","4","3.2","3.28","1","4","3","3"
"1995","indirect migration background","3.06","3","140","2","3","4","4","4","2.94","3.18","1","4","3","3"
"1995","no migration background","3.16","3","9924","2","3","4","4","4","3.15","3.17","1","4","3","3"
"1996","direct migration background","","","","","","","","","","","","","",""
"1996","indirect migration background","","","","","","","","","","","","","",""
"1996","no migration background","","","","","","","","","","","","","",""
"1997","direct migration background","","","","","","","","","","","","","",""
"1997","indirect migration background","","","","","","","","","","","","","",""
"1997","no migration background","","","","","","","","","","","","","",""
"1998","direct migration background","","","","","","","","","","","","","",""
"1998","indirect migration background","","","","","","","","","","","","","",""
"1998","no migration background","","","","","","","","","","","","","",""
"1999","direct migration background","","","","","","","","","","","","","",""
"1999","indirect migration background","","","","","","","","","","","","","",""
"1999","no migration background","","","","","","","","","","","","","",""
"2000","direct migration background","","","","","","","","","","","","","",""
"2000","indirect migration background","","","","","","","","","","","","","",""
"2000","no migration background","","","","","","","","","","","","","",""
"2001","direct migration background","","","","","","","","","","","","","",""
"2001","indirect migration background","","","","","","","","","","","","","",""
"2001","no migration background","","","","","","","","","","","","","",""
"2002","direct migration background","","","","","","","","","","","","","",""
"2002","indirect migration background","","","","","","","","","","","","","",""
"2002","no migration background","","","","","","","","","","","","","",""
"2003","direct migration background","","","","","","","","","","","","","",""
"2003","indirect migration background","","","","","","","","","","","","","",""
"2003","no migration background","","","","","","","","","","","","","",""
"2004","direct migration background","3.13","3","2524","2","3","4","4","4","3.1","3.16","1","4","3","3"
"2004","indirect migration background","3","3","792","2","2","4","4","4","2.95","3.05","1","4","3","3"
"2004","no migration background","2.92","3","18228","2","2","3","4","4","2.91","2.93","1","4","3","3"
"2005","direct migration background","","","","","","","","","","","","","",""
"2005","indirect migration background","","","","","","","","","","","","","",""
"2005","no migration background","","","","","","","","","","","","","",""
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","3.27","3","1889","2","3","4","4","4","3.24","3.3","1","4","3","3"
"2008","indirect migration background","3.13","3","770","2","3","4","4","4","3.08","3.18","1","4","3","3"
"2008","no migration background","3.09","3","16610","2","3","4","4","4","3.08","3.1","1","4","3","3"
"2009","direct migration background","","","","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","","","","",""
"2010","direct migration background","2.87","3","1419","2","2","3","4","4","2.83","2.91","1","4","3","3"
"2010","indirect migration background","2.64","3","488","2","2","3","4","4","2.57","2.71","1","4","3","3"
"2010","no migration background","2.66","3","5388","2","2","3","4","4","2.64","2.68","1","4","3","3"
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","3.03","3","3037","2","3","4","4","4","3","3.06","1","4","3","3"
"2012","indirect migration background","2.86","3","1277","2","2","3","4","4","2.82","2.9","1","4","3","3"
"2012","no migration background","2.82","3","23302","2","2","3","4","4","2.81","2.83","1","4","3","3"
"2013","direct migration background","","","","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","","","","",""
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","2.94","3","4864","2","2","4","4","4","2.92","2.96","1","4","3","3"
"2016","indirect migration background","2.74","3","1566","2","2","3","4","4","2.7","2.78","1","4","3","3"
"2016","no migration background","2.79","3","17872","2","2","3","4","4","2.78","2.8","1","4","3","3"
