"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","general elemantary","3.23","3","1627","2","3","4","4","4","3.19","3.27","1","4","3","3"
"1990","higher education","2.61","3","655","2","2","3","4","4","2.55","2.67","1","4","3","3"
"1990","higher vocational","2.93","3","498","2","2","3","4","4","2.87","2.99","1","4","3","3"
"1990","in school","2.78","3","110","2","2","3","4","4","2.64","2.92","1","4","3","3"
"1990","inadequately","3.28","3","74","2","3","4","4","4","3.1","3.46","1","4","3","4"
"1990","middle vocational","2.98","3","3876","2","3","3","4","4","2.96","3","1","4","3","3"
"1990","vocational + Abi","2.74","3","205","2","2","3","4","4","2.64","2.84","1","4","3","3"
"1991","general elemantary","","","","","","","","","","","","","",""
"1991","higher education","","","","","","","","","","","","","",""
"1991","higher vocational","","","","","","","","","","","","","",""
"1991","in school","","","","","","","","","","","","","",""
"1991","inadequately","","","","","","","","","","","","","",""
"1991","middle vocational","","","","","","","","","","","","","",""
"1991","vocational + Abi","","","","","","","","","","","","","",""
"1992","general elemantary","3.38","4","1942","2","3","4","4","4","3.35","3.41","1","4","3","4"
"1992","higher education","2.84","3","1607","2","2","3","4","4","2.8","2.88","1","4","3","3"
"1992","higher vocational","3.06","3","748","2","3","4","4","4","3.01","3.11","1","4","3","3"
"1992","in school","2.87","3","140","2","2","3","4","4","2.75","2.99","1","4","3","3"
"1992","inadequately","3.59","4","97","3","3","4","4","4","3.44","3.74","1","4","4","4"
"1992","middle vocational","3.2","3","6016","2","3","4","4","4","3.18","3.22","1","4","3","3"
"1992","vocational + Abi","2.91","3","292","2","3","3","4","4","2.83","2.99","1","4","3","3"
"1993","general elemantary","","","","","","","","","","","","","",""
"1993","higher education","","","","","","","","","","","","","",""
"1993","higher vocational","","","","","","","","","","","","","",""
"1993","in school","","","","","","","","","","","","","",""
"1993","inadequately","","","","","","","","","","","","","",""
"1993","middle vocational","","","","","","","","","","","","","",""
"1993","vocational + Abi","","","","","","","","","","","","","",""
"1994","general elemantary","","","","","","","","","","","","","",""
"1994","higher education","","","","","","","","","","","","","",""
"1994","higher vocational","","","","","","","","","","","","","",""
"1994","in school","","","","","","","","","","","","","",""
"1994","inadequately","","","","","","","","","","","","","",""
"1994","middle vocational","","","","","","","","","","","","","",""
"1994","vocational + Abi","","","","","","","","","","","","","",""
"1995","general elemantary","3.38","3","1830","2","3","4","4","4","3.35","3.41","1","4","3","4"
"1995","higher education","2.92","3","1707","2","2","3","4","4","2.88","2.96","1","4","3","3"
"1995","higher vocational","3.06","3","739","2","3","4","4","4","3.01","3.11","1","4","3","3"
"1995","in school","2.98","3","237","2","3","3","4","4","2.89","3.07","1","4","3","3"
"1995","inadequately","3.45","4","98","3","3","4","4","4","3.3","3.6","1","4","3","4"
"1995","middle vocational","3.18","3","6065","2","3","4","4","4","3.16","3.2","1","4","3","3"
"1995","vocational + Abi","2.99","3","402","2","3","3","4","4","2.92","3.06","1","4","3","3"
"1996","general elemantary","","","","","","","","","","","","","",""
"1996","higher education","","","","","","","","","","","","","",""
"1996","higher vocational","","","","","","","","","","","","","",""
"1996","in school","","","","","","","","","","","","","",""
"1996","inadequately","","","","","","","","","","","","","",""
"1996","middle vocational","","","","","","","","","","","","","",""
"1996","vocational + Abi","","","","","","","","","","","","","",""
"1997","general elemantary","","","","","","","","","","","","","",""
"1997","higher education","","","","","","","","","","","","","",""
"1997","higher vocational","","","","","","","","","","","","","",""
"1997","in school","","","","","","","","","","","","","",""
"1997","inadequately","","","","","","","","","","","","","",""
"1997","middle vocational","","","","","","","","","","","","","",""
"1997","vocational + Abi","","","","","","","","","","","","","",""
"1998","general elemantary","","","","","","","","","","","","","",""
"1998","higher education","","","","","","","","","","","","","",""
"1998","higher vocational","","","","","","","","","","","","","",""
"1998","in school","","","","","","","","","","","","","",""
"1998","inadequately","","","","","","","","","","","","","",""
"1998","middle vocational","","","","","","","","","","","","","",""
"1998","vocational + Abi","","","","","","","","","","","","","",""
