"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","(1b) general elementary school","2.67","3","395","1","2","3","4","4","2.58","2.76","1","4","2","3"
"1990","(Married) couple without C.","(1c) basic vocational qualification","2.53","3","856","1","2","3","4","4","2.47","2.59","1","4","2","3"
"1990","(Married) couple without C.","(2a) intermediate vocational","2.34","2","362","1","2","3","3","4","2.26","2.42","1","4","2","2"
"1990","(Married) couple without C.","(2b) intermediate general qualification","2.44","2.4","51","1","2","3","4","4","2.19","2.69","1","4","2","3"
"1990","(Married) couple without C.","(2c_gen) general maturity certificate","2.25","2","36","2","2","3","3","4","2.04","2.46","1","4","2","3"
"1990","(Married) couple without C.","(2c_voc) vocational maturity certificate","2.41","2","103","1","2","3","4","4","2.24","2.58","1","4","2","3"
"1990","(Married) couple without C.","(3a) lower tertiary education","2.26","2","76","1","2","3","3","4","2.06","2.46","1","4","2","2"
"1990","(Married) couple without C.","(3b) higher tertiary education","2.1","2","116","1","2","3","3","4","1.95","2.25","1","4","2","2"
"1990","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"1990","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","1-pers.-HH","(1b) general elementary school","2.99","3","222","2","2","4","4","4","2.86","3.12","1","4","3","3"
"1990","1-pers.-HH","(1c) basic vocational qualification","2.48","2","289","1","2","3","4","4","2.38","2.58","1","4","2","2"
"1990","1-pers.-HH","(2a) intermediate vocational","2.51","2","154","2","2","3","4","4","2.38","2.64","1","4","2","3"
"1990","1-pers.-HH","(2b) intermediate general qualification","2.41","2","41","1","2","3","4","4","2.13","2.69","1","4","2","3"
"1990","1-pers.-HH","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","1-pers.-HH","(2c_voc) vocational maturity certificate","2.13","2","57","1","1","3","3","4","1.91","2.35","1","4","2","2"
"1990","1-pers.-HH","(3a) lower tertiary education","2.25","2","36","1","2","3","3","4","1.96","2.54","1","4","2","3"
"1990","1-pers.-HH","(3b) higher tertiary education","2.1","2","71","1","2","3","3","4","1.91","2.29","1","4","2","2"
"1990","Couple + C. GT 16 ","(0) in school","1.98","2","52","1","1","2","3","3","1.78","2.18","1","3","2","2"
"1990","Couple + C. GT 16 ","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","(1b) general elementary school","2.58","3","294","1","2","3","4","4","2.48","2.68","1","4","2","3"
"1990","Couple + C. GT 16 ","(1c) basic vocational qualification","2.47","2","558","1","2","3","3","4","2.4","2.54","1","4","2","3"
"1990","Couple + C. GT 16 ","(2a) intermediate vocational","2.22","2","216","1","2","3","3","4","2.12","2.32","1","4","2","2"
