"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","West Germany","2.48","2","2024","1","2","3","4","4","2.44","2.52","1","4","2","2"
"1990","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1990","1-pers.-HH","West Germany","2.54","2","916","1","2","3","4","4","2.48","2.6","1","4","2","3"
"1990","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","West Germany","2.35","2","1526","1","2","3","3","4","2.31","2.39","1","4","2","2"
"1990","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","West Germany","2.59","3","1467","2","2","3","3","4","2.55","2.63","1","4","3","3"
"1990","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1990","Couple + C. LE and GT 16","West Germany","2.46","2","438","1","2","3","3","4","2.38","2.54","1","4","2","3"
"1990","Single parent","East Germany","","","","","","","","","","","","","",""
"1990","Single parent","West Germany","2.49","3","388","1","2","3","3","4","2.41","2.57","1","4","2","3"
"1991","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"1991","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1991","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"1991","Single parent","East Germany","","","","","","","","","","","","","",""
"1991","Single parent","West Germany","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","East Germany","2.41","2","921","1","2","3","4","4","2.36","2.46","1","4","2","2"
"1992","(Married) couple without C.","West Germany","2.42","2","2040","1","2","3","4","4","2.38","2.46","1","4","2","2"
"1992","1-pers.-HH","East Germany","2.57","3","301","1","2","3","4","4","2.46","2.68","1","4","2","3"
"1992","1-pers.-HH","West Germany","2.51","2","902","1","2","3","4","4","2.45","2.57","1","4","2","2"
"1992","Couple + C. GT 16 ","East Germany","2.26","2","768","1","2","3","3","4","2.21","2.31","1","4","2","2"
"1992","Couple + C. GT 16 ","West Germany","2.44","2","1421","1","2","3","3","4","2.4","2.48","1","4","2","2"
"1992","Couple + C. LE 16","East Germany","2.6","3","1213","2","2","3","3","4","2.56","2.64","1","4","3","3"
"1992","Couple + C. LE 16","West Germany","2.62","3","1513","2","2","3","4","4","2.58","2.66","1","4","3","3"
"1992","Couple + C. LE and GT 16","East Germany","2.33","2","322","1","2","3","3","4","2.25","2.41","1","4","2","2"
"1992","Couple + C. LE and GT 16","West Germany","2.47","3","401","1","2","3","4","4","2.39","2.55","1","4","2","3"
"1992","Single parent","East Germany","2.35","2","178","1","2","3","3","4","2.24","2.46","1","4","2","3"
"1992","Single parent","West Germany","2.46","2","361","1","2","3","4","4","2.37","2.55","1","4","2","3"
"1993","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"1993","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1993","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"1993","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1993","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"1993","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1993","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"1993","Single parent","East Germany","","","","","","","","","","","","","",""
"1993","Single parent","West Germany","","","","","","","","","","","","","",""
"1994","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1994","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"1994","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1994","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"1994","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1994","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"1994","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1994","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"1994","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1994","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"1994","Single parent","East Germany","","","","","","","","","","","","","",""
"1994","Single parent","West Germany","","","","","","","","","","","","","",""
"1995","(Married) couple without C.","East Germany","2.47","2","974","1","2","3","3","4","2.42","2.52","1","4","2","3"
"1995","(Married) couple without C.","West Germany","2.5","2","2199","1","2","3","4","4","2.46","2.54","1","4","2","3"
"1995","1-pers.-HH","East Germany","2.72","3","332","2","2","3","4","4","2.63","2.81","1","4","3","3"
"1995","1-pers.-HH","West Germany","2.56","3","1005","1","2","3","4","4","2.51","2.61","1","4","2","3"
"1995","Couple + C. GT 16 ","East Germany","2.43","2","716","1","2","3","3","4","2.38","2.48","1","4","2","3"
"1995","Couple + C. GT 16 ","West Germany","2.54","3","1282","2","2","3","4","4","2.5","2.58","1","4","2","3"
"1995","Couple + C. LE 16","East Germany","2.68","3","896","2","2","3","3","4","2.63","2.73","1","4","3","3"
"1995","Couple + C. LE 16","West Germany","2.66","3","1725","2","2","3","4","4","2.62","2.7","1","4","3","3"
"1995","Couple + C. LE and GT 16","East Germany","2.6","3","380","2","2","3","3","4","2.53","2.67","1","4","3","3"
"1995","Couple + C. LE and GT 16","West Germany","2.51","3","548","2","2","3","3","4","2.45","2.57","1","4","3","3"
"1995","Single parent","East Germany","2.33","2","163","1","2","3","3","4","2.21","2.45","1","4","2","2"
"1995","Single parent","West Germany","2.57","3","369","2","2","3","4","4","2.48","2.66","1","4","2","3"
"1996","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1996","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"1996","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1996","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"1996","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1996","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"1996","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1996","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"1996","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1996","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"1996","Single parent","East Germany","","","","","","","","","","","","","",""
"1996","Single parent","West Germany","","","","","","","","","","","","","",""
"1997","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1997","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"1997","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
