"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","general elemantary","Female","2.7","3","1207","1","2","3","4","4","2.65","2.75","1","4","3","3"
"1990","general elemantary","Male","2.51","2.88","423","1","2","3","4","4","2.42","2.6","1","4","2","3"
"1990","higher education","Female","2.21","2","219","1","2","3","3","4","2.1","2.32","1","4","2","2"
"1990","higher education","Male","2.25","2","438","1","2","3","3","4","2.17","2.33","1","4","2","2"
"1990","higher vocational","Female","2.36","2","224","1","2","3","3","4","2.26","2.46","1","4","2","2"
"1990","higher vocational","Male","2.54","3","274","1","2","3","4","4","2.44","2.64","1","4","2","3"
"1990","in school","Female","1.94","2","51","1","2","2","3","3","1.75","2.13","1","3","2","2"
"1990","in school","Male","2.12","2","59","1","2","3","3","3","1.93","2.31","1","3","2","2"
"1990","inadequately","Female","2.73","3","36","2","2","3","4","4","2.43","3.03","1","4","2","3"
"1990","inadequately","Male","2.34","2","39","1","2","3","4","4","2.05","2.63","1","4","2","3"
"1990","middle vocational","Female","2.48","2","1849","1","2","3","3","4","2.44","2.52","1","4","2","3"
"1990","middle vocational","Male","2.49","2","2039","1","2","3","4","4","2.45","2.53","1","4","2","3"
"1990","vocational + Abi","Female","2.13","2","98","1","1","3","3","4","1.95","2.31","1","4","2","2"
"1990","vocational + Abi","Male","2.43","2.19","107","1","2","3","3","4","2.28","2.58","1","4","2","3"
"1991","general elemantary","Female","","","","","","","","","","","","","",""
"1991","general elemantary","Male","","","","","","","","","","","","","",""
"1991","higher education","Female","","","","","","","","","","","","","",""
"1991","higher education","Male","","","","","","","","","","","","","",""
"1991","higher vocational","Female","","","","","","","","","","","","","",""
"1991","higher vocational","Male","","","","","","","","","","","","","",""
"1991","in school","Female","","","","","","","","","","","","","",""
"1991","in school","Male","","","","","","","","","","","","","",""
"1991","inadequately","Female","","","","","","","","","","","","","",""
"1991","inadequately","Male","","","","","","","","","","","","","",""
"1991","middle vocational","Female","","","","","","","","","","","","","",""
"1991","middle vocational","Male","","","","","","","","","","","","","",""
"1991","vocational + Abi","Female","","","","","","","","","","","","","",""
"1991","vocational + Abi","Male","","","","","","","","","","","","","",""
"1992","general elemantary","Female","2.7","3","1424","2","2","3","4","4","2.65","2.75","1","4","3","3"
"1992","general elemantary","Male","2.5","2","525","1","2","3","4","4","2.42","2.58","1","4","2","3"
"1992","higher education","Female","2.25","2","734","1","2","3","3","4","2.2","2.3","1","4","2","2"
"1992","higher education","Male","2.32","2","882","1","2","3","3","4","2.27","2.37","1","4","2","2"
"1992","higher vocational","Female","2.46","2","266","1","2","3","4","4","2.36","2.56","1","4","2","3"
"1992","higher vocational","Male","2.43","2","485","1","2","3","3","4","2.36","2.5","1","4","2","3"
"1992","in school","Female","1.98","2","74","1","1","2","3","3","1.82","2.14","1","3","2","2"
"1992","in school","Male","2.21","2","68","1","2","3","3","4","2.02","2.4","1","4","2","3"
"1992","inadequately","Female","3.05","3","52","2","2","4","4","4","2.77","3.33","1","4","3","3"
"1992","inadequately","Male","2.48","2","46","1","2","3","4","4","2.2","2.76","1","4","2","3"
"1992","middle vocational","Female","2.48","2","3037","1","2","3","4","4","2.45","2.51","1","4","2","3"
"1992","middle vocational","Male","2.51","3","3011","1","2","3","4","4","2.48","2.54","1","4","3","3"
"1992","vocational + Abi","Female","2.24","2","135","1","2","3","3","4","2.09","2.39","1","4","2","2"
"1992","vocational + Abi","Male","2.34","2","158","1","2","3","3","4","2.2","2.48","1","4","2","3"
"1993","general elemantary","Female","","","","","","","","","","","","","",""
"1993","general elemantary","Male","","","","","","","","","","","","","",""
"1993","higher education","Female","","","","","","","","","","","","","",""
"1993","higher education","Male","","","","","","","","","","","","","",""
"1993","higher vocational","Female","","","","","","","","","","","","","",""
"1993","higher vocational","Male","","","","","","","","","","","","","",""
"1993","in school","Female","","","","","","","","","","","","","",""
"1993","in school","Male","","","","","","","","","","","","","",""
"1993","inadequately","Female","","","","","","","","","","","","","",""
"1993","inadequately","Male","","","","","","","","","","","","","",""
"1993","middle vocational","Female","","","","","","","","","","","","","",""
"1993","middle vocational","Male","","","","","","","","","","","","","",""
"1993","vocational + Abi","Female","","","","","","","","","","","","","",""
"1993","vocational + Abi","Male","","","","","","","","","","","","","",""
"1994","general elemantary","Female","","","","","","","","","","","","","",""
"1994","general elemantary","Male","","","","","","","","","","","","","",""
"1994","higher education","Female","","","","","","","","","","","","","",""
"1994","higher education","Male","","","","","","","","","","","","","",""
"1994","higher vocational","Female","","","","","","","","","","","","","",""
"1994","higher vocational","Male","","","","","","","","","","","","","",""
"1994","in school","Female","","","","","","","","","","","","","",""
"1994","in school","Male","","","","","","","","","","","","","",""
"1994","inadequately","Female","","","","","","","","","","","","","",""
"1994","inadequately","Male","","","","","","","","","","","","","",""
"1994","middle vocational","Female","","","","","","","","","","","","","",""
"1994","middle vocational","Male","","","","","","","","","","","","","",""
"1994","vocational + Abi","Female","","","","","","","","","","","","","",""
"1994","vocational + Abi","Male","","","","","","","","","","","","","",""
"1995","general elemantary","Female","2.8","3","1319","2","2","3","4","4","2.75","2.85","1","4","3","3"
"1995","general elemantary","Male","2.64","3","520","2","2","3","4","4","2.57","2.71","1","4","2","3"
"1995","higher education","Female","2.37","2","786","1","2","3","3","4","2.32","2.42","1","4","2","2"
"1995","higher education","Male","2.34","2","930","1","2","3","3","4","2.29","2.39","1","4","2","2"
"1995","higher vocational","Female","2.44","2","279","1","2","3","3","4","2.34","2.54","1","4","2","3"
"1995","higher vocational","Male","2.57","3","463","2","2","3","3","4","2.5","2.64","1","4","3","3"
"1995","in school","Female","1.99","2","124","1","1","2","3","3","1.86","2.12","1","4","2","2"
"1995","in school","Male","2.21","2","116","1","2","3","3","4","2.07","2.35","1","4","2","2"
