"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1990","direct migration background","higher education","5.96","6","36","4","5","7","8","10","5.34","6.58","2","10","5","7"
"1990","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1990","direct migration background","in school","","","","","","","","","","","","","",""
"1990","direct migration background","inadequately","","","","","","","","","","","","","",""
"1990","direct migration background","middle vocational","6.45","6.08","70","3","5","8","10","10","5.89","7.01","1","10","5","8"
"1990","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1990","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1990","indirect migration background","higher education","","","","","","","","","","","","","",""
"1990","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1990","indirect migration background","in school","","","","","","","","","","","","","",""
"1990","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1990","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1990","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1990","no migration background","general elemantary","5.94","6","499","3","5","8","9","10","5.73","6.15","0","10","6","6"
"1990","no migration background","higher education","6.63","7","960","4","5","8","9","10","6.51","6.75","0","10","7","7"
"1990","no migration background","higher vocational","6.45","7","248","4","5","8","9","10","6.18","6.72","0","10","6","7"
"1990","no migration background","in school","8.07","8","31","6","7","9","10","10","7.49","8.65","5","10","7","9"
"1990","no migration background","inadequately","","","","","","","","","","","","","",""
"1990","no migration background","middle vocational","6.3","6","2462","4","5","8","9","10","6.22","6.38","0","10","6","6"
"1990","no migration background","vocational + Abi","6.68","7","77","3","6","8","9","10","6.25","7.11","0","10","6","7"
"1991","direct migration background","general elemantary","6.84","7","847","4","5","8","9","10","6.7","6.98","0","10","7","7"
"1991","direct migration background","higher education","6.81","7","127","4","5","8","10","10","6.42","7.2","0","10","6","7"
"1991","direct migration background","higher vocational","7.68","8","58","5","7","9","10","10","7.19","8.17","3","10","7","8"
"1991","direct migration background","in school","","","","","","","","","","","","","",""
