"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","7.64","8","4533","5","7","9","10","10","7.58","7.7","0","10","8","8"
"1984","35-65 y.","7.4","8","6251","5","6","9","10","10","7.35","7.45","0","10","8","8"
"1984","66 and older","7.22","8","1258","4","6","9","10","10","7.09","7.35","0","10","8","8"
"1985","16-34 y.","7.56","8","4131","5","7","9","10","10","7.5","7.62","0","10","8","8"
"1985","35-65 y.","7.26","8","5719","5","6","9","10","10","7.21","7.31","0","10","8","8"
"1985","66 and older","7.22","8","1096","4","6","9","10","10","7.08","7.36","0","10","8","8"
"1986","16-34 y.","7.72","8","4053","5","7","9","10","10","7.67","7.77","0","10","8","8"
"1986","35-65 y.","7.38","8","5429","5","6","9","10","10","7.33","7.43","0","10","8","8"
"1986","66 and older","7.49","8","1034","5","6","9","10","10","7.36","7.62","0","10","8","8"
"1987","16-34 y.","7.49","8","3992","5","7","9","9","10","7.44","7.54","0","10","8","8"
"1987","35-65 y.","7.19","8","5317","5","6","8","9","10","7.14","7.24","0","10","8","8"
"1987","66 and older","7.16","8","1071","5","6","9","10","10","7.03","7.29","0","10","7","8"
"1988","16-34 y.","","","","","","","","","","","","","",""
"1988","35-65 y.","","","","","","","","","","","","","",""
"1988","66 and older","","","","","","","","","","","","","",""
"1989","16-34 y.","","","","","","","","","","","","","",""
"1989","35-65 y.","","","","","","","","","","","","","",""
"1989","66 and older","","","","","","","","","","","","","",""
"1990","16-34 y.","","","","","","","","","","","","","",""
"1990","35-65 y.","","","","","","","","","","","","","",""
"1990","66 and older","","","","","","","","","","","","","",""
"1991","16-34 y.","","","","","","","","","","","","","",""
"1991","35-65 y.","","","","","","","","","","","","","",""
"1991","66 and older","","","","","","","","","","","","","",""
"1992","16-34 y.","","","","","","","","","","","","","",""
"1992","35-65 y.","","","","","","","","","","","","","",""
"1992","66 and older","","","","","","","","","","","","","",""
"1993","16-34 y.","","","","","","","","","","","","","",""
"1993","35-65 y.","","","","","","","","","","","","","",""
"1993","66 and older","","","","","","","","","","","","","",""
"1994","16-34 y.","","","","","","","","","","","","","",""
"1994","35-65 y.","","","","","","","","","","","","","",""
"1994","66 and older","","","","","","","","","","","","","",""
"1995","16-34 y.","","","","","","","","","","","","","",""
"1995","35-65 y.","","","","","","","","","","","","","",""
"1995","66 and older","","","","","","","","","","","","","",""
"1996","16-34 y.","","","","","","","","","","","","","",""
"1996","35-65 y.","","","","","","","","","","","","","",""
"1996","66 and older","","","","","","","","","","","","","",""
"1997","16-34 y.","","","","","","","","","","","","","",""
"1997","35-65 y.","","","","","","","","","","","","","",""
"1997","66 and older","","","","","","","","","","","","","",""
"1998","16-34 y.","","","","","","","","","","","","","",""
"1998","35-65 y.","","","","","","","","","","","","","",""
"1998","66 and older","","","","","","","","","","","","","",""
"1999","16-34 y.","","","","","","","","","","","","","",""
"1999","35-65 y.","","","","","","","","","","","","","",""
"1999","66 and older","","","","","","","","","","","","","",""
"2000","16-34 y.","","","","","","","","","","","","","",""
"2000","35-65 y.","","","","","","","","","","","","","",""
"2000","66 and older","","","","","","","","","","","","","",""
"2001","16-34 y.","","","","","","","","","","","","","",""
"2001","35-65 y.","","","","","","","","","","","","","",""
"2001","66 and older","","","","","","","","","","","","","",""
"2002","16-34 y.","","","","","","","","","","","","","",""
"2002","35-65 y.","","","","","","","","","","","","","",""
"2002","66 and older","","","","","","","","","","","","","",""
"2003","16-34 y.","","","","","","","","","","","","","",""
"2003","35-65 y.","","","","","","","","","","","","","",""
"2003","66 and older","","","","","","","","","","","","","",""
"2004","16-34 y.","","","","","","","","","","","","","",""
"2004","35-65 y.","","","","","","","","","","","","","",""
"2004","66 and older","","","","","","","","","","","","","",""
"2005","16-34 y.","","","","","","","","","","","","","",""
"2005","35-65 y.","","","","","","","","","","","","","",""
"2005","66 and older","","","","","","","","","","","","","",""
"2006","16-34 y.","","","","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","7.59","8","4355","5","7","9","9","10","7.54","7.64","0","10","8","8"
"2008","35-65 y.","6.92","7","10618","5","6","8","9","10","6.89","6.95","0","10","7","8"
"2008","66 and older","6.64","7","4267","4","5","8","9","10","6.58","6.7","0","10","7","7"
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","","","","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","","","","",""
"2012","16-34 y.","","","","","","","","","","","","","",""
"2012","35-65 y.","","","","","","","","","","","","","",""
"2012","66 and older","","","","","","","","","","","","","",""
"2013","16-34 y.","7.94","8","5815","6","7","9","10","10","7.9","7.98","0","10","8","8"
"2013","35-65 y.","7.26","8","12844","5","6","8","9","10","7.23","7.29","0","10","8","8"
